gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n33-cfd6fb04	SU(14) x SO(23)	vtx-A13-197-n2-0,vtx-B11-92-n4-n2	0,2	-33	23	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 5 x (irr-A13-14),(2) : 1 x (irr-B11-23),(1,2) : 1 x (irr-A13-14, irr-B11-23)	(1, 2):[[1, ['irr-A13-14', 'irr-B11-23']]]; (1,):[[5, ['irr-A13-14']]]; (2,):[[1, ['irr-B11-23']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n31-4c0497de	SU(14) x SO(24)	vtx-A13-197-n2-0,vtx-D12-108-n4-n2	0,2	-31	25	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A13-14),(2) : 2 x (irr-D12-24),(1,2) : 1 x (irr-A13-14, irr-D12-24)	(1, 2):[[1, ['irr-A13-14', 'irr-D12-24']]]; (1,):[[4, ['irr-A13-14']]]; (2,):[[2, ['irr-D12-24']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n30-a3096381	SU(13) x SO(25)	vtx-A12-170-n2-0,vtx-B12-125-n4-n2	0,2	-30	26	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A12-13),(2) : 4 x (irr-B12-25),(1,2) : 1 x (irr-A12-13, irr-B12-25)	(1, 2):[[1, ['irr-A12-13', 'irr-B12-25']]]; (1,):[[1, ['irr-A12-13']]]; (2,):[[4, ['irr-B12-25']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n28-a895bac4	SU(14) x SO(25)	vtx-A13-197-n2-0,vtx-B12-125-n4-n2	0,2	-28	28	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A13-14),(2) : 3 x (irr-B12-25),(1,2) : 1 x (irr-A13-14, irr-B12-25)	(1, 2):[[1, ['irr-A13-14', 'irr-B12-25']]]; (1,):[[3, ['irr-A13-14']]]; (2,):[[3, ['irr-B12-25']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n27-13fbb914	SU(15) x SO(23)	vtx-A14-226-n2-0,vtx-B11-92-n4-n2	0,2	-27	29	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 7 x (irr-A14-15),(1,2) : 1 x (irr-A14-15, irr-B11-23)	(1, 2):[[1, ['irr-A14-15', 'irr-B11-23']]]; (1,):[[7, ['irr-A14-15']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n26-2eaa7ef0	SU(15) x SO(24)	vtx-A14-226-n2-0,vtx-D12-108-n4-n2	0,2	-26	30	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 6 x (irr-A14-15),(2) : 1 x (irr-D12-24),(1,2) : 1 x (irr-A14-15, irr-D12-24)	(1, 2):[[1, ['irr-A14-15', 'irr-D12-24']]]; (1,):[[6, ['irr-A14-15']]]; (2,):[[1, ['irr-D12-24']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n25-029ba9f3	SU(13) x SO(26)	vtx-A12-170-n2-0,vtx-D13-143-n4-n2	0,2	-25	31	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 5 x (irr-D13-26),(1,2) : 1 x (irr-A12-13, irr-D13-26)	(1, 2):[[1, ['irr-A12-13', 'irr-D13-26']]]; (2,):[[5, ['irr-D13-26']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n24-1af8e520	SU(14) x SO(26)	vtx-A13-197-n2-0,vtx-D13-143-n4-n2	0,2	-24	32	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A13-14),(2) : 4 x (irr-D13-26),(1,2) : 1 x (irr-A13-14, irr-D13-26)	(1, 2):[[1, ['irr-A13-14', 'irr-D13-26']]]; (1,):[[2, ['irr-A13-14']]]; (2,):[[4, ['irr-D13-26']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n24-8df47e42	SU(15) x SO(25)	vtx-A14-226-n2-0,vtx-B12-125-n4-n2	0,2	-24	32	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 5 x (irr-A14-15),(2) : 2 x (irr-B12-25),(1,2) : 1 x (irr-A14-15, irr-B12-25)	(1, 2):[[1, ['irr-A14-15', 'irr-B12-25']]]; (1,):[[5, ['irr-A14-15']]]; (2,):[[2, ['irr-B12-25']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n21-5759d6c0	SU(15) x SO(26)	vtx-A14-226-n2-0,vtx-D13-143-n4-n2	0,2	-21	35	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A14-15),(2) : 3 x (irr-D13-26),(1,2) : 1 x (irr-A14-15, irr-D13-26)	(1, 2):[[1, ['irr-A14-15', 'irr-D13-26']]]; (1,):[[4, ['irr-A14-15']]]; (2,):[[3, ['irr-D13-26']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n19-6f05f43a	SU(14) x SO(27)	vtx-A13-197-n2-0,vtx-B13-162-n4-n2	0,2	-19	37	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A13-14),(2) : 5 x (irr-B13-27),(1,2) : 1 x (irr-A13-14, irr-B13-27)	(1, 2):[[1, ['irr-A13-14', 'irr-B13-27']]]; (1,):[[1, ['irr-A13-14']]]; (2,):[[5, ['irr-B13-27']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n19-19b5703d	SU(16) x SO(24)	vtx-A15-257-n2-0,vtx-D12-108-n4-n2	0,2	-19	37	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 8 x (irr-A15-16),(1,2) : 1 x (irr-A15-16, irr-D12-24)	(1, 2):[[1, ['irr-A15-16', 'irr-D12-24']]]; (1,):[[8, ['irr-A15-16']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n18-e4a754bf	SU(16) x SO(25)	vtx-A15-257-n2-0,vtx-B12-125-n4-n2	0,2	-18	38	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 7 x (irr-A15-16),(2) : 1 x (irr-B12-25),(1,2) : 1 x (irr-A15-16, irr-B12-25)	(1, 2):[[1, ['irr-A15-16', 'irr-B12-25']]]; (1,):[[7, ['irr-A15-16']]]; (2,):[[1, ['irr-B12-25']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n17-f04992bf	SU(15) x SO(27)	vtx-A14-226-n2-0,vtx-B13-162-n4-n2	0,2	-17	39	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A14-15),(2) : 4 x (irr-B13-27),(1,2) : 1 x (irr-A14-15, irr-B13-27)	(1, 2):[[1, ['irr-A14-15', 'irr-B13-27']]]; (1,):[[3, ['irr-A14-15']]]; (2,):[[4, ['irr-B13-27']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n16-3ae4ad2a	SU(16) x SO(26)	vtx-A15-257-n2-0,vtx-D13-143-n4-n2	0,2	-16	40	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 6 x (irr-A15-16),(2) : 2 x (irr-D13-26),(1,2) : 1 x (irr-A15-16, irr-D13-26)	(1, 2):[[1, ['irr-A15-16', 'irr-D13-26']]]; (1,):[[6, ['irr-A15-16']]]; (2,):[[2, ['irr-D13-26']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n13-268ebb2e	SU(14) x SO(28)	vtx-A13-197-n2-0,vtx-D14-182-n4-n2	0,2	-13	43	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 6 x (irr-D14-28),(1,2) : 1 x (irr-A13-14, irr-D14-28)	(1, 2):[[1, ['irr-A13-14', 'irr-D14-28']]]; (2,):[[6, ['irr-D14-28']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n13-807b02ad	SU(16) x SO(27)	vtx-A15-257-n2-0,vtx-B13-162-n4-n2	0,2	-13	43	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 5 x (irr-A15-16),(2) : 3 x (irr-B13-27),(1,2) : 1 x (irr-A15-16, irr-B13-27)	(1, 2):[[1, ['irr-A15-16', 'irr-B13-27']]]; (1,):[[5, ['irr-A15-16']]]; (2,):[[3, ['irr-B13-27']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n12-d1cf7bed	SU(15) x SO(28)	vtx-A14-226-n2-0,vtx-D14-182-n4-n2	0,2	-12	44	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A14-15),(2) : 5 x (irr-D14-28),(1,2) : 1 x (irr-A14-15, irr-D14-28)	(1, 2):[[1, ['irr-A14-15', 'irr-D14-28']]]; (1,):[[2, ['irr-A14-15']]]; (2,):[[5, ['irr-D14-28']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n10-fa2e1d9c	SU(17) x SO(25)	vtx-A16-290-n2-0,vtx-B12-125-n4-n2	0,2	-10	46	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 9 x (irr-A16-17),(1,2) : 1 x (irr-A16-17, irr-B12-25)	(1, 2):[[1, ['irr-A16-17', 'irr-B12-25']]]; (1,):[[9, ['irr-A16-17']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n9-416e25d2	SU(16) x SO(28)	vtx-A15-257-n2-0,vtx-D14-182-n4-n2	0,2	-9	47	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A15-16),(2) : 4 x (irr-D14-28),(1,2) : 1 x (irr-A15-16, irr-D14-28)	(1, 2):[[1, ['irr-A15-16', 'irr-D14-28']]]; (1,):[[4, ['irr-A15-16']]]; (2,):[[4, ['irr-D14-28']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n9-5cfb886f	SU(17) x SO(26)	vtx-A16-290-n2-0,vtx-D13-143-n4-n2	0,2	-9	47	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 8 x (irr-A16-17),(2) : 1 x (irr-D13-26),(1,2) : 1 x (irr-A16-17, irr-D13-26)	(1, 2):[[1, ['irr-A16-17', 'irr-D13-26']]]; (1,):[[8, ['irr-A16-17']]]; (2,):[[1, ['irr-D13-26']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n7-ade4ea53	SU(17) x SO(27)	vtx-A16-290-n2-0,vtx-B13-162-n4-n2	0,2	-7	49	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 7 x (irr-A16-17),(2) : 2 x (irr-B13-27),(1,2) : 1 x (irr-A16-17, irr-B13-27)	(1, 2):[[1, ['irr-A16-17', 'irr-B13-27']]]; (1,):[[7, ['irr-A16-17']]]; (2,):[[2, ['irr-B13-27']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n6-7c2b2790	SU(15) x SO(29)	vtx-A14-226-n2-0,vtx-B14-203-n4-n2	0,2	-6	50	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A14-15),(2) : 6 x (irr-B14-29),(1,2) : 1 x (irr-A14-15, irr-B14-29)	(1, 2):[[1, ['irr-A14-15', 'irr-B14-29']]]; (1,):[[1, ['irr-A14-15']]]; (2,):[[6, ['irr-B14-29']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n4-2a382bec	SU(16) x SO(29)	vtx-A15-257-n2-0,vtx-B14-203-n4-n2	0,2	-4	52	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A15-16),(2) : 5 x (irr-B14-29),(1,2) : 1 x (irr-A15-16, irr-B14-29)	(1, 2):[[1, ['irr-A15-16', 'irr-B14-29']]]; (1,):[[3, ['irr-A15-16']]]; (2,):[[5, ['irr-B14-29']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n4-c9984b8c	SU(17) x SO(28)	vtx-A16-290-n2-0,vtx-D14-182-n4-n2	0,2	-4	52	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 6 x (irr-A16-17),(2) : 3 x (irr-D14-28),(1,2) : 1 x (irr-A16-17, irr-D14-28)	(1, 2):[[1, ['irr-A16-17', 'irr-D14-28']]]; (1,):[[6, ['irr-A16-17']]]; (2,):[[3, ['irr-D14-28']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-0-a905d845	SU(17) x SO(29)	vtx-A16-290-n2-0,vtx-B14-203-n4-n2	0,2	0	56	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 5 x (irr-A16-17),(2) : 4 x (irr-B14-29),(1,2) : 1 x (irr-A16-17, irr-B14-29)	(1, 2):[[1, ['irr-A16-17', 'irr-B14-29']]]; (1,):[[5, ['irr-A16-17']]]; (2,):[[4, ['irr-B14-29']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-0-ac1f3d27	SU(18) x SO(26)	vtx-A17-325-n2-0,vtx-D13-143-n4-n2	0,2	0	56	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 10 x (irr-A17-18),(1,2) : 1 x (irr-A17-18, irr-D13-26)	(1, 2):[[1, ['irr-A17-18', 'irr-D13-26']]]; (1,):[[10, ['irr-A17-18']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-1-4e1f1061	SU(15) x SO(30)	vtx-A14-226-n2-0,vtx-D15-225-n4-n2	0,2	1	57	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 7 x (irr-D15-30),(1,2) : 1 x (irr-A14-15, irr-D15-30)	(1, 2):[[1, ['irr-A14-15', 'irr-D15-30']]]; (2,):[[7, ['irr-D15-30']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-1-ca2db3b9	SU(18) x SO(27)	vtx-A17-325-n2-0,vtx-B13-162-n4-n2	0,2	1	57	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 9 x (irr-A17-18),(2) : 1 x (irr-B13-27),(1,2) : 1 x (irr-A17-18, irr-B13-27)	(1, 2):[[1, ['irr-A17-18', 'irr-B13-27']]]; (1,):[[9, ['irr-A17-18']]]; (2,):[[1, ['irr-B13-27']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-2-85ea2589	SU(16) x SO(30)	vtx-A15-257-n2-0,vtx-D15-225-n4-n2	0,2	2	58	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A15-16),(2) : 6 x (irr-D15-30),(1,2) : 1 x (irr-A15-16, irr-D15-30)	(1, 2):[[1, ['irr-A15-16', 'irr-D15-30']]]; (1,):[[2, ['irr-A15-16']]]; (2,):[[6, ['irr-D15-30']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-3-be3abd04	SU(18) x SO(28)	vtx-A17-325-n2-0,vtx-D14-182-n4-n2	0,2	3	59	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 8 x (irr-A17-18),(2) : 2 x (irr-D14-28),(1,2) : 1 x (irr-A17-18, irr-D14-28)	(1, 2):[[1, ['irr-A17-18', 'irr-D14-28']]]; (1,):[[8, ['irr-A17-18']]]; (2,):[[2, ['irr-D14-28']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-5-ced255eb	SU(17) x SO(30)	vtx-A16-290-n2-0,vtx-D15-225-n4-n2	0,2	5	61	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A16-17),(2) : 5 x (irr-D15-30),(1,2) : 1 x (irr-A16-17, irr-D15-30)	(1, 2):[[1, ['irr-A16-17', 'irr-D15-30']]]; (1,):[[4, ['irr-A16-17']]]; (2,):[[5, ['irr-D15-30']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-6-80d9ba99	SU(18) x SO(29)	vtx-A17-325-n2-0,vtx-B14-203-n4-n2	0,2	6	62	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 7 x (irr-A17-18),(2) : 3 x (irr-B14-29),(1,2) : 1 x (irr-A17-18, irr-B14-29)	(1, 2):[[1, ['irr-A17-18', 'irr-B14-29']]]; (1,):[[7, ['irr-A17-18']]]; (2,):[[3, ['irr-B14-29']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-9-a640bc23	SU(16) x SO(31)	vtx-A15-257-n2-0,vtx-B15-248-n4-n2	0,2	9	65	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A15-16),(2) : 7 x (irr-B15-31),(1,2) : 1 x (irr-A15-16, irr-B15-31)	(1, 2):[[1, ['irr-A15-16', 'irr-B15-31']]]; (1,):[[1, ['irr-A15-16']]]; (2,):[[7, ['irr-B15-31']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-10-fbbf79b4	SU(18) x SO(30)	vtx-A17-325-n2-0,vtx-D15-225-n4-n2	0,2	10	66	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 6 x (irr-A17-18),(2) : 4 x (irr-D15-30),(1,2) : 1 x (irr-A17-18, irr-D15-30)	(1, 2):[[1, ['irr-A17-18', 'irr-D15-30']]]; (1,):[[6, ['irr-A17-18']]]; (2,):[[4, ['irr-D15-30']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-11-8bc1f619	SU(17) x SO(31)	vtx-A16-290-n2-0,vtx-B15-248-n4-n2	0,2	11	67	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A16-17),(2) : 6 x (irr-B15-31),(1,2) : 1 x (irr-A16-17, irr-B15-31)	(1, 2):[[1, ['irr-A16-17', 'irr-B15-31']]]; (1,):[[3, ['irr-A16-17']]]; (2,):[[6, ['irr-B15-31']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-11-27db85d5	SU(19) x SO(27)	vtx-A18-362-n2-0,vtx-B13-162-n4-n2	0,2	11	67	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 11 x (irr-A18-19),(1,2) : 1 x (irr-A18-19, irr-B13-27)	(1, 2):[[1, ['irr-A18-19', 'irr-B13-27']]]; (1,):[[11, ['irr-A18-19']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-12-b3195576	SU(19) x SO(28)	vtx-A18-362-n2-0,vtx-D14-182-n4-n2	0,2	12	68	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 10 x (irr-A18-19),(2) : 1 x (irr-D14-28),(1,2) : 1 x (irr-A18-19, irr-D14-28)	(1, 2):[[1, ['irr-A18-19', 'irr-D14-28']]]; (1,):[[10, ['irr-A18-19']]]; (2,):[[1, ['irr-D14-28']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-14-5b3692f4	SU(19) x SO(29)	vtx-A18-362-n2-0,vtx-B14-203-n4-n2	0,2	14	70	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 9 x (irr-A18-19),(2) : 2 x (irr-B14-29),(1,2) : 1 x (irr-A18-19, irr-B14-29)	(1, 2):[[1, ['irr-A18-19', 'irr-B14-29']]]; (1,):[[9, ['irr-A18-19']]]; (2,):[[2, ['irr-B14-29']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-15-70e06366	SU(18) x SO(31)	vtx-A17-325-n2-0,vtx-B15-248-n4-n2	0,2	15	71	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 5 x (irr-A17-18),(2) : 5 x (irr-B15-31),(1,2) : 1 x (irr-A17-18, irr-B15-31)	(1, 2):[[1, ['irr-A17-18', 'irr-B15-31']]]; (1,):[[5, ['irr-A17-18']]]; (2,):[[5, ['irr-B15-31']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-17-bee28fdc	SU(16) x SO(32)	vtx-A15-257-n2-0,vtx-D16-272-n4-n2	0,2	17	73	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 8 x (irr-D16-32),(1,2) : 1 x (irr-A15-16, irr-D16-32)	(1, 2):[[1, ['irr-A15-16', 'irr-D16-32']]]; (2,):[[8, ['irr-D16-32']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-17-129194dd	SU(19) x SO(30)	vtx-A18-362-n2-0,vtx-D15-225-n4-n2	0,2	17	73	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 8 x (irr-A18-19),(2) : 3 x (irr-D15-30),(1,2) : 1 x (irr-A18-19, irr-D15-30)	(1, 2):[[1, ['irr-A18-19', 'irr-D15-30']]]; (1,):[[8, ['irr-A18-19']]]; (2,):[[3, ['irr-D15-30']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-18-80a93319	SU(17) x SO(32)	vtx-A16-290-n2-0,vtx-D16-272-n4-n2	0,2	18	74	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A16-17),(2) : 7 x (irr-D16-32),(1,2) : 1 x (irr-A16-17, irr-D16-32)	(1, 2):[[1, ['irr-A16-17', 'irr-D16-32']]]; (1,):[[2, ['irr-A16-17']]]; (2,):[[7, ['irr-D16-32']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-21-0af613a7	SU(18) x SO(32)	vtx-A17-325-n2-0,vtx-D16-272-n4-n2	0,2	21	77	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A17-18),(2) : 6 x (irr-D16-32),(1,2) : 1 x (irr-A17-18, irr-D16-32)	(1, 2):[[1, ['irr-A17-18', 'irr-D16-32']]]; (1,):[[4, ['irr-A17-18']]]; (2,):[[6, ['irr-D16-32']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-21-b1291fbc	SU(19) x SO(31)	vtx-A18-362-n2-0,vtx-B15-248-n4-n2	0,2	21	77	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 7 x (irr-A18-19),(2) : 4 x (irr-B15-31),(1,2) : 1 x (irr-A18-19, irr-B15-31)	(1, 2):[[1, ['irr-A18-19', 'irr-B15-31']]]; (1,):[[7, ['irr-A18-19']]]; (2,):[[4, ['irr-B15-31']]]
