gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-39-61fed833	SU(21) x SO(31)	vtx-A20-442-n2-0,vtx-B15-248-n4-n2	0,2	39	95	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 11 x (irr-A20-21),(2) : 2 x (irr-B15-31),(1,2) : 1 x (irr-A20-21, irr-B15-31)	(1, 2):[[1, ['irr-A20-21', 'irr-B15-31']]]; (1,):[[11, ['irr-A20-21']]]; (2,):[[2, ['irr-B15-31']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-42-0a68197b	SU(21) x SO(32)	vtx-A20-442-n2-0,vtx-D16-272-n4-n2	0,2	42	98	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 10 x (irr-A20-21),(2) : 3 x (irr-D16-32),(1,2) : 1 x (irr-A20-21, irr-D16-32)	(1, 2):[[1, ['irr-A20-21', 'irr-D16-32']]]; (1,):[[10, ['irr-A20-21']]]; (2,):[[3, ['irr-D16-32']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-46-87812d30	SU(21) x SO(33)	vtx-A20-442-n2-0,vtx-B16-297-n4-n2	0,2	46	102	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 9 x (irr-A20-21),(2) : 4 x (irr-B16-33),(1,2) : 1 x (irr-A20-21, irr-B16-33)	(1, 2):[[1, ['irr-A20-21', 'irr-B16-33']]]; (1,):[[9, ['irr-A20-21']]]; (2,):[[4, ['irr-B16-33']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-50-ff42510f	SU(22) x SO(30)	vtx-A21-485-n2-0,vtx-D15-225-n4-n2	0,2	50	106	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 14 x (irr-A21-22),(1,2) : 1 x (irr-A21-22, irr-D15-30)	(1, 2):[[1, ['irr-A21-22', 'irr-D15-30']]]; (1,):[[14, ['irr-A21-22']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-51-07cf4f17	SU(22) x SO(31)	vtx-A21-485-n2-0,vtx-B15-248-n4-n2	0,2	51	107	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 13 x (irr-A21-22),(2) : 1 x (irr-B15-31),(1,2) : 1 x (irr-A21-22, irr-B15-31)	(1, 2):[[1, ['irr-A21-22', 'irr-B15-31']]]; (1,):[[13, ['irr-A21-22']]]; (2,):[[1, ['irr-B15-31']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-53-c59473b3	SU(22) x SO(32)	vtx-A21-485-n2-0,vtx-D16-272-n4-n2	0,2	53	109	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 12 x (irr-A21-22),(2) : 2 x (irr-D16-32),(1,2) : 1 x (irr-A21-22, irr-D16-32)	(1, 2):[[1, ['irr-A21-22', 'irr-D16-32']]]; (1,):[[12, ['irr-A21-22']]]; (2,):[[2, ['irr-D16-32']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-56-1f4eab96	SU(22) x SO(33)	vtx-A21-485-n2-0,vtx-B16-297-n4-n2	0,2	56	112	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 11 x (irr-A21-22),(2) : 3 x (irr-B16-33),(1,2) : 1 x (irr-A21-22, irr-B16-33)	(1, 2):[[1, ['irr-A21-22', 'irr-B16-33']]]; (1,):[[11, ['irr-A21-22']]]; (2,):[[3, ['irr-B16-33']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-65-59a32f29	SU(23) x SO(31)	vtx-A22-530-n2-0,vtx-B15-248-n4-n2	0,2	65	121	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 15 x (irr-A22-23),(1,2) : 1 x (irr-A22-23, irr-B15-31)	(1, 2):[[1, ['irr-A22-23', 'irr-B15-31']]]; (1,):[[15, ['irr-A22-23']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-66-46c60e9b	SU(23) x SO(32)	vtx-A22-530-n2-0,vtx-D16-272-n4-n2	0,2	66	122	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 14 x (irr-A22-23),(2) : 1 x (irr-D16-32),(1,2) : 1 x (irr-A22-23, irr-D16-32)	(1, 2):[[1, ['irr-A22-23', 'irr-D16-32']]]; (1,):[[14, ['irr-A22-23']]]; (2,):[[1, ['irr-D16-32']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-68-187bf1c2	SU(23) x SO(33)	vtx-A22-530-n2-0,vtx-B16-297-n4-n2	0,2	68	124	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 13 x (irr-A22-23),(2) : 2 x (irr-B16-33),(1,2) : 1 x (irr-A22-23, irr-B16-33)	(1, 2):[[1, ['irr-A22-23', 'irr-B16-33']]]; (1,):[[13, ['irr-A22-23']]]; (2,):[[2, ['irr-B16-33']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-81-3b8c3730	SU(24) x SO(32)	vtx-A23-577-n2-0,vtx-D16-272-n4-n2	0,2	81	137	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 16 x (irr-A23-24),(1,2) : 1 x (irr-A23-24, irr-D16-32)	(1, 2):[[1, ['irr-A23-24', 'irr-D16-32']]]; (1,):[[16, ['irr-A23-24']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-82-70a9eb6e	SU(24) x SO(33)	vtx-A23-577-n2-0,vtx-B16-297-n4-n2	0,2	82	138	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 15 x (irr-A23-24),(2) : 1 x (irr-B16-33),(1,2) : 1 x (irr-A23-24, irr-B16-33)	(1, 2):[[1, ['irr-A23-24', 'irr-B16-33']]]; (1,):[[15, ['irr-A23-24']]]; (2,):[[1, ['irr-B16-33']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-98-e174f097	SU(25) x SO(33)	vtx-A24-626-n2-0,vtx-B16-297-n4-n2	0,2	98	154	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 17 x (irr-A24-25),(1,2) : 1 x (irr-A24-25, irr-B16-33)	(1, 2):[[1, ['irr-A24-25', 'irr-B16-33']]]; (1,):[[17, ['irr-A24-25']]]
