"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
64	1	67	259	0	2	0	0	0	0	0	0	"s1:2→1 / s2:1→1"	""
64	1	67	266	1	1	0	0	0	0	0	0	"{s1:1→1 / s2:2→1, s1:1→1 / s2:2→2, s1:1→1 / s2:2→3, s1:1→1 / s2:2→4, s1:1→1 / s2:2→5, s1:2→1 / s2:1→1, s1:2→1 / s2:1→2, s1:2→1 / s2:1→3, s1:2→1 / s2:1→4, s1:2→1 / s2:1→5}"	"{s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1}"
64	2	67	259	0	2	0	0	0	0	0	0	"s1:2→1 / s2:1→1"	""
64	2	67	266	1	1	0	0	0	0	0	0	"{s1:1→1 / s2:2→1, s1:1→1 / s2:2→2, s1:1→1 / s2:2→3, s1:1→1 / s2:2→4, s1:1→1 / s2:2→5, s1:2→1 / s2:1→1, s1:2→1 / s2:1→2, s1:2→1 / s2:1→3, s1:2→1 / s2:1→4, s1:2→1 / s2:1→5}"	"{s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1, s2:65→1}"
64	5	65	249	0	2	0	0	0	0	0	0	"{s1:61→1, s2:61→1}"	"{s1:4→1 / s2:1→1, s1:4→1 / s2:1→1}"
64	5	65	257	1	1	0	0	0	0	0	0	""	"{s1:1→1 / s2:64→1, s1:4→1 / s2:64→1}"
64	5	66	257	1	1	0	0	0	0	0	0	"{s1:61→1, s1:61→1}"	"{s1:1→1 / s2:64→1, s1:4→1 / s2:64→1}"
64	5	67	249	0	2	0	0	0	0	0	0	""	"s1:4→1 / s2:1→1"
64	5	67	258	1	1	0	0	0	0	0	0	"s1:61→1"	"s2:64→1"
64	5	94	250	0	2	0	0	0	0	0	0	"{s1:61→1, s1:61→1}"	"{s2:1→1, s2:4→1}"
64	5	97	257	1	1	0	0	0	0	0	0	"{s2:61→1, s2:61→1}"	"{s1:1→1 / s2:64→1, s1:4→1 / s2:64→1}"
64	5	98	257	1	1	0	0	0	0	0	0	"{s2:61→2, s2:61→2}"	"{s1:1→1 / s2:64→1, s1:4→1 / s2:64→1}"
64	5	99	257	1	1	0	0	0	0	0	0	"{s2:61→3, s2:61→3, s2:61→4, s2:61→4, s2:61→5, s2:61→5}"	"{s1:1→1 / s2:64→1, s1:4→1 / s2:64→1, s1:1→1 / s2:64→1, s1:4→1 / s2:64→1, s1:1→1 / s2:64→1, s1:4→1 / s2:64→1}"
64	6	65	257	0	2	0	0	0	0	0	0	"{s1:62→1, s1:62→1, 64→1, s1:64→1, s2:62→1, s2:62→1, 64→1, s2:64→1}"	"{s1:4→1 / s2:1→1, s1:4→1 / s2:1→1, s1:4→1 / s2:1→1, s1:4→1 / s2:1→1, s1:4→1 / s2:1→1, s1:4→1 / s2:1→1}"
64	6	65	258	0	2	0	0	0	0	0	0	"{s1:62→1 / s2:64→1, s1:62→1 / s2:64→1, s1:64→1 / s2:62→1, s1:64→1 / s2:62→1}"	"{s2:1→1, s2:4→1, s2:1→1, s2:4→1}"
