"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
64	15	70	108	0	2	0	0	0	0	0	1	"{s1:1→1 / s2:64→1 / s3:64→1, s1:1→1 / s2:64→1 / s3:64→2}"	""
64	15	70	114	1	1	0	0	0	0	0	1	"{s1:1→1 / s2:64→1, s1:1→1 / s2:64→1 / s3:64→1, s1:1→1 / s2:64→1 / s3:64→2, s1:1→1 / s2:64→1 / s3:64→3, s1:1→1 / s2:64→1 / s3:64→4, s1:1→1 / s2:64→1 / s3:64→5, s1:1→1 / s2:64→2, s1:1→1 / s2:64→2 / s3:64→1, s1:1→1 / s2:64→3}"	"{s3:63→1, s3:63→1, s3:63→1, s3:63→1, s3:63→1, s3:63→1, s3:63→1, s3:63→1, s3:63→1}"
64	15	70	115	1	1	0	0	0	0	0	1	"{s1:1→1 / s2:64→1 / s3:64→1, s1:1→1 / s2:64→1 / s3:64→2, s1:1→1 / s2:64→1 / s3:64→3, s1:1→1 / s2:64→1 / s3:64→4, s1:1→1 / s2:64→1 / s3:64→5}"	"{s3:66→1, s3:66→1, s3:66→1, s3:66→1, s3:66→1}"
64	15	71	94	1	0	1	0	0	0	0	1	"s1:1→1 / s2:64→1"	"s3:63→1"
64	18	68	171	0	2	0	0	1	0	0	0	"s1:64→1 / s2:64→1"	"s3:1→1"
64	20	68	177	1	1	0	0	0	0	1	0	"s1:1→1 / s2:64→1"	"s3:61→1"
