"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
87	1	88	269	0	0	1	1	0	0	0	0	2
87	17	88	270	0	1	0	0	0	0	1	0	2
87	19	88	262	0	1	0	0	0	0	1	0	5
87	19	88	268	1	0	0	0	0	0	1	0	6
87	19	89	254	0	2	0	0	0	0	1	0	2
87	19	89	260	1	1	0	0	0	0	1	0	9
87	19	89	261	1	1	0	0	0	0	1	0	5
87	19	90	259	2	1	0	0	0	0	1	0	2
87	20	88	261	0	1	0	0	0	0	1	0	5
87	20	88	268	1	0	0	0	0	0	1	0	6
87	20	88	272	0	0	0	1	1	0	0	0	2
87	20	89	240	1	0	1	0	0	0	1	0	2
87	20	89	253	0	2	0	0	0	0	1	0	3
87	20	89	260	1	1	0	0	0	0	1	0	21
87	20	89	268	1	0	1	0	0	1	0	0	2
87	20	90	252	1	2	0	0	0	0	1	0	5
87	20	90	258	2	1	0	0	0	0	1	0	2
87	20	90	259	2	1	0	0	0	0	1	0	6
87	41	88	268	1	0	0	0	0	1	0	0	2
87	41	89	240	1	0	0	0	0	0	1	0	2
87	42	87	245	0	0	0	1	1	0	0	0	2
87	42	88	269	0	0	1	0	1	0	0	0	2
87	42	89	261	0	1	1	0	1	0	0	0	2
87	42	90	273	0	3	0	0	1	0	0	0	2
