"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
59	1	"4 e8+5 f5+10(g2+su(2))"	59	228	0	1	0	0	0	0	1	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	59	236	0	0	0	0	0	0	1	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	59	236	0	0	1	0	0	1	0	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	59	239	0	0	0	1	1	0	0	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	59	264	0	0	0	0	0	1	0	0	3
59	1	"4 e8+5 f5+10(g2+su(2))"	60	131	0	0	0	0	0	1	1	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	60	186	0	0	0	0	1	1	0	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	60	208	0	0	1	0	0	0	1	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	60	212	0	0	0	1	0	1	0	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	61	158	0	0	0	0	1	0	1	0	2
59	1	"4 e8+5 f5+10(g2+su(2))"	61	184	0	0	0	1	0	0	1	0	2
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	59	240	0	0	0	1	1	0	0	0	2
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	105	1	2	0	0	0	0	0	1	3
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	106	0	2	0	0	0	0	0	1	3
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	111	2	1	0	0	0	0	0	1	2
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	112	2	1	0	0	0	0	0	1	6
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	113	1	1	0	0	0	0	0	1	21
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	114	0	1	0	0	0	0	0	1	4
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	65	121	1	0	0	0	0	0	0	1	5
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	66	93	1	0	1	0	0	0	0	1	2
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	66	105	1	2	0	0	0	0	0	1	2
59	3	"4 e8+6 f5+su(3)+9(g2+su(2))"	63	184	1	0	0	0	0	0	1	0	6
59	5	"4 e8+7 f5+2 su(3)+8(g2+su(2))"	59	258	1	1	0	0	0	0	0	0	2
59	5	"4 e8+7 f5+2 su(3)+8(g2+su(2))"	59	259	0	1	0	0	0	0	0	0	3
59	8	"5 e8+4 f5+9(g2+su(2))"	63	173	1	1	0	0	0	0	0	0	5
59	8	"5 e8+4 f5+9(g2+su(2))"	63	174	0	1	0	0	0	0	0	0	4
59	8	"5 e8+4 f5+9(g2+su(2))"	64	166	0	2	0	0	0	0	0	0	2
59	9	"4 e8+e7'+5 f5+su(3)+9(g2+su(2))"	59	264	1	0	0	0	0	0	0	0	3
59	10	"4 e8+e7'+5 f5+9(g2+su(2))"	59	264	1	1	0	0	0	0	0	0	4
59	10	"4 e8+e7'+5 f5+9(g2+su(2))"	59	265	0	1	0	0	0	0	0	0	2
59	11	"4 e8+e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	59	208	0	1	0	0	1	0	0	0	2
59	11	"4 e8+e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	59	234	0	1	0	1	0	0	0	0	2
59	11	"4 e8+e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	60	181	0	1	0	0	0	1	0	0	2
59	11	"4 e8+e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	61	153	0	1	0	0	0	0	1	0	2
59	13	"5 e8+4 f5+9(g2+su(2))"	63	164	1	2	0	0	0	0	0	0	5
59	13	"5 e8+4 f5+9(g2+su(2))"	63	165	0	2	0	0	0	0	0	0	5
59	13	"5 e8+4 f5+9(g2+su(2))"	63	173	1	1	0	0	0	0	0	0	5
59	13	"5 e8+4 f5+9(g2+su(2))"	63	174	0	1	0	0	0	0	0	0	4
59	13	"5 e8+4 f5+9(g2+su(2))"	64	157	0	3	0	0	0	0	0	0	2
59	13	"5 e8+4 f5+9(g2+su(2))"	64	166	0	2	0	0	0	0	0	0	2
59	14	"4 e8+e7+4 f5+10(g2+su(2))"	59	208	0	0	1	1	0	0	0	0	2
59	14	"4 e8+e7+4 f5+10(g2+su(2))"	59	228	0	1	0	1	0	0	0	0	2
59	14	"4 e8+e7+4 f5+10(g2+su(2))"	59	236	0	0	0	1	0	0	0	0	2
59	14	"4 e8+e7+4 f5+10(g2+su(2))"	59	260	0	0	1	0	0	0	0	0	3
59	15	"4 e8+e7'+5 f5+su(3)+9(g2+su(2))"	59	264	1	0	0	0	0	0	0	0	2
59	16	"4 e8+e6+5 f5+2 su(3)+8(g2+su(2))"	59	233	0	1	0	1	0	0	0	0	2
59	16	"4 e8+e6+5 f5+2 su(3)+8(g2+su(2))"	60	207	0	1	0	0	1	0	0	0	2
59	17	"4 e8+e7'+5 f5+9(g2+su(2))"	59	264	0	1	0	0	0	0	0	0	3
59	17	"4 e8+e7'+5 f5+9(g2+su(2))"	59	265	0	1	0	0	0	0	0	0	2
59	18	"4 e8+e7'+5 f5+9(g2+su(2))"	59	264	1	1	0	0	0	0	0	0	2
59	18	"4 e8+e7'+5 f5+9(g2+su(2))"	59	265	0	1	0	0	0	0	0	0	2
59	19	"4 e8+e6+5 f5+2 su(3)+8(g2+su(2))"	59	207	0	1	0	0	1	0	0	0	2
59	19	"4 e8+e6+5 f5+2 su(3)+8(g2+su(2))"	59	233	0	1	0	1	0	0	0	0	2
59	22	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	166	0	1	0	0	0	0	0	0	2
59	22	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	171	2	0	0	0	0	0	0	0	3
59	22	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	173	1	0	0	0	0	0	0	0	5
59	24	"4 e8+5 f5+so(8)+su(3)+9(g2+su(2))"	66	93	1	0	0	0	0	0	0	1	2
59	29	"4 e8+e7'+5 f5+10(g2+su(2))"	59	262	1	0	0	0	0	0	0	0	3
59	31	"4 e8+e7'+5 f5+9(g2+su(2))"	59	264	0	1	0	0	0	0	0	0	2
