"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
59	1	"4 e8+5 f5+10(g2+su(2))"	"4 e8+e7'+5 f5+10(g2+su(2))"	59	264	0	0	0	0	0	1	0	0	"{s1:1→1, s1:1→1, 59→1, s1:59→1}"	""
59	1	"4 e8+5 f5+10(g2+su(2))"	"4 e8+e7+5 f5+10(g2+su(2))"	59	236	0	0	0	0	0	0	1	0	"{s1:1→1, s1:59→1}"	""
59	1	"4 e8+5 f5+10(g2+su(2))"	"4 e8+e7+5 f5+10(g2+su(2))"	60	236	0	0	0	0	0	0	1	0	"s1:1→1, 59→1"	""
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	"4 e8+e7'+5 f5+su(3)+9(g2+su(2))"	59	265	0	0	0	0	0	1	0	0	"s1:59→1"	""
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	"4 e8+e7+5 f5+su(3)+9(g2+su(2))"	59	237	0	0	0	0	0	0	1	0	"s1:59→1"	""
59	2	"4 e8+5 f5+su(3)+9(g2+su(2))"	"5 e8+5 f5+su(3)+9(g2+su(2))"	59	122	0	0	0	0	0	0	0	1	"s1:59→1"	""
59	3	"4 e8+6 f5+su(3)+9(g2+su(2))"	"4 e8+7 f5+su(3)+9(g2+su(2))"	59	266	0	0	0	1	0	0	0	0	"s1:1→1"	""
59	3	"4 e8+6 f5+su(3)+9(g2+su(2))"	"4 e8+e6+6 f5+su(3)+9(g2+su(2))"	59	240	0	0	0	0	1	0	0	0	"s1:1→1"	""
59	3	"4 e8+6 f5+su(3)+9(g2+su(2))"	"4 e8+e7'+6 f5+su(3)+9(g2+su(2))"	59	213	0	0	0	0	0	1	0	0	"s1:1→1"	""
59	3	"4 e8+6 f5+su(3)+9(g2+su(2))"	"4 e8+e7+6 f5+su(3)+9(g2+su(2))"	59	185	0	0	0	0	0	0	1	0	"s1:1→1"	""
59	4	"4 e8+6 f5+10(g2+su(2))"	"4 e8+7 f5+10(g2+su(2))"	59	265	0	0	0	1	0	0	0	0	"s1:1→1"	""
59	4	"4 e8+6 f5+10(g2+su(2))"	"4 e8+e6+6 f5+10(g2+su(2))"	59	239	0	0	0	0	1	0	0	0	"s1:1→1"	""
59	4	"4 e8+6 f5+10(g2+su(2))"	"4 e8+e7'+6 f5+10(g2+su(2))"	59	212	0	0	0	0	0	1	0	0	"s1:1→1"	""
59	4	"4 e8+6 f5+10(g2+su(2))"	"4 e8+e7+6 f5+10(g2+su(2))"	59	184	0	0	0	0	0	0	1	0	"s1:1→1"	""
59	5	"4 e8+7 f5+2 su(3)+8(g2+su(2))"	"4 e8+7 f5+3 su(3)+8(g2+su(2))"	59	259	0	1	0	0	0	0	0	0	"{s1:1→1, s1:1→1, 59→1, s1:59→1}"	""
59	6	"4 e8+7 f5+su(3)+9(g2+su(2))"	"4 e8+7 f5+2 su(3)+9(g2+su(2))"	59	258	0	1	0	0	0	0	0	0	"s1:1→1"	""
59	8	"5 e8+4 f5+9(g2+su(2))"	"5 e8+4 f5+so(8)+9(g2+su(2))"	59	154	0	0	1	0	0	0	0	0	"s1:1→1"	""
59	8	"5 e8+4 f5+9(g2+su(2))"	"5 e8+4 f5+su(3)+9(g2+su(2))"	59	174	0	1	0	0	0	0	0	0	"s1:1→1"	""
59	8	"5 e8+4 f5+9(g2+su(2))"	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	174	0	1	0	0	0	0	0	0	"{s1:1→2, s1:1→3, s1:1→4, s1:1→5}"	""
59	8	"5 e8+4 f5+9(g2+su(2))"	"5 e8+5 f5+9(g2+su(2))"	59	130	0	0	0	1	0	0	0	0	"s1:1→1"	""
