"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
14	1	"2 f5+su(3)+2(g2+su(2))"	"2 f5+2 su(3)+2(g2+su(2))"	14	268	0	1	0	0	0	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"2 f5+so(8)+su(3)+2(g2+su(2))"	14	248	0	0	1	0	0	0	0	0	3
14	1	"2 f5+su(3)+2(g2+su(2))"	"3 f5+2 su(3)+2(g2+su(2))"	14	216	0	1	0	1	0	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"3 f5+so(8)+su(3)+2(g2+su(2))"	15	196	0	0	1	1	0	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"3 f5+su(3)+2(g2+su(2))"	14	224	0	0	0	1	0	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"4 f5+3(g2+su(2))"	19	171	1	0	0	2	0	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+2 su(3)+2(g2+su(2))"	15	190	0	1	0	0	1	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+3 su(3)+2(g2+su(2))"	18	182	0	2	0	0	1	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+so(8)+3(g2+su(2))"	18	169	1	0	1	0	1	0	0	0	6
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+so(8)+3(g2+su(2))"	19	169	1	0	1	0	1	0	0	0	4
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+so(8)+3(g2+su(2))"	20	169	1	0	1	0	1	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+so(8)+su(3)+2(g2+su(2))"	16	170	0	0	1	0	1	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+su(3)+2(g2+su(2))"	14	198	0	0	0	0	1	0	0	0	2
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+2 f5+su(3)+3(g2+su(2))"	17	189	1	1	0	0	1	0	0	0	4
14	1	"2 f5+su(3)+2(g2+su(2))"	"e6+3 f5+3(g2+su(2))"	19	145	1	0	0	1	1	0	0	0	2
