"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
4	1	"0"	4	-132	0	0	0	0	0	0	0	1	"s1:1→1"	""
4	1	"0"	4	-17	0	0	0	0	0	0	1	0	"s1:1→1"	""
4	1	"0"	4	11	0	0	0	0	0	1	0	0	"s1:1→1"	""
4	1	"0"	4	38	0	0	0	0	1	0	0	0	"s1:1→1"	""
4	1	"0"	4	64	0	0	0	1	0	0	0	0	"s1:1→1"	""
4	1	"0"	4	88	0	0	1	0	0	0	0	0	"s1:4→1"	""
4	1	"0"	4	107	0	1	0	0	0	0	0	0	""	"s1:2→1"
4	1	"0"	4	108	0	1	0	0	0	0	0	0	"s1:4→1"	""
4	1	"0"	8	108	0	1	0	0	0	0	0	0	"s1:1→1, 4→1"	""
4	1	"0"	9	88	0	0	1	0	0	0	0	0	"s1:1→1, 4→1"	""
4	1	"0"	9	107	0	1	0	0	0	0	0	0	"s1:4→1"	"s1:2→1"
4	1	"0"	10	64	0	0	0	1	0	0	0	0	"s1:1→1, 4→1"	""
4	1	"0"	10	88	0	0	1	0	0	0	0	0	"s1:1→2, 4→2"	""
4	1	"0"	10	107	0	1	0	0	0	0	0	0	"{s1:1→1, s1:1→1, 4→1, s1:1→1, 4→2, s1:1→1, 4→3, s1:1→1, 4→4, s1:1→2, 4→1, s1:1→2, 4→2, s1:1→2, 4→3, s1:1→3, 4→2}"	"{s1:2→1, s1:2→1, s1:2→1, s1:2→1, s1:2→1, s1:2→1, s1:2→1, s1:2→1, s1:2→1}"
4	1	"0"	10	108	0	1	0	0	0	0	0	0	"{s1:1→1, 4→2, s1:1→1, 4→3, s1:1→2, 4→2, s1:1→2, 4→3}"	""
4	1	"0"	11	38	0	0	0	0	1	0	0	0	"s1:1→1, 4→1"	""
4	1	"0"	11	88	0	0	1	0	0	0	0	0	"s1:1→1, 4→2"	""
4	1	"0"	11	107	0	1	0	0	0	0	0	0	"{s1:1→3, 4→1, s1:1→4, 4→1, s1:4→2, s1:4→3}"	"{s1:2→1, s1:2→1, s1:2→1, s1:2→1}"
4	1	"0"	11	108	0	1	0	0	0	0	0	0	"{s1:1→1, 4→4, s1:4→2}"	""
4	1	"0"	12	11	0	0	0	0	0	1	0	0	"s1:1→1, 4→1"	""
4	1	"0"	12	88	0	0	1	0	0	0	0	0	"s1:4→2"	""
4	1	"0"	12	107	0	1	0	0	0	0	0	0	"{s1:1→2, s1:1→3, s1:1→4, s1:4→4, s1:4→5}"	"{s1:2→1, s1:2→1, s1:2→1, s1:2→1, s1:2→1}"
4	1	"0"	12	108	0	1	0	0	0	0	0	0	"s1:4→3"	""
4	1	"0"	13	-17	0	0	0	0	0	0	1	0	"s1:1→1, 4→1"	""
4	1	"0"	13	108	0	1	0	0	0	0	0	0	"{s1:4→4, s1:4→5}"	""
4	1	"0"	17	-132	0	0	0	0	0	0	0	1	"s1:1→1, 4→1"	""
4	2	"su(3)"	4	30	0	0	0	0	1	0	0	0	"s1:4→1"	""
4	2	"su(3)"	4	56	0	0	0	1	0	0	0	0	"s1:4→1"	""
4	2	"su(3)"	4	80	0	0	1	0	0	0	0	0	"s1:4→1"	""
4	2	"su(3)"	4	99	0	1	0	0	0	0	0	0	""	"s1:1→1"
4	2	"su(3)"	4	100	0	1	0	0	0	0	0	0	"s1:4→1"	""
4	2	"su(3)"	4	107	1	0	0	0	0	0	0	0	""	"s1:3→1"
4	2	"su(3)"	9	99	0	1	0	0	0	0	0	0	"s1:4→1"	"s1:1→1"
4	2	"su(3)"	9	100	0	1	0	0	0	0	0	0	"s1:2→1"	""
4	2	"su(3)"	9	107	1	0	0	0	0	0	0	0	"s1:4→1"	"s1:3→1"
4	2	"su(3)"	10	80	0	0	1	0	0	0	0	0	"s1:2→1"	""
4	2	"su(3)"	10	99	0	1	0	0	0	0	0	0	"{s1:2→1, 4→1, s1:2→1, 4→2, s1:2→1, 4→3, s1:2→2, 4→1, s1:2→2, 4→2, s1:2→2, 4→3}"	"{s1:1→1, s1:1→1, s1:1→1, s1:1→1, s1:1→1, s1:1→1}"
4	2	"su(3)"	10	100	0	1	0	0	0	0	0	0	"{s1:2→1, 4→1, s1:2→1, 4→2, s1:2→2, 4→1, s1:2→2, 4→2, s1:2→2, 4→3, s1:2→3, 4→1, s1:2→3, 4→2, s1:2→4, 4→1}"	""
4	2	"su(3)"	10	107	1	0	0	0	0	0	0	0	"{s1:2→1, s1:2→1, 4→1, s1:2→1, 4→2, s1:2→1, 4→3, s1:2→1, 4→4, s1:2→2, s1:2→2, 4→1, s1:2→2, 4→2, s1:2→2, 4→3, s1:2→3, s1:2→3, 4→1, s1:2→3, 4→2, s1:2→4, s1:2→4, 4→1, s1:2→5}"	"{s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1, s1:3→1}"
4	2	"su(3)"	11	56	0	0	0	1	0	0	0	0	"s1:2→1"	""
4	2	"su(3)"	11	80	0	0	1	0	0	0	0	0	"s1:2→1, 4→1"	""
4	2	"su(3)"	11	99	0	1	0	0	0	0	0	0	"{s1:2→1, s1:2→2, s1:4→2, s1:4→3}"	"{s1:1→1, s1:1→1, s1:1→1, s1:1→1}"
4	2	"su(3)"	11	100	0	1	0	0	0	0	0	0	"{s1:2→1, 4→3, s1:2→1, 4→4, s1:2→2, s1:2→3, s1:2→4, s1:2→5, s1:4→2}"	""
4	2	"su(3)"	11	107	1	0	0	0	0	0	0	0	"{s1:4→2, s1:4→3}"	"{s1:3→1, s1:3→1}"
