"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
4	1	"0"	13	55	1	1	0	1	0	0	0	0
4	1	"0"	13	56	0	1	0	1	0	0	0	0
4	1	"0"	13	68	2	2	1	0	0	0	0	0
4	1	"0"	13	70	1	2	1	0	0	0	0	0
4	1	"0"	13	71	1	2	1	0	0	0	0	0
4	1	"0"	13	77	2	1	1	0	0	0	0	0
4	1	"0"	13	79	1	1	1	0	0	0	0	0
4	1	"0"	13	80	0	1	1	0	0	0	0	0
4	1	"0"	13	80	2	4	0	0	0	0	0	0
4	1	"0"	13	82	1	4	0	0	0	0	0	0
4	1	"0"	13	83	0	4	0	0	0	0	0	0
4	1	"0"	13	83	1	4	0	0	0	0	0	0
4	1	"0"	13	87	3	3	0	0	0	0	0	0
4	1	"0"	13	88	2	3	0	0	0	0	0	0
4	1	"0"	13	89	2	3	0	0	0	0	0	0
4	1	"0"	13	90	1	3	0	0	0	0	0	0
4	1	"0"	13	90	2	3	0	0	0	0	0	0
4	1	"0"	13	91	0	3	0	0	0	0	0	0
4	1	"0"	13	91	1	3	0	0	0	0	0	0
4	1	"0"	13	96	2	2	0	0	0	0	0	0
4	1	"0"	13	96	3	2	0	0	0	0	0	0
4	1	"0"	13	97	2	2	0	0	0	0	0	0
4	1	"0"	13	98	1	2	0	0	0	0	0	0
4	1	"0"	13	98	2	2	0	0	0	0	0	0
4	1	"0"	13	99	0	2	0	0	0	0	0	0
4	1	"0"	13	99	1	2	0	0	0	0	0	0
4	1	"0"	13	100	0	2	0	0	0	0	0	0
4	1	"0"	13	105	2	1	0	0	0	0	0	0
4	1	"0"	13	107	1	1	0	0	0	0	0	0
4	1	"0"	13	108	0	1	0	0	0	0	0	0
4	1	"0"	14	-26	1	1	0	0	0	0	1	0
4	1	"0"	14	-15	1	3	0	0	0	1	0	0
4	1	"0"	14	-9	2	2	0	0	0	1	0	0
4	1	"0"	14	-7	1	2	0	0	0	1	0	0
4	1	"0"	14	-6	0	2	0	0	0	1	0	0
4	1	"0"	14	-6	1	2	0	0	0	1	0	0
4	1	"0"	14	-5	0	2	0	0	0	1	0	0
4	1	"0"	14	0	2	1	0	0	0	1	0	0
4	1	"0"	14	1	1	1	1	0	1	0	0	0
4	1	"0"	14	2	1	1	0	0	0	1	0	0
4	1	"0"	14	3	0	1	0	0	0	1	0	0
4	1	"0"	14	12	1	3	0	0	1	0	0	0
4	1	"0"	14	13	0	3	0	0	1	0	0	0
4	1	"0"	14	20	1	2	0	0	1	0	0	0
4	1	"0"	14	21	1	2	0	0	1	0	0	0
4	1	"0"	14	27	1	1	1	1	0	0	0	0
4	1	"0"	14	27	2	1	0	0	1	0	0	0
4	1	"0"	14	29	1	1	0	0	1	0	0	0
4	1	"0"	14	47	0	2	0	1	0	0	0	0
4	1	"0"	14	53	2	1	0	1	0	0	0	0
4	1	"0"	14	62	1	3	1	0	0	0	0	0
4	1	"0"	14	63	0	3	1	0	0	0	0	0
4	1	"0"	14	68	2	2	1	0	0	0	0	0
4	1	"0"	14	70	1	2	1	0	0	0	0	0
4	1	"0"	14	71	0	2	1	0	0	0	0	0
4	1	"0"	14	71	1	2	1	0	0	0	0	0
4	1	"0"	14	72	0	2	1	0	0	0	0	0
4	1	"0"	14	77	2	1	1	0	0	0	0	0
4	1	"0"	14	79	1	1	1	0	0	0	0	0
4	1	"0"	14	80	0	1	1	0	0	0	0	0
4	1	"0"	14	83	1	4	0	0	0	0	0	0
4	1	"0"	14	88	2	3	0	0	0	0	0	0
4	1	"0"	14	89	2	3	0	0	0	0	0	0
4	1	"0"	14	90	1	3	0	0	0	0	0	0
4	1	"0"	14	91	0	3	0	0	0	0	0	0
4	1	"0"	14	92	0	3	0	0	0	0	0	0
4	1	"0"	14	96	2	2	0	0	0	0	0	0
4	1	"0"	14	96	3	2	0	0	0	0	0	0
4	1	"0"	14	97	2	2	0	0	0	0	0	0
4	1	"0"	14	98	1	2	0	0	0	0	0	0
4	1	"0"	14	98	2	2	0	0	0	0	0	0
4	1	"0"	14	99	0	2	0	0	0	0	0	0
4	1	"0"	14	99	1	2	0	0	0	0	0	0
4	1	"0"	14	100	0	2	0	0	0	0	0	0
4	1	"0"	14	105	2	1	0	0	0	0	0	0
4	1	"0"	14	107	1	1	0	0	0	0	0	0
4	1	"0"	15	-43	1	3	0	0	0	0	1	0
4	1	"0"	15	-37	2	2	0	0	0	0	1	0
4	1	"0"	15	-35	1	2	0	0	0	0	1	0
4	1	"0"	15	-34	0	2	0	0	0	0	1	0
4	1	"0"	15	-34	1	2	0	0	0	0	1	0
4	1	"0"	15	-33	0	2	0	0	0	0	1	0
4	1	"0"	15	-28	2	1	0	0	0	0	1	0
