ID	G	vertices	b0·bi	sign(bi·bj)	Δ	Δ+28n	T_min	bi·bj	hypers	hypers(1)	hypers(1,2)	hypers(2)	hypers(2,3)	hypers(3)
clq-(0,2)-(0,2)-n48-10235fd0	SU(10) x SU(20)	vtx-A09-101-n2-0, vtx-A19-51-n1-n1	[0, -1]	[0, 2]	-48	8	2	[[-2, 1], [1, -1]]	"{""2"": ""2 x (irr-A19-20) + 1 x (irr-A19-210)"", ""1,2"": ""1 x (irr-A9-10, irr-A19-20)""}"		1 x (irr-A9-10, irr-A19-20)	2 x (irr-A19-20) + 1 x (irr-A19-210)		
clq-(0,2)-(0,2)-n47-d7240288	SU(11) x SU(20)	vtx-A10-122-n2-0, vtx-A19-51-n1-n1	[0, -1]	[0, 2]	-47	9	2	[[-2, 1], [1, -1]]	"{""1"": ""2 x (irr-A10-11)"", ""2"": ""1 x (irr-A19-20) + 1 x (irr-A19-210)"", ""1,2"": ""1 x (irr-A10-11, irr-A19-20)""}"	2 x (irr-A10-11)	1 x (irr-A10-11, irr-A19-20)	1 x (irr-A19-20) + 1 x (irr-A19-210)		
clq-(0,2)-(0,2)-n44-21a0e78e	SU(12) x SU(20)	vtx-A11-145-n2-0, vtx-A19-51-n1-n1	[0, -1]	[0, 2]	-44	12	2	[[-2, 1], [1, -1]]	"{""1"": ""4 x (irr-A11-12)"", ""2"": ""1 x (irr-A19-210)"", ""1,2"": ""1 x (irr-A11-12, irr-A19-20)""}"	4 x (irr-A11-12)	1 x (irr-A11-12, irr-A19-20)	1 x (irr-A19-210)		
clq-(0,2)-(0,1)-n26-d038adf8	SU(13) x SU(21)	vtx-A12-183-n1-1, vtx-A20-64-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A12-78)"", ""2"": ""1 x (irr-A20-231)"", ""1,2"": ""1 x (irr-A12-13, irr-A20-21)""}"	1 x (irr-A12-78)	1 x (irr-A12-13, irr-A20-21)	1 x (irr-A20-231)		
clq-(0,2)-(0,2)-n45-802364a9	SU(11) x SU(21)	vtx-A10-122-n2-0, vtx-A20-64-n1-n1	[0, -1]	[0, 2]	-45	11	2	[[-2, 1], [1, -1]]	"{""1"": ""1 x (irr-A10-11)"", ""2"": ""2 x (irr-A20-21) + 1 x (irr-A20-231)"", ""1,2"": ""1 x (irr-A10-11, irr-A20-21)""}"	1 x (irr-A10-11)	1 x (irr-A10-11, irr-A20-21)	2 x (irr-A20-21) + 1 x (irr-A20-231)		
clq-(0,2)-(0,2)-n43-e317e270	SU(12) x SU(21)	vtx-A11-145-n2-0, vtx-A20-64-n1-n1	[0, -1]	[0, 2]	-43	13	2	[[-2, 1], [1, -1]]	"{""1"": ""3 x (irr-A11-12)"", ""2"": ""1 x (irr-A20-21) + 1 x (irr-A20-231)"", ""1,2"": ""1 x (irr-A11-12, irr-A20-21)""}"	3 x (irr-A11-12)	1 x (irr-A11-12, irr-A20-21)	1 x (irr-A20-21) + 1 x (irr-A20-231)		
clq-(0,2)-(0,2)-n39-7aec0830	SU(13) x SU(21)	vtx-A12-170-n2-0, vtx-A20-64-n1-n1	[0, -1]	[0, 2]	-39	17	2	[[-2, 1], [1, -1]]	"{""1"": ""5 x (irr-A12-13)"", ""2"": ""1 x (irr-A20-231)"", ""1,2"": ""1 x (irr-A12-13, irr-A20-21)""}"	5 x (irr-A12-13)	1 x (irr-A12-13, irr-A20-21)	1 x (irr-A20-231)		
clq-(0,3)-(0,2)-n53-ce39d2ae	SU(5) x SU(13) x SU(21)	vtx-A04-51-n1-1, vtx-A12-170-n2-0, vtx-A20-64-n1-n1	[1, 0, -1]	[0, 2]	-53	3	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A4-10)"", ""3"": ""1 x (irr-A20-231)"", ""1,2"": ""1 x (irr-A4-5, irr-A12-13)"", ""2,3"": ""1 x (irr-A12-13, irr-A20-21)""}"	1 x (irr-A4-10)	1 x (irr-A4-5, irr-A12-13)		1 x (irr-A12-13, irr-A20-21)	1 x (irr-A20-231)
clq-(0,2)-(0,1)-n27-b941ee6b	SU(22) x Sp(7)	vtx-A21-78-n1-n1, vtx-C07-203-n1-1	[-1, 1]	[0, 1]	-27	1	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A21-22, irr-C7-14)""}"	1 x (irr-A21-253)	1 x (irr-A21-22, irr-C7-14)			
clq-(0,2)-(0,2)-n42-96066719	SU(11) x SU(22)	vtx-A10-122-n2-0, vtx-A21-78-n1-n1	[0, -1]	[0, 2]	-42	14	2	[[-2, 1], [1, -1]]	"{""2"": ""3 x (irr-A21-22) + 1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A10-11, irr-A21-22)""}"		1 x (irr-A10-11, irr-A21-22)	3 x (irr-A21-22) + 1 x (irr-A21-253)		
clq-(0,2)-(0,2)-n41-c70b4666	SU(12) x SU(22)	vtx-A11-145-n2-0, vtx-A21-78-n1-n1	[0, -1]	[0, 2]	-41	15	2	[[-2, 1], [1, -1]]	"{""1"": ""2 x (irr-A11-12)"", ""2"": ""2 x (irr-A21-22) + 1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A11-12, irr-A21-22)""}"	2 x (irr-A11-12)	1 x (irr-A11-12, irr-A21-22)	2 x (irr-A21-22) + 1 x (irr-A21-253)		
clq-(0,2)-(0,2)-n38-c8b75114	SU(13) x SU(22)	vtx-A12-170-n2-0, vtx-A21-78-n1-n1	[0, -1]	[0, 2]	-38	18	2	[[-2, 1], [1, -1]]	"{""1"": ""4 x (irr-A12-13)"", ""2"": ""1 x (irr-A21-22) + 1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A12-13, irr-A21-22)""}"	4 x (irr-A12-13)	1 x (irr-A12-13, irr-A21-22)	1 x (irr-A21-22) + 1 x (irr-A21-253)		
clq-(0,2)-(0,2)-n33-4cd88f49	SU(14) x SU(22)	vtx-A13-197-n2-0, vtx-A21-78-n1-n1	[0, -1]	[0, 2]	-33	23	2	[[-2, 1], [1, -1]]	"{""1"": ""6 x (irr-A13-14)"", ""2"": ""1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A13-14, irr-A21-22)""}"	6 x (irr-A13-14)	1 x (irr-A13-14, irr-A21-22)	1 x (irr-A21-253)		
clq-(0,3)-(0,2)-n54-b84a7b3d	SU(22) x SU(14) x Sp(3)	vtx-A21-78-n1-n1, vtx-A13-197-n2-0, vtx-C03-63-n1-1	[-1, 0, 1]	[0, 2]	-54	2	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A21-22, irr-A13-14)"", ""2,3"": ""1 x (irr-A13-14, irr-C3-6)""}"	1 x (irr-A21-253)	1 x (irr-A21-22, irr-A13-14)		1 x (irr-A13-14, irr-C3-6)	
clq-(0,3)-(0,2)-n52-859c8105	SU(6) x SU(14) x SU(22)	vtx-A05-65-n1-1, vtx-A13-197-n2-0, vtx-A21-78-n1-n1	[1, 0, -1]	[0, 2]	-52	4	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A5-6) + 1 x (irr-A5-20-h)"", ""3"": ""1 x (irr-A21-253)"", ""1,2"": ""1 x (irr-A5-6, irr-A13-14)"", ""2,3"": ""1 x (irr-A13-14, irr-A21-22)""}"	1 x (irr-A5-6) + 1 x (irr-A5-20-h)	1 x (irr-A5-6, irr-A13-14)		1 x (irr-A13-14, irr-A21-22)	1 x (irr-A21-253)
clq-(0,2)-(0,1)-n26-33f8fc9c	SU(15) x SU(23)	vtx-A14-226-n1-1, vtx-A22-93-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A14-105)"", ""2"": ""1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A14-15, irr-A22-23)""}"	1 x (irr-A14-105)	1 x (irr-A14-15, irr-A22-23)	1 x (irr-A22-276)		
clq-(0,2)-(0,2)-n38-5bf65689	SU(12) x SU(23)	vtx-A11-145-n2-0, vtx-A22-93-n1-n1	[0, -1]	[0, 2]	-38	18	2	[[-2, 1], [1, -1]]	"{""1"": ""1 x (irr-A11-12)"", ""2"": ""3 x (irr-A22-23) + 1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A11-12, irr-A22-23)""}"	1 x (irr-A11-12)	1 x (irr-A11-12, irr-A22-23)	3 x (irr-A22-23) + 1 x (irr-A22-276)		
clq-(0,2)-(0,2)-n36-40f91f2d	SU(13) x SU(23)	vtx-A12-170-n2-0, vtx-A22-93-n1-n1	[0, -1]	[0, 2]	-36	20	2	[[-2, 1], [1, -1]]	"{""1"": ""3 x (irr-A12-13)"", ""2"": ""2 x (irr-A22-23) + 1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A12-13, irr-A22-23)""}"	3 x (irr-A12-13)	1 x (irr-A12-13, irr-A22-23)	2 x (irr-A22-23) + 1 x (irr-A22-276)		
clq-(0,2)-(0,2)-n32-3033ba6c	SU(14) x SU(23)	vtx-A13-197-n2-0, vtx-A22-93-n1-n1	[0, -1]	[0, 2]	-32	24	2	[[-2, 1], [1, -1]]	"{""1"": ""5 x (irr-A13-14)"", ""2"": ""1 x (irr-A22-23) + 1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A13-14, irr-A22-23)""}"	5 x (irr-A13-14)	1 x (irr-A13-14, irr-A22-23)	1 x (irr-A22-23) + 1 x (irr-A22-276)		
clq-(0,2)-(0,2)-n26-a4c7cfdc	SU(15) x SU(23)	vtx-A14-226-n2-0, vtx-A22-93-n1-n1	[0, -1]	[0, 2]	-26	30	2	[[-2, 1], [1, -1]]	"{""1"": ""7 x (irr-A14-15)"", ""2"": ""1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A14-15, irr-A22-23)""}"	7 x (irr-A14-15)	1 x (irr-A14-15, irr-A22-23)	1 x (irr-A22-276)		
clq-(0,3)-(0,2)-n53-2a4d55d8	SU(7) x SU(15) x SU(23)	vtx-A06-78-n1-1, vtx-A14-226-n2-0, vtx-A22-93-n1-n1	[1, 0, -1]	[0, 2]	-53	3	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A6-21)"", ""3"": ""1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A6-7, irr-A14-15)"", ""2,3"": ""1 x (irr-A14-15, irr-A22-23)""}"	1 x (irr-A6-21)	1 x (irr-A6-7, irr-A14-15)		1 x (irr-A14-15, irr-A22-23)	1 x (irr-A22-276)
clq-(0,3)-(0,2)-n51-be64decd	SU(6) x SU(15) x SU(23)	vtx-A05-65-n1-1, vtx-A14-226-n2-0, vtx-A22-93-n1-n1	[1, 0, -1]	[0, 2]	-51	5	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A5-20-h)"", ""2"": ""1 x (irr-A14-15)"", ""3"": ""1 x (irr-A22-276)"", ""1,2"": ""1 x (irr-A5-6, irr-A14-15)"", ""2,3"": ""1 x (irr-A14-15, irr-A22-23)""}"	1 x (irr-A5-20-h)	1 x (irr-A5-6, irr-A14-15)	1 x (irr-A14-15)	1 x (irr-A14-15, irr-A22-23)	1 x (irr-A22-276)
clq-(0,2)-(0,1)-n27-8923ae4b	SU(24) x Sp(8)	vtx-A23-109-n1-n1, vtx-C08-248-n1-1	[-1, 1]	[0, 1]	-27	1	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A23-24, irr-C8-16)""}"	1 x (irr-A23-300)	1 x (irr-A23-24, irr-C8-16)			
clq-(0,2)-(0,2)-n34-971944b2	SU(12) x SU(24)	vtx-A11-145-n2-0, vtx-A23-109-n1-n1	[0, -1]	[0, 2]	-34	22	2	[[-2, 1], [1, -1]]	"{""2"": ""4 x (irr-A23-24) + 1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A11-12, irr-A23-24)""}"		1 x (irr-A11-12, irr-A23-24)	4 x (irr-A23-24) + 1 x (irr-A23-300)		
clq-(0,2)-(0,2)-n33-44f53e65	SU(13) x SU(24)	vtx-A12-170-n2-0, vtx-A23-109-n1-n1	[0, -1]	[0, 2]	-33	23	2	[[-2, 1], [1, -1]]	"{""1"": ""2 x (irr-A12-13)"", ""2"": ""3 x (irr-A23-24) + 1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A12-13, irr-A23-24)""}"	2 x (irr-A12-13)	1 x (irr-A12-13, irr-A23-24)	3 x (irr-A23-24) + 1 x (irr-A23-300)		
clq-(0,2)-(0,2)-n30-3688a830	SU(14) x SU(24)	vtx-A13-197-n2-0, vtx-A23-109-n1-n1	[0, -1]	[0, 2]	-30	26	2	[[-2, 1], [1, -1]]	"{""1"": ""4 x (irr-A13-14)"", ""2"": ""2 x (irr-A23-24) + 1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A13-14, irr-A23-24)""}"	4 x (irr-A13-14)	1 x (irr-A13-14, irr-A23-24)	2 x (irr-A23-24) + 1 x (irr-A23-300)		
clq-(0,2)-(0,2)-n25-fcada5e5	SU(15) x SU(24)	vtx-A14-226-n2-0, vtx-A23-109-n1-n1	[0, -1]	[0, 2]	-25	31	2	[[-2, 1], [1, -1]]	"{""1"": ""6 x (irr-A14-15)"", ""2"": ""1 x (irr-A23-24) + 1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A14-15, irr-A23-24)""}"	6 x (irr-A14-15)	1 x (irr-A14-15, irr-A23-24)	1 x (irr-A23-24) + 1 x (irr-A23-300)		
clq-(0,2)-(0,2)-n18-746b00bf	SU(16) x SU(24)	vtx-A15-257-n2-0, vtx-A23-109-n1-n1	[0, -1]	[0, 2]	-18	38	2	[[-2, 1], [1, -1]]	"{""1"": ""8 x (irr-A15-16)"", ""2"": ""1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A15-16, irr-A23-24)""}"	8 x (irr-A15-16)	1 x (irr-A15-16, irr-A23-24)	1 x (irr-A23-300)		
clq-(0,3)-(0,2)-n54-ef1185e9	SU(24) x SU(16) x Sp(4)	vtx-A23-109-n1-n1, vtx-A15-257-n2-0, vtx-C04-92-n1-1	[-1, 0, 1]	[0, 2]	-54	2	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A23-24, irr-A15-16)"", ""2,3"": ""1 x (irr-A15-16, irr-C4-8)""}"	1 x (irr-A23-300)	1 x (irr-A23-24, irr-A15-16)		1 x (irr-A15-16, irr-C4-8)	
clq-(0,3)-(0,2)-n50-629c3e3a	SU(6) x SU(15) x SU(24)	vtx-A05-65-n1-1, vtx-A14-226-n2-0, vtx-A23-109-n1-n1	[1, 0, -1]	[0, 2]	-50	6	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A5-20-h)"", ""3"": ""1 x (irr-A23-24) + 1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A5-6, irr-A14-15)"", ""2,3"": ""1 x (irr-A14-15, irr-A23-24)""}"	1 x (irr-A5-20-h)	1 x (irr-A5-6, irr-A14-15)		1 x (irr-A14-15, irr-A23-24)	1 x (irr-A23-24) + 1 x (irr-A23-300)
clq-(0,3)-(0,3)-n81-322cef2a	SU(8) x SU(16) x SU(24)	vtx-A07-65-n2-0, vtx-A15-257-n2-0, vtx-A23-109-n1-n1	[0, 0, -1]	[0, 3]	-81	3	3	[[-2, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""3"": ""1 x (irr-A23-300)"", ""1,2"": ""1 x (irr-A7-8, irr-A15-16)"", ""2,3"": ""1 x (irr-A15-16, irr-A23-24)""}"		1 x (irr-A7-8, irr-A15-16)		1 x (irr-A15-16, irr-A23-24)	1 x (irr-A23-300)
clq-(0,2)-(0,1)-n26-a3317f97	SU(17) x SU(25)	vtx-A16-273-n1-1, vtx-A24-126-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A16-136)"", ""2"": ""1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A16-17, irr-A24-25)""}"	1 x (irr-A16-136)	1 x (irr-A16-17, irr-A24-25)	1 x (irr-A24-325)		
clq-(0,2)-(0,2)-n29-4be400a4	SU(13) x SU(25)	vtx-A12-170-n2-0, vtx-A24-126-n1-n1	[0, -1]	[0, 2]	-29	27	2	[[-2, 1], [1, -1]]	"{""1"": ""1 x (irr-A12-13)"", ""2"": ""4 x (irr-A24-25) + 1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A12-13, irr-A24-25)""}"	1 x (irr-A12-13)	1 x (irr-A12-13, irr-A24-25)	4 x (irr-A24-25) + 1 x (irr-A24-325)		
clq-(0,2)-(0,2)-n27-6fd43f84	SU(14) x SU(25)	vtx-A13-197-n2-0, vtx-A24-126-n1-n1	[0, -1]	[0, 2]	-27	29	2	[[-2, 1], [1, -1]]	"{""1"": ""3 x (irr-A13-14)"", ""2"": ""3 x (irr-A24-25) + 1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A13-14, irr-A24-25)""}"	3 x (irr-A13-14)	1 x (irr-A13-14, irr-A24-25)	3 x (irr-A24-25) + 1 x (irr-A24-325)		
clq-(0,2)-(0,2)-n23-4c42c6c1	SU(15) x SU(25)	vtx-A14-226-n2-0, vtx-A24-126-n1-n1	[0, -1]	[0, 2]	-23	33	2	[[-2, 1], [1, -1]]	"{""1"": ""5 x (irr-A14-15)"", ""2"": ""2 x (irr-A24-25) + 1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A14-15, irr-A24-25)""}"	5 x (irr-A14-15)	1 x (irr-A14-15, irr-A24-25)	2 x (irr-A24-25) + 1 x (irr-A24-325)		
clq-(0,2)-(0,2)-n17-ec2c8e4a	SU(16) x SU(25)	vtx-A15-257-n2-0, vtx-A24-126-n1-n1	[0, -1]	[0, 2]	-17	39	2	[[-2, 1], [1, -1]]	"{""1"": ""7 x (irr-A15-16)"", ""2"": ""1 x (irr-A24-25) + 1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A15-16, irr-A24-25)""}"	7 x (irr-A15-16)	1 x (irr-A15-16, irr-A24-25)	1 x (irr-A24-25) + 1 x (irr-A24-325)		
clq-(0,2)-(0,2)-n9-6f46b3c3	SU(17) x SU(25)	vtx-A16-290-n2-0, vtx-A24-126-n1-n1	[0, -1]	[0, 2]	-9	47	2	[[-2, 1], [1, -1]]	"{""1"": ""9 x (irr-A16-17)"", ""2"": ""1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A16-17, irr-A24-25)""}"	9 x (irr-A16-17)	1 x (irr-A16-17, irr-A24-25)	1 x (irr-A24-325)		
clq-(0,3)-(0,2)-n53-556028d8	SU(9) x SU(17) x SU(25)	vtx-A08-109-n1-1, vtx-A16-290-n2-0, vtx-A24-126-n1-n1	[1, 0, -1]	[0, 2]	-53	3	11	[[-1, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A8-36)"", ""3"": ""1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A8-9, irr-A16-17)"", ""2,3"": ""1 x (irr-A16-17, irr-A24-25)""}"	1 x (irr-A8-36)	1 x (irr-A8-9, irr-A16-17)		1 x (irr-A16-17, irr-A24-25)	1 x (irr-A24-325)
clq-(0,3)-(0,3)-n80-9750088a	SU(9) x SU(17) x SU(25)	vtx-A08-82-n2-0, vtx-A16-290-n2-0, vtx-A24-126-n1-n1	[0, 0, -1]	[0, 3]	-80	4	3	[[-2, 1, 0], [1, -2, 1], [0, 1, -1]]	"{""1"": ""1 x (irr-A8-9)"", ""3"": ""1 x (irr-A24-325)"", ""1,2"": ""1 x (irr-A8-9, irr-A16-17)"", ""2,3"": ""1 x (irr-A16-17, irr-A24-25)""}"	1 x (irr-A8-9)	1 x (irr-A8-9, irr-A16-17)		1 x (irr-A16-17, irr-A24-25)	1 x (irr-A24-325)
