"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
54	1	"4 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+so(8)+8(g2+su(2))"	54	266	0	0	1	0	0	0	0	0	"s1:1→1"	""
54	1	"4 e8+4 f4+8(g2+su(2))"	"4 e8+5 f4+8(g2+su(2))"	54	242	0	0	0	1	0	0	0	0	"s1:1→1"	""
54	1	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e6+4 f4+8(g2+su(2))"	54	216	0	0	0	0	1	0	0	0	"s1:1→1"	""
54	1	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7'+4 f4+8(g2+su(2))"	54	189	0	0	0	0	0	1	0	0	"s1:1→1"	""
54	1	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7+4 f4+8(g2+su(2))"	54	161	0	0	0	0	0	0	1	0	"s1:1→1"	""
54	2	"4 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+so(8)+8(g2+su(2))"	54	266	0	0	1	0	0	0	0	0	"s1:1→1"	""
54	2	"4 e8+4 f4+8(g2+su(2))"	"4 e8+5 f4+8(g2+su(2))"	54	242	0	0	0	1	0	0	0	0	"s1:1→1"	""
54	2	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e6+4 f4+8(g2+su(2))"	54	216	0	0	0	0	1	0	0	0	"s1:1→1"	""
54	2	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7'+4 f4+8(g2+su(2))"	54	189	0	0	0	0	0	1	0	0	"s1:1→1"	""
54	2	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7+4 f4+8(g2+su(2))"	54	161	0	0	0	0	0	0	1	0	"s1:1→1"	""
54	3	"4 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+so(8)+8(g2+su(2))"	54	266	0	0	1	0	0	0	0	0	"s1:54→1"	""
54	3	"4 e8+4 f4+8(g2+su(2))"	"4 e8+5 f4+8(g2+su(2))"	54	242	0	0	0	1	0	0	0	0	"s1:54→1"	""
54	3	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e6+4 f4+8(g2+su(2))"	54	216	0	0	0	0	1	0	0	0	"s1:54→1"	""
54	3	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7'+4 f4+8(g2+su(2))"	54	189	0	0	0	0	0	1	0	0	"s1:54→1"	""
54	3	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7+4 f4+8(g2+su(2))"	54	161	0	0	0	0	0	0	1	0	"s1:54→1"	""
54	4	"4 e8+4 f4+su(3)+8(g2+su(2))"	"4 e8+4 f4+so(8)+su(3)+8(g2+su(2))"	54	258	0	0	1	0	0	0	0	0	"{s1:1→1, s1:1→1, 54→1, s1:54→1}"	""
54	4	"4 e8+4 f4+su(3)+8(g2+su(2))"	"4 e8+5 f4+su(3)+8(g2+su(2))"	54	234	0	0	0	1	0	0	0	0	"{s1:1→1, s1:54→1}"	""
54	4	"4 e8+4 f4+su(3)+8(g2+su(2))"	"4 e8+5 f4+su(3)+8(g2+su(2))"	55	234	0	0	0	1	0	0	0	0	"s1:1→1, 54→1"	""
54	4	"4 e8+4 f4+su(3)+8(g2+su(2))"	"4 e8+e6+4 f4+su(3)+8(g2+su(2))"	54	208	0	0	0	0	1	0	0	0	"s1:54→1"	""
54	5	"4 e8+5 f4+su(3)+7(g2+su(2))"	"4 e8+5 f4+2 su(3)+7(g2+su(2))"	54	235	0	1	0	0	0	0	0	0	"s1:54→1"	""
54	5	"4 e8+5 f4+su(3)+7(g2+su(2))"	"4 e8+5 f4+su(3)+8(g2+su(2))"	54	234	0	1	0	0	0	0	0	0	""	"{s1:1→1, s1:4→1}"
54	5	"4 e8+5 f4+su(3)+7(g2+su(2))"	"4 e8+5 f4+su(3)+8(g2+su(2))"	55	234	0	1	0	0	0	0	0	0	"{s1:54→1, s1:54→1}"	"{s1:1→1, s1:4→1}"
54	6	"4 e8+5 f4+8(g2+su(2))"	"4 e8+5 f4+9(g2+su(2))"	54	233	0	1	0	0	0	0	0	0	""	"{s1:1→1, s1:4→1}"
54	7	"4 e8+5 f4+su(3)+7(g2+su(2))"	"4 e8+5 f4+2 su(3)+7(g2+su(2))"	54	235	0	1	0	0	0	0	0	0	"s1:54→1"	""
54	9	"4 e8+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+4 f4+3 su(3)+8(g2+su(2))"	54	270	0	1	0	0	0	0	0	0	"s1:54→1"	""
54	9	"4 e8+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+4 f4+so(8)+2 su(3)+8(g2+su(2))"	54	250	0	0	1	0	0	0	0	0	"s1:54→1"	""
54	9	"4 e8+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+5 f4+2 su(3)+8(g2+su(2))"	54	226	0	0	0	1	0	0	0	0	"s1:54→1"	""
54	9	"4 e8+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+e6+4 f4+2 su(3)+8(g2+su(2))"	54	200	0	0	0	0	1	0	0	0	"s1:54→1"	""
54	10	"4 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+so(8)+8(g2+su(2))"	54	266	0	0	1	0	0	0	0	0	"s1:1→1"	""
54	10	"4 e8+4 f4+8(g2+su(2))"	"4 e8+5 f4+8(g2+su(2))"	54	242	0	0	0	1	0	0	0	0	"s1:1→1"	""
54	10	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e6+4 f4+8(g2+su(2))"	54	216	0	0	0	0	1	0	0	0	"s1:1→1"	""
54	10	"4 e8+4 f4+8(g2+su(2))"	"4 e8+e7'+4 f4+8(g2+su(2))"	54	189	0	0	0	0	0	1	0	0	"s1:1→1"	""
