"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
54	3	"4 e8+4 f5+8(g2+su(2))"	"4 e8+5 f5+9(g2+su(2))"	54	233	0	1	0	1	0	0	0	0	"{s1:54→1, s1:54→1}"	"{s2:1→1, s2:4→1}"
54	3	"4 e8+4 f5+8(g2+su(2))"	"4 e8+e6+4 f5+9(g2+su(2))"	55	207	0	1	0	0	1	0	0	0	"{s1:54→1, s1:54→1}"	"{s2:1→1, s2:4→1}"
54	3	"4 e8+4 f5+8(g2+su(2))"	"4 e8+e7'+4 f5+9(g2+su(2))"	55	180	0	1	0	0	0	1	0	0	"{s1:54→1, s1:54→1}"	"{s2:1→1, s2:4→1}"
54	3	"4 e8+4 f5+8(g2+su(2))"	"4 e8+e7+4 f5+9(g2+su(2))"	56	152	0	1	0	0	0	0	1	0	"{s1:54→1, s1:54→1}"	"{s2:1→1, s2:4→1}"
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+4 f5+2 so(8)+su(3)+8(g2+su(2))"	54	230	0	0	2	0	0	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+5 f5+2 su(3)+8(g2+su(2))"	54	226	0	1	0	1	0	0	0	0	"{s1:1→1 / s2:54→1, s1:54→1 / s2:1→1}"	""
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+5 f5+9(g2+su(2))"	54	233	1	0	0	1	0	0	0	0	"s1:1→1"	"s2:53→1"
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+5 f5+so(8)+su(3)+8(g2+su(2))"	55	206	0	0	1	1	0	0	0	0	"{s1:1→1 / s2:54→1, s1:54→1 / s2:1→1}"	""
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+6 f5+su(3)+8(g2+su(2))"	55	182	0	0	0	2	0	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+e6+4 f5+2 su(3)+8(g2+su(2))"	55	200	0	1	0	0	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+e6+4 f5+so(8)+su(3)+8(g2+su(2))"	55	180	0	0	1	0	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	"4 e8+4 f5+su(3)+8(g2+su(2))"	"4 e8+e6+5 f5+su(3)+8(g2+su(2))"	56	156	0	0	0	1	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	5	"4 e8+5 f5+su(3)+7(g2+su(2))"	"4 e8+5 f5+2 su(3)+8(g2+su(2))"	54	226	0	2	0	0	0	0	0	0	"{s1:54→1, s1:54→1}"	"{s2:1→1, s2:4→1}"
54	9	"4 e8+4 f5+2 su(3)+8(g2+su(2))"	"4 e8+5 f5+su(3)+9(g2+su(2))"	54	225	1	0	0	1	0	0	0	0	"s1:54→1"	"s2:1→1"
54	9	"4 e8+4 f5+2 su(3)+8(g2+su(2))"	"4 e8+e6+4 f5+su(3)+9(g2+su(2))"	55	199	1	0	0	0	1	0	0	0	"s1:54→1"	"s2:1→1"
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+4 f5+2 so(8)+9(g2+su(2))"	54	229	0	0	2	0	0	0	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+5 f5+so(8)+9(g2+su(2))"	55	205	0	0	1	1	0	0	0	0	"{s1:1→1 / s2:54→1, s1:54→1 / s2:1→1}"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+5 f5+su(3)+9(g2+su(2))"	54	225	0	1	0	1	0	0	0	0	"{s1:1→1 / s2:54→1, s1:54→1 / s2:1→1}"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+6 f5+9(g2+su(2))"	55	181	0	0	0	2	0	0	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e6+4 f5+so(8)+9(g2+su(2))"	55	179	0	0	1	0	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e6+4 f5+su(3)+9(g2+su(2))"	55	199	0	1	0	0	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e6+5 f5+9(g2+su(2))"	55	155	0	0	0	1	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7'+4 f5+so(8)+9(g2+su(2))"	55	152	0	0	1	0	0	1	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7+4 f5+so(8)+9(g2+su(2))"	55	124	0	0	1	0	0	0	1	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7'+4 f5+su(3)+9(g2+su(2))"	55	172	0	1	0	0	0	1	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7'+4 f5+su(3)+9(g2+su(2))"	59	172	0	1	0	0	0	1	0	0	"{s1:54→1 / s2:1→2, s1:54→1 / s2:1→3, s1:54→1 / s2:1→4, s1:54→1 / s2:1→5}"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7+4 f5+su(3)+9(g2+su(2))"	55	144	0	1	0	0	0	0	1	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7+4 f5+su(3)+9(g2+su(2))"	59	144	0	1	0	0	0	0	1	0	"{s1:54→1 / s2:1→2, s1:54→1 / s2:1→3, s1:54→1 / s2:1→4, s1:54→1 / s2:1→5}"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7'+5 f5+9(g2+su(2))"	55	128	0	0	0	1	0	1	0	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"4 e8+e7+5 f5+9(g2+su(2))"	55	100	0	0	0	1	0	0	1	0	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"5 e8+4 f5+so(8)+9(g2+su(2))"	55	9	0	0	1	0	0	0	0	1	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"5 e8+4 f5+su(3)+9(g2+su(2))"	55	29	0	1	0	0	0	0	0	1	"s1:54→1 / s2:1→1"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"5 e8+4 f5+su(3)+9(g2+su(2))"	63	29	0	1	0	0	0	0	0	1	"{s1:54→1 / s2:1→2, s1:54→1 / s2:1→3, s1:54→1 / s2:1→4, s1:54→1 / s2:1→5}"	""
54	12	"4 e8+4 f5+9(g2+su(2))"	"5 e8+5 f5+9(g2+su(2))"	55	-15	0	0	0	1	0	0	0	1	"s1:54→1 / s2:1→1"	""
54	18	"4 e8+4 f5+so(8)+su(3)+8(g2+su(2))"	"4 e8+4 f5+2 so(8)+9(g2+su(2))"	54	229	1	0	1	0	0	0	0	0	"s1:1→1"	"s2:54→1"
54	19	"4 e8+4 f5+so(8)+8(g2+su(2))"	"4 e8+4 f5+2 so(8)+su(3)+8(g2+su(2))"	54	230	0	1	1	0	0	0	0	0	"{s1:54→1 / s2:1→1, s1:54→1 / s2:2→1}"	""
54	19	"4 e8+4 f5+so(8)+8(g2+su(2))"	"4 e8+4 f5+so(8)+9(g2+su(2))"	54	257	1	1	0	0	0	0	0	0	"{s1:1→1 / s2:54→1, s1:2→1 / s2:54→1, s1:54→1 / s2:1→1, s1:54→1 / s2:2→1}"	"{s2:55→1, s2:55→1, s2:55→1, s2:55→1}"
54	25	"4 e8+4 f5+so(8)+8(g2+su(2))"	"4 e8+4 f5+2 so(8)+9(g2+su(2))"	54	229	0	1	1	0	0	0	0	0	"s1:54→1"	"s2:1→1"
54	30	"4 e8+4 f5+so(8)+9(g2+su(2))"	"4 e8+4 f5+2 so(8)+8(g2+su(2))+so(7)+2 su(2)"	54	227	1	0	1	0	0	0	0	0	"s1:1→1"	"s2:54→1"
54	33	"3 e8+2 e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+4 f5+10(g2+su(2))"	54	258	1	1	0	0	0	0	0	0	"{s1:54→1 / s2:1→1, s1:54→1 / s2:2→1}"	"{s2:55→1, s2:55→1}"
54	36	"3 e8+2 e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+4 f5+10(g2+su(2))"	54	258	1	1	0	0	0	0	0	0	"s1:54→1 / s2:3→1"	"s2:55→1"
54	36	"3 e8+2 e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+4 f5+so(8)+10(g2+su(2))"	54	230	0	1	1	0	0	0	0	0	"s1:54→1"	"s2:1→1"
54	36	"3 e8+2 e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+5 f5+10(g2+su(2))"	55	206	0	1	0	1	0	0	0	0	"s1:54→1"	"s2:1→1"
54	37	"4 e8+e7+4 f5+8(g2+su(2))"	"4 e8+e7+4 f5+10(g2+su(2))"	55	143	0	2	0	0	0	0	0	0	""	"s1:54→1 / s2:1→1"
54	43	"3 e8+e7+e6+4 f5+2 su(3)+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+2 e6+4 f5+2 su(3)+7(g2+su(2))+so(7)+2 su(2)"	55	102	0	0	0	0	1	0	1	0	"s1:1→1 / s2:54→1"	""
54	43	"3 e8+e7+e6+4 f5+2 su(3)+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+e6+4 f5+3 su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	172	0	1	0	0	0	0	1	0	"s1:1→1 / s2:54→1"	""
