"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
62	1	63	217	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
62	1	63	241	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
62	1	63	261	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
62	1	70	261	0	1	0	0	0	0	0	0	"""s1:1→2"""	""""""
62	1	70	261	0	1	0	0	0	0	0	0	"""s1:1→3"""	""""""
62	1	71	261	0	1	0	0	0	0	0	0	"""s1:1→4"""	""""""
62	1	71	261	0	1	0	0	0	0	0	0	"""s1:1→5"""	""""""
62	1	68	253	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
62	1	71	253	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	""""""
62	1	69	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:63→1"""
62	1	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	"""s2:63→1"""
62	1	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3"""	"""s2:63→1"""
62	1	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→4"""	"""s2:63→1"""
62	1	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→5"""	"""s2:63→1"""
62	2	63	217	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
62	2	63	241	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
62	2	63	261	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
62	2	69	261	0	1	0	0	0	0	0	0	"""s1:1→2"""	""""""
62	2	71	261	0	1	0	0	0	0	0	0	"""s1:1→3"""	""""""
62	2	71	261	0	1	0	0	0	0	0	0	"""s1:1→4"""	""""""
62	2	71	261	0	1	0	0	0	0	0	0	"""s1:1→5"""	""""""
62	2	68	253	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
62	2	71	253	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	""""""
62	2	70	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:63→1"""
62	2	70	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	"""s2:63→1"""
62	2	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3"""	"""s2:63→1"""
62	2	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→4"""	"""s2:63→1"""
62	2	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→5"""	"""s2:63→1"""
62	3	68	253	0	1	0	0	0	0	0	0	"""s1:2→1"""	""""""
62	3	68	253	0	1	0	0	0	0	0	0	"""s1:2→2"""	""""""
62	3	63	260	1	0	0	0	0	0	0	0	"""s1:2→0"""	"""s1:1→1"""
62	3	68	260	1	0	0	0	0	0	0	0	"""s1:2→1"""	"""s1:1→1"""
62	3	68	260	1	0	0	0	0	0	0	0	"""s1:2→2"""	"""s1:1→1"""
62	3	68	260	1	0	0	0	0	0	0	0	"""s1:2→3"""	"""s1:1→1"""
62	3	68	260	1	0	0	0	0	0	0	0	"""s1:2→4"""	"""s1:1→1"""
62	3	68	260	1	0	0	0	0	0	0	0	"""s1:2→5"""	"""s1:1→1"""
62	3	68	252	1	1	0	0	0	0	0	0	"""s1:2→1 / s2:2→0"""	"""s2:1→1"""
62	4	63	217	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
62	4	63	241	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
62	4	63	261	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
62	4	70	261	0	1	0	0	0	0	0	0	"""s1:1→2"""	""""""
62	4	70	261	0	1	0	0	0	0	0	0	"""s1:1→3"""	""""""
62	4	71	261	0	1	0	0	0	0	0	0	"""s1:1→4"""	""""""
62	4	71	261	0	1	0	0	0	0	0	0	"""s1:1→5"""	""""""
62	4	63	260	0	1	0	0	0	0	0	0	"""s1:1→0"""	"""s1:62→1"""
62	4	63	260	0	1	0	0	0	0	0	0	"""s1:1→1"""	"""s1:62→1"""
62	4	64	260	0	1	0	0	0	0	0	0	"""s1:1→2"""	"""s1:62→1"""
62	4	64	208	0	1	0	1	0	0	0	0	"""s1:1→1 / s2:∅"""	"""s2:62→1"""
62	4	64	232	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:∅"""	"""s2:62→1"""
62	4	65	232	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:∅"""	"""s2:56→1"""
62	4	68	253	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
62	4	71	253	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	""""""
62	4	65	252	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:62→1"""
62	4	64	252	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:56→1"""
62	4	66	251	0	2	0	0	0	0	0	0	"""s1:1→0 / s2:1→0"""	"""s1:62→1 / s2:56→1"""
62	4	64	251	0	2	0	0	0	0	0	0	"""s1:1→0 / s2:1→1"""	"""s1:62→1 / s2:56→1"""
62	4	70	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:63→1"""
62	4	70	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	"""s2:63→1"""
62	4	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3"""	"""s2:63→1"""
62	4	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→4"""	"""s2:63→1"""
62	4	71	260	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→5"""	"""s2:63→1"""
