"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
45	1	46	149	0	0	0	0	0	0	1	0	"""s1:1→1"""	""
45	1	46	177	0	0	0	0	0	1	0	0	"""s1:1→1"""	""
45	1	46	204	0	0	0	0	1	0	0	0	"""s1:1→1"""	""
45	1	46	230	0	0	0	1	0	0	0	0	"""s1:1→1"""	""
45	1	46	254	0	0	1	0	0	0	0	0	"""s1:1→1"""	""
45	1	47	203	1	0	0	0	1	0	0	0	"""s1:1→1 / s2:1→0, 42→0"""	"""s2:45→1"""
45	1	47	229	1	0	0	1	0	0	0	0	"{""s1:1→1 / s2:1→0, 42→0"", ""s1:1→1 / s2:1→1, 42→1"", ""s1:1→1 / s2:1→1, 42→2"", ""s1:1→1 / s2:1→2, 42→2"", ""s1:1→1 / s2:1→2, 42→3""}"	"{""s2:45→1"", ""s2:45→1"", ""s2:45→1"", ""s2:45→1"", ""s2:45→1""}"
45	1	47	246	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→1, 42→1"""	""
45	1	47	253	1	0	1	0	0	0	0	0	"{""s1:1→1 / s2:1→1, 42→1"", ""s1:1→1 / s2:1→2, 42→1"", ""s1:1→1 / s2:1→2, 42→2"", ""s1:1→1 / s2:1→3, 42→2""}"	"{""s2:45→1"", ""s2:45→1"", ""s2:45→1"", ""s2:45→1""}"
45	1	47	266	0	2	0	0	0	0	0	0	"{""s1:1→1, 42→0 / s2:1→1, 42→1"", ""s1:1→1, 42→0 / s2:1→2, 42→1""}"	""
