"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
22	1	24	235	0	2	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→1"", ""s1:1→0, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→2"", ""s1:1→1, 22→0 / s2:1→2, 22→3"", ""s1:1→1, 22→1 / s2:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→2, 22→1"", ""s1:1→1, 22→1 / s2:1→2, 22→2"", ""s1:1→1, 22→1 / s2:1→2, 22→3"", ""s1:1→1, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→2 / s2:1→2, 22→2""}"	"{"""", """", """", """", """", """", """", """", """", """", """", """", """"}"
22	1	24	240	2	1	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0 / s3:1→3, 22→2"", ""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→2, 22→3"", ""s1:1→1, 22→1 / s2:1→0, 22→1 / s3:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→0 / s3:1→1, 22→1""}"	"{""s2:23→1 / s3:23→1"", ""s2:23→1 / s3:23→1"", ""s2:23→1 / s3:23→1"", ""s2:23→1 / s3:23→1""}"
22	1	24	241	2	1	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0 / s3:1→2, 22→2"", ""s1:1→1, 22→1 / s2:1→0, 22→1 / s3:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→0, 22→1 / s3:1→2, 22→1""}"	"{""s2:23→1 / s3:2→1"", ""s2:23→1 / s3:2→1"", ""s2:2→1 / s3:23→1""}"
22	1	24	242	1	1	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→0, 22→1"", ""s1:1→0, 22→1 / s2:1→1, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→2"", ""s1:1→0, 22→1 / s2:1→2, 22→3"", ""s1:1→0, 22→1 / s2:1→3, 22→2"", ""s1:1→0, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→3"", ""s1:1→1, 22→0 / s2:1→2, 22→3"", ""s1:1→1, 22→0 / s2:1→2, 22→3"", ""s1:1→1, 22→1 / s2:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→0, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→0"", ""s1:1→1, 22→1 / s2:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→3"", ""s1:1→1, 22→1 / s2:1→1, 22→4"", ""s1:1→1, 22→1 / s2:1→2, 22→1"", ""s1:1→1, 22→1 / s2:1→2, 22→1"", ""s1:1→1, 22→1 / s2:1→2, 22→2"", ""s1:1→1, 22→1 / s2:1→2, 22→2"", ""s1:1→1, 22→1 / s2:1→2, 22→3"", ""s1:1→1, 22→1 / s2:1→2, 22→3"", ""s1:1→1, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→2 / s2:1→0, 22→1"", ""s1:1→1, 22→2 / s2:1→1, 22→1"", ""s1:1→1, 22→2 / s2:1→1, 22→2"", ""s1:1→1, 22→2 / s2:1→1, 22→3"", ""s1:1→1, 22→2 / s2:1→2, 22→2"", ""s1:1→1, 22→2 / s2:1→2, 22→3"", ""s1:1→1, 22→2 / s2:1→2, 22→3"", ""s1:1→2, 22→1 / s2:1→0, 22→1"", ""s1:1→2, 22→1 / s2:1→1, 22→1"", ""s1:1→2, 22→1 / s2:1→1, 22→1"", ""s1:1→2, 22→1 / s2:1→1, 22→2"", ""s1:1→2, 22→1 / s2:1→2, 22→2"", ""s1:1→2, 22→1 / s2:1→2, 22→3"", ""s1:1→2, 22→1 / s2:1→3, 22→2"", ""s1:1→2, 22→2 / s2:1→0, 22→0"", ""s1:1→2, 22→2 / s2:1→0, 22→1"", ""s1:1→2, 22→2 / s2:1→0, 22→1"", ""s1:1→2, 22→2 / s2:1→1, 22→0"", ""s1:1→2, 22→2 / s2:1→1, 22→1"", ""s1:1→2, 22→2 / s2:1→1, 22→1"", ""s1:1→2, 22→2 / s2:1→1, 22→2"", ""s1:1→2, 22→2 / s2:1→1, 22→2"", ""s1:1→2, 22→2 / s2:1→1, 22→3"", ""s1:1→2, 22→2 / s2:1→2, 22→2"", ""s1:1→2, 22→2 / s2:1→2, 22→3"", ""s1:1→2, 22→2 / s2:1→3, 22→2"", ""s1:1→2, 22→3 / s2:1→0, 22→1"", ""s1:1→2, 22→3 / s2:1→0, 22→2"", ""s1:1→2, 22→3 / s2:1→1, 22→1"", ""s1:1→2, 22→3 / s2:1→1, 22→2"", ""s1:1→2, 22→3 / s2:1→1, 22→3"", ""s1:1→2, 22→3 / s2:1→1, 22→4"", ""s1:1→2, 22→3 / s2:1→2, 22→3"", ""s1:1→3, 22→2 / s2:1→0, 22→0"", ""s1:1→3, 22→2 / s2:1→0, 22→1"", ""s1:1→3, 22→2 / s2:1→1, 22→1"", ""s1:1→3, 22→2 / s2:1→1, 22→2""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:23→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:23→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
22	1	24	243	0	1	0	0	0	0	0	0	"{""s1:1→1, 22→2"", ""s1:1→2, 22→1"", ""s1:1→2, 22→2"", ""s1:1→2, 22→3"", ""s1:1→3, 22→2""}"	"{"""", """", """", """", """"}"
22	1	24	250	1	0	0	0	0	0	0	0	"{""s1:1→0, 22→2"", ""s1:1→1, 22→3"", ""s1:1→1, 22→4"", ""s1:1→2, 22→1"", ""s1:1→3, 22→2""}"	"{""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1""}"
22	1	25	138	0	1	0	0	0	1	0	0	"""s1:22→1 / s2:1→1"""	""""""
22	1	25	145	0	0	1	0	1	0	0	0	"{""s1:1→0, 22→1 / s2:1→1"", ""s1:1→1, 22→0 / s2:22→1""}"	"{"""", """"}"
22	1	25	145	1	0	0	0	0	1	0	0	"""s1:22→1 / s2:1→0"""	"""s2:2→1"""
22	1	25	147	0	0	0	2	0	0	0	0	"""s1:1→0, 22→1 / s2:1→1"""	""""""
