"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
68	1	69	236	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
68	1	69	262	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
68	1	70	235	1	0	0	0	1	0	0	0	"""s1:1→1 / s2:65→0"""	"""s2:68→1"""
68	1	70	261	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:65→1"""	"""s2:2→1"""
68	1	74	261	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:65→0"""	"""s2:2→1"""
68	2	69	244	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
68	2	69	270	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
68	2	70	269	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:66→0, 68→1"""	"""s2:2→1"""
68	2	70	269	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:66→0, 68→2"""	"""s2:2→1"""
68	2	70	269	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:66→1, 68→1"""	"""s2:2→1"""
68	2	71	236	0	1	0	0	1	0	0	0	"""s1:1→1 / s2:66→1, 68→0"""	""""""
68	2	72	236	0	1	0	0	1	0	0	0	"""s1:1→1 / s2:66→0, 68→1"""	""""""
68	2	75	269	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:66→0, 68→0"""	"""s2:2→1"""
68	3	69	125	0	0	0	0	0	0	0	1	"""s1:68→1"""	""""""
68	3	69	240	0	0	0	0	0	0	1	0	"""s1:68→1"""	""""""
68	3	69	268	0	0	0	0	0	1	0	0	"""s1:68→1"""	""""""
68	3	70	188	0	0	0	1	0	0	1	0	"""s1:68→1 / s2:1→1"""	""""""
68	3	70	212	0	0	1	0	0	0	1	0	"""s1:68→1 / s2:1→1"""	""""""
68	3	70	216	0	0	0	1	0	1	0	0	"""s1:68→1 / s2:1→1"""	""""""
68	3	70	232	0	1	0	0	0	0	1	0	"""s1:68→1 / s2:1→1"""	""""""
68	3	70	240	0	0	1	0	0	1	0	0	"""s1:68→1 / s2:1→1"""	""""""
68	3	72	243	0	0	0	1	1	0	0	0	"""s1:68→1 / s2:1→1"""	""""""
68	3	73	97	0	0	1	0	0	0	0	1	"""s1:68→1 / s2:1→1"""	""""""
68	3	73	117	0	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→1"""	""""""
68	3	74	73	0	0	0	1	0	0	0	1	"""s1:68→1 / s2:1→1"""	""""""
68	3	75	109	0	2	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→1"""	""""""
68	3	76	116	1	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→1"""	"""s3:70→1"""
68	3	76	117	0	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→2"""	""""""
68	3	77	109	0	2	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→2"""	""""""
68	3	77	116	1	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→2"""	"""s3:70→1"""
68	3	77	116	1	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→3"""	"""s3:70→1"""
68	3	77	117	0	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→3"""	""""""
68	3	77	117	0	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→4"""	""""""
68	3	78	116	1	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→4"""	"""s3:70→1"""
68	3	78	116	1	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→1 / s3:1→5"""	"""s3:70→1"""
68	3	78	117	0	1	0	0	0	0	0	1	"""s1:68→1 / s2:1→5"""	""""""
68	4	69	244	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
68	4	69	270	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
68	4	70	235	0	1	0	0	1	0	0	0	"""s1:1→1 / s2:67→0"""	"""s2:68→1"""
68	4	70	269	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:67→1"""	"""s2:2→1"""
68	4	74	269	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:67→0"""	"""s2:2→1"""
68	5	69	117	0	0	0	0	0	0	0	1	"""s1:68→1"""	""""""
68	5	69	232	0	0	0	0	0	0	1	0	"""s1:68→1"""	""""""
68	5	69	260	0	0	0	0	0	1	0	0	"""s1:68→1"""	""""""
