"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
9	1	9	58	0	0	0	0	0	0	1	0	"""s1:9→1"""	""""""
9	1	9	86	0	0	0	0	0	1	0	0	"""s1:9→1"""	""""""
9	1	9	113	0	0	0	0	1	0	0	0	"""s1:9→1"""	""""""
9	1	9	139	0	0	0	1	0	0	0	0	"""s1:1→1, 9→0"""	""""""
9	1	9	139	0	0	0	1	0	0	0	0	"""s1:1→0, 9→1"""	""""""
9	1	13	139	0	0	0	1	0	0	0	0	"""s1:1→1, 9→1"""	""""""
9	1	17	6	0	0	0	1	0	0	1	0	"""s1:9→1 / s2:1→1"""	""""""
9	1	16	34	0	0	0	1	0	1	0	0	"""s1:9→1 / s2:1→1"""	""""""
9	1	15	61	0	0	0	1	1	0	0	0	"""s1:9→1 / s2:1→1"""	""""""
9	1	14	87	0	0	0	2	0	0	0	0	"""s1:1→0, 9→1 / s2:1→1"""	""""""
9	1	9	163	0	0	1	0	0	0	0	0	"""s1:1→0, 9→1"""	""""""
9	1	9	163	0	0	1	0	0	0	0	0	"""s1:1→1, 9→0"""	""""""
9	1	17	163	0	0	1	0	0	0	0	0	"""s1:1→0, 9→2"""	""""""
9	1	12	163	0	0	1	0	0	0	0	0	"""s1:1→1, 9→1"""	""""""
9	1	14	163	0	0	1	0	0	0	0	0	"""s1:1→1, 9→2"""	""""""
9	1	16	30	0	0	1	0	0	0	1	0	"""s1:9→1 / s2:1→1"""	""""""
9	1	15	58	0	0	1	0	0	1	0	0	"""s1:9→1 / s2:1→1"""	""""""
9	1	14	85	0	0	1	0	1	0	0	0	"""s1:9→1 / s2:1→1"""	""""""
9	1	13	111	0	0	1	1	0	0	0	0	"""s1:1→1, 9→0 / s2:9→1"""	""""""
9	1	13	111	0	0	1	1	0	0	0	0	"""s1:1→0, 9→1 / s2:1→1"""	""""""
9	1	18	111	0	0	1	1	0	0	0	0	"""s1:1→1, 9→0 / s2:9→2"""	""""""
9	1	12	135	0	0	2	0	0	0	0	0	"""s1:1→0, 9→1 / s2:1→1"""	""""""
9	1	71	135	0	0	2	0	0	0	0	0	"""s1:1→0, 9→2 / s2:1→1"""	""""""
9	1	9	183	0	1	0	0	0	0	0	0	"""s1:1→0, 9→1"""	""""""
9	1	9	183	0	1	0	0	0	0	0	0	"""s1:1→1, 9→0"""	""""""
9	1	16	183	0	1	0	0	0	0	0	0	"""s1:1→0, 9→2"""	""""""
9	1	16	183	0	1	0	0	0	0	0	0	"""s1:1→2, 9→0"""	""""""
9	1	11	183	0	1	0	0	0	0	0	0	"""s1:1→1, 9→1"""	""""""
9	1	17	183	0	1	0	0	0	0	0	0	"""s1:1→0, 9→3"""	""""""
9	1	17	183	0	1	0	0	0	0	0	0	"""s1:1→3, 9→0"""	""""""
9	1	13	183	0	1	0	0	0	0	0	0	"""s1:1→1, 9→2"""	""""""
9	1	13	183	0	1	0	0	0	0	0	0	"""s1:1→2, 9→1"""	""""""
