"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
120	1	120	167	0	0	0	0	0	0	1	1	"s1:120→1 / s2:1→1"	""
120	1	120	195	0	0	0	0	0	1	0	1	"s1:120→1 / s2:1→1"	""
120	1	120	222	0	0	0	0	1	0	0	1	"s1:120→1 / s2:1→1"	""
120	1	120	248	0	0	0	1	0	0	0	1	"s1:120→1 / s2:1→1"	""
120	1	120	272	0	0	1	0	0	0	0	1	"s1:120→1 / s2:1→1"	""
120	1	121	264	0	1	1	0	0	0	0	1	"s1:120→1 / s2:1→1 / s3:1→1"	""
120	1	121	272	0	0	1	0	0	0	0	1	"s1:120→1 / s2:1→2"	""
120	4	120	241	0	1	0	0	0	0	0	1	"s1:1→1 / s2:120→1"	""
120	4	120	249	0	0	0	0	0	0	0	1	"s1:1→1"	""
120	4	121	248	1	0	0	0	0	0	0	1	"{s1:1→1 / s2:120→1, s1:1→1 / s2:120→2, s1:1→1 / s2:120→3, s1:1→1 / s2:120→4, s1:1→1 / s2:120→5}"	"{s2:117→1, s2:117→1, s2:117→1, s2:117→1, s2:117→1}"
120	4	122	240	1	1	0	0	0	0	0	1	"s1:1→1 / s2:120→1"	"s3:117→1"
120	4	122	248	1	0	0	0	0	0	0	1	"s1:1→1"	"s2:117→1"
120	5	120	248	0	0	0	0	0	0	0	1	"s1:1→1"	""
