"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
31	1	31	15	0	0	0	0	0	0	0	1	"""s1:1→1"""	""""""
31	1	31	130	0	0	0	0	0	0	1	0	"""s1:1→1"""	""""""
31	1	31	158	0	0	0	0	0	1	0	0	"""s1:1→1"""	""""""
31	1	31	185	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
31	1	31	211	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
31	1	31	235	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
31	1	37	235	0	0	1	0	0	0	0	0	"""s1:1→2"""	""""""
31	1	38	207	0	0	2	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
31	1	31	255	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
31	1	36	255	0	1	0	0	0	0	0	0	"""s1:1→2"""	""""""
31	1	37	255	0	1	0	0	0	0	0	0	"""s1:1→3"""	""""""
31	1	37	255	0	1	0	0	0	0	0	0	"""s1:1→4"""	""""""
31	1	37	255	0	1	0	0	0	0	0	0	"""s1:1→5"""	""""""
31	1	39	177	0	1	0	0	1	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
31	1	38	203	0	1	0	1	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
31	1	37	227	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
31	1	38	227	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	""""""
31	1	38	227	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→3"""	""""""
31	1	36	247	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→3"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→4"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→5"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→2 / s2:1→2"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→2 / s2:1→3"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→2 / s2:1→4"""	""""""
31	1	37	247	0	2	0	0	0	0	0	0	"""s1:1→3 / s2:1→3"""	""""""
31	1	38	219	0	2	1	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	""""""
31	1	37	239	0	3	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	""""""
31	1	37	239	0	3	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→2"""	""""""
31	1	37	239	0	3	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→3"""	""""""
31	1	38	231	0	4	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1 / s4:1→1"""	""""""
31	1	36	254	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→4"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→5"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→2 / s2:1→1"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→2 / s2:1→2"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→2 / s2:1→3"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→2 / s2:1→4"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→2 / s2:1→5"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→3 / s2:1→1"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→3 / s2:1→2"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→3 / s2:1→3"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→3 / s2:1→4"""	"""s2:32→1"""
31	1	37	254	1	1	0	0	0	0	0	0	"""s1:1→4 / s2:1→1"""	"""s2:32→1"""
31	1	38	226	1	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→2"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→3"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→4"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→5"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→1"""	"""s3:33→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→1"""	"""s3:32→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→2"""	"""s3:32→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→3"""	"""s3:32→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→4"""	"""s3:32→1"""
31	1	37	246	1	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→3 / s3:1→1"""	"""s3:32→1"""
31	1	37	238	1	3	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s4:34→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→2"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→3"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→4"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→5"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→2"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→3"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→4"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→2 / s3:1→5"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3 / s3:1→3"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3 / s3:1→4"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→3 / s3:1→5"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→4 / s3:1→4"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→4 / s3:1→5"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→5 / s3:1→5"""	"""s2:32→1 / s3:32→1"""
31	1	37	252	2	1	0	0	0	0	0	0	"""s1:1→2 / s2:1→1 / s3:1→1"""	"""s2:32→1 / s3:32→1"""
31	1	37	244	2	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s3:33→1 / s4:33→1"""
31	1	37	244	2	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1 / s4:1→2"""	"""s3:33→1 / s4:33→1"""
31	1	37	245	2	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s3:33→1 / s4:32→1"""
31	2	31	15	0	0	0	0	0	0	0	1	"""s1:1→1"""	""""""
31	2	31	130	0	0	0	0	0	0	1	0	"""s1:1→1"""	""""""
31	2	31	158	0	0	0	0	0	1	0	0	"""s1:1→1"""	""""""
31	2	31	185	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
31	2	31	211	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
31	2	31	235	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
31	2	37	235	0	0	1	0	0	0	0	0	"""s1:1→2"""	""""""
31	2	38	207	0	0	2	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
31	2	31	255	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
31	2	36	255	0	1	0	0	0	0	0	0	"""s1:1→2"""	""""""
31	2	37	255	0	1	0	0	0	0	0	0	"""s1:1→3"""	""""""
31	2	37	255	0	1	0	0	0	0	0	0	"""s1:1→4"""	""""""
31	2	37	255	0	1	0	0	0	0	0	0	"""s1:1→5"""	""""""
