"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
119	1	119	253	0	0	0	0	0	0	2	0	"""s1:1→0, 119→1 / s2:1→1"""	""""""
119	2	119	194	0	0	0	0	1	0	0	1	"""s1:119→1 / s2:1→1"""	""""""
119	2	121	219	1	0	0	1	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:∅"""	"""s3:2→1"""
119	2	119	220	0	0	0	1	0	0	0	1	"""s1:119→1 / s2:1→1"""	""""""
119	2	121	236	0	1	1	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1"""	""""""
119	2	121	243	1	0	1	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0"""	"""s3:2→1"""
119	2	121	243	1	0	1	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1"""	"""s3:2→1"""
119	2	119	244	0	0	1	0	0	0	0	1	"""s1:119→1 / s2:1→1"""	""""""
119	2	121	248	0	3	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→1"""	""""""
119	2	121	255	1	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s4:122→1"""
119	2	121	255	1	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s4:121→1"""
119	2	121	255	1	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→0"""	"""s4:2→1"""
119	2	121	255	1	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s4:2→1"""
119	2	121	255	1	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→2 / s4:∅"""	"""s4:2→1"""
119	2	120	256	0	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1"""	""""""
119	2	120	256	0	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→2"""	""""""
119	2	120	256	0	2	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→3"""	""""""
119	2	121	261	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s3:121→1 / s4:121→1"""
119	2	121	261	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→2"""	"""s3:121→1 / s4:121→1"""
119	2	121	262	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1 / s4:1→1"""	"""s3:121→1 / s4:2→1"""
119	2	121	262	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0 / s4:1→1"""	"""s3:2→1 / s4:121→1"""
119	2	121	262	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0 / s4:1→2"""	"""s3:2→1 / s4:121→1"""
119	2	121	262	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0 / s4:1→3"""	"""s3:2→1 / s4:121→1"""
119	2	121	262	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0 / s4:1→4"""	"""s3:2→1 / s4:121→1"""
119	2	121	262	2	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0 / s4:1→5"""	"""s3:2→1 / s4:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1"""	"""s3:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→2"""	"""s3:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→3"""	"""s3:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→4"""	"""s3:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→5"""	"""s3:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→0"""	"""s3:2→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→1"""	"""s3:2→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→2"""	"""s3:2→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→3"""	"""s3:2→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→4"""	"""s3:2→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→1 / s3:1→5"""	"""s3:2→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→2 / s3:1→1"""	"""s3:121→1"""
119	2	120	263	1	1	0	0	0	0	0	1	"""s1:119→1 / s2:1→2 / s3:1→0"""	"""s3:2→1"""
