"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
6	1	6	24	0	0	0	0	0	0	1	0	"""s1:6→1"""	""
6	1	6	52	0	0	0	0	0	1	0	0	"""s1:6→1"""	""
6	1	6	79	0	0	0	0	1	0	0	0	"{""s1:1→0, 6→1"", ""s1:1→1, 6→0""}"	""
6	1	6	105	0	0	0	1	0	0	0	0	"{""s1:1→0, 6→1"", ""s1:1→1, 6→0""}"	""
6	1	6	129	0	0	1	0	0	0	0	0	"{""s1:1→0, 6→1"", ""s1:1→1, 6→0""}"	""
6	1	6	149	0	1	0	0	0	0	0	0	"{""s1:1→0, 3→0, 6→1"", ""s1:1→1, 3→0, 6→0""}"	""
6	1	6	155	1	0	0	0	0	0	0	0	"""s1:1→0, 3→0, 6→0"""	"""s1:4→1"""
6	1	6	156	1	0	0	0	0	0	0	0	"""s1:1→0, 3→0, 6→0"""	"""s1:2→1"""
6	1	8	141	0	2	0	0	0	0	0	0	"""s1:1→0, 3→0, 6→1 / s2:1→1, 3→0, 6→0"""	""
6	1	8	148	1	1	0	0	0	0	0	0	"""s1:1→0, 3→0, 6→1 / s2:1→0, 3→0, 6→0"""	"""s2:2→1"""
6	1	9	121	0	1	1	0	0	0	0	0	"{""s1:1→0, 6→1 / s2:1→1, 3→0, 6→0"", ""s1:1→1, 6→0 / s2:1→0, 3→0, 6→1""}"	""
6	1	9	128	1	0	1	0	0	0	0	0	"""s1:1→0, 6→1 / s2:1→0, 3→0, 6→0"""	"""s2:2→1"""
6	1	9	147	1	1	0	0	0	0	0	0	"{""s1:1→0, 3→0, 6→1 / s2:1→0, 3→0, 6→0"", ""s1:1→1, 3→0, 6→0 / s2:1→0, 3→0, 6→0""}"	"{""s2:4→1"", ""s2:4→1""}"
6	1	9	148	1	1	0	0	0	0	0	0	"{""s1:1→0, 3→0, 6→1 / s2:1→1, 3→0, 6→0"", ""s1:1→1, 3→0, 6→0 / s2:1→0, 3→0, 6→1""}"	"{""s2:7→1"", ""s2:7→1""}"
6	1	9	149	0	1	0	0	0	0	0	0	"""s1:1→1, 3→0, 6→1"""	""
6	1	9	154	2	0	0	0	0	0	0	0	"""s1:1→0, 3→0, 6→0 / s2:1→0, 3→0, 6→0"""	"""s1:4→1 / s2:2→1"""
6	1	9	156	1	0	0	0	0	0	0	0	"""s1:1→0, 3→0, 6→1"""	"""s1:2→1"""
