"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
54	1	55	161	0	0	0	0	0	0	1	0	"s1:1→1"	""
54	1	55	189	0	0	0	0	0	1	0	0	"s1:1→1"	""
54	1	55	216	0	0	0	0	1	0	0	0	"s1:1→1"	""
54	1	55	242	0	0	0	1	0	0	0	0	"s1:1→1"	""
54	1	55	266	0	0	1	0	0	0	0	0	"s1:1→1"	""
54	1	62	258	0	1	1	0	0	0	0	0	"s1:1→1 / s2:1→1"	""
54	1	62	270	0	3	0	0	0	0	0	0	"s1:1→1 / s2:1→1 / s3:1→1"	""
54	1	63	266	0	0	1	0	0	0	0	0	"s1:1→2"	""
54	2	55	161	0	0	0	0	0	0	1	0	"s1:1→1"	""
54	2	55	189	0	0	0	0	0	1	0	0	"s1:1→1"	""
54	2	55	216	0	0	0	0	1	0	0	0	"s1:1→1"	""
54	2	55	242	0	0	0	1	0	0	0	0	"s1:1→1"	""
54	2	55	266	0	0	1	0	0	0	0	0	"s1:1→1"	""
54	2	61	258	0	1	1	0	0	0	0	0	"s1:1→1 / s2:1→1"	""
54	2	62	270	0	3	0	0	0	0	0	0	"s1:1→1 / s2:1→1 / s3:1→1"	""
54	2	63	266	0	0	1	0	0	0	0	0	"s1:1→2"	""
54	3	55	161	0	0	0	0	0	0	1	0	"s1:54→1"	""
54	3	55	189	0	0	0	0	0	1	0	0	"s1:54→1"	""
54	3	55	216	0	0	0	0	1	0	0	0	"s1:54→1"	""
54	3	55	242	0	0	0	1	0	0	0	0	"s1:54→1"	""
54	3	55	266	0	0	1	0	0	0	0	0	"s1:54→1"	""
54	3	56	180	0	1	0	0	0	1	0	0	"s1:54→1"	"s2:4→1"
54	3	56	207	0	1	0	0	1	0	0	0	"s1:54→1"	"s2:4→1"
54	3	56	233	0	1	0	1	0	0	0	0	"s1:54→1"	"s2:4→1"
54	3	57	152	0	1	0	0	0	0	1	0	"s1:54→1"	"s2:4→1"
54	3	57	180	0	1	0	0	0	1	0	0	"s1:54→1"	"s2:1→1"
54	3	57	257	0	1	1	0	0	0	0	0	"s1:54→1 / s2:54→1"	"s2:4→1"
54	3	58	152	0	1	0	0	0	0	1	0	"s1:54→1"	"s2:1→1"
54	3	59	143	0	2	0	0	0	0	1	0	"s1:54→1"	"s2:4→1 / s3:1→1"
54	3	59	171	0	2	0	0	0	1	0	0	"s1:54→1"	"s2:4→1 / s3:1→1"
54	3	61	258	0	1	1	0	0	0	0	0	"s1:54→1 / s2:54→1"	""
54	3	62	266	0	0	1	0	0	0	0	0	"s1:54→2"	""
54	3	62	270	0	3	0	0	0	0	0	0	"s1:54→1 / s2:54→1 / s3:54→1"	""
54	3	69	269	0	3	0	0	0	0	0	0	"s1:54→1 / s2:54→1 / s3:54→1"	"s3:4→1"
54	4	55	208	0	0	0	0	1	0	0	0	"s1:54→1"	""
54	4	55	234	0	0	0	1	0	0	0	0	"{s1:1→1, s1:54→1}"	""
54	4	55	258	0	0	1	0	0	0	0	0	"{s1:1→1, s1:1→1, 54→1, s1:54→1}"	""
54	4	56	180	0	0	1	0	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	56	200	0	1	0	0	1	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	56	206	0	0	1	1	0	0	0	0	"{s1:1→1 / s2:54→1, s1:54→1 / s2:1→1}"	""
54	4	56	226	0	1	0	1	0	0	0	0	"s1:1→1 / s2:54→1"	""
54	4	56	233	1	0	0	1	0	0	0	0	"{s1:1→1, 54→1, s1:54→1 / s2:1→2}"	"{s2:53→1, s2:53→1}"
54	4	56	234	0	0	0	1	0	0	0	0	"s1:1→1, 54→1"	""
54	4	56	250	0	1	1	0	0	0	0	0	"s1:54→1 / s2:1→2, 54→1"	""
54	4	56	257	1	0	1	0	0	0	0	0	"{s1:1→1, 54→1, s1:1→1, 54→1 / s2:1→1, s1:1→1, 54→1 / s2:1→1, 54→1, s1:1→1 / s2:1→1, 54→1, s1:54→1 / s2:1→1, s1:54→1 / s2:1→2, s1:54→1 / s2:1→2, 54→1, s1:54→1 / s2:1→3, 54→1, s1:54→1 / s2:1→4, 54→1}"	"{s2:53→1, s2:53→1, s2:53→1, s2:53→1, s2:53→1, s2:53→1, s2:53→1, s2:53→1, s2:53→1}"
54	4	56	270	0	2	0	0	0	0	0	0	"{s1:1→1, 54→1 / s2:1→1, 54→1, s1:1→1, 54→1 / s2:1→1, 54→2, s1:1→1, 54→1 / s2:1→2, 54→1, s1:1→1, 54→1 / s2:1→2, 54→2, s1:1→1, 54→1 / s2:1→2, 54→3, s1:1→1 / s2:1→1, 54→1, s1:1→1 / s2:1→2, 54→2, s1:1→1 / s2:1→2, 54→3, s1:54→1 / s2:1→1, 54→1, s1:54→1 / s2:1→2, 54→2, s1:54→1 / s2:1→3, 54→2}"	""
54	4	57	182	0	0	0	2	0	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	57	205	1	0	1	1	0	0	0	0	"s1:54→1 / s2:1→1 / s3:1→1"	"s3:53→1"
54	4	57	230	0	0	2	0	0	0	0	0	"s1:54→1 / s2:1→1"	""
54	4	57	233	1	0	0	1	0	0	0	0	"{s1:54→1 / s2:1→1, s1:54→1 / s2:1→3}"	"{s2:53→1, s2:53→1}"
54	4	57	250	0	1	1	0	0	0	0	0	"{s1:1→1, 54→1 / s2:54→1, s1:54→1 / s2:1→1, 54→1}"	""
54	4	57	257	1	0	1	0	0	0	0	0	"{s1:1→1 / s2:1→1, s1:54→1 / s2:1→1, 54→1}"	"{s2:53→1, s2:53→1}"
54	4	57	262	0	3	0	0	0	0	0	0	"s1:54→1 / s2:1→1, 54→1 / s3:1→1, 54→1"	""
