"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
16	1	16	4	0	0	0	0	0	0	0	1	"""s1:16→1"""	""""""
16	1	16	119	0	0	0	0	0	0	1	0	"""s1:16→1"""	""""""
16	1	16	147	0	0	0	0	0	1	0	0	"""s1:16→1"""	""""""
16	1	16	174	0	0	0	0	1	0	0	0	"""s1:16→1"""	""""""
16	1	16	200	0	0	0	1	0	0	0	0	"{""s1:1→0, 16→1"", ""s1:1→1, 16→0""}"	"{"""", """"}"
16	1	16	216	0	1	1	0	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→1, 16→0"", ""s1:1→1, 16→0 / s2:16→1""}"	"{"""", """"}"
16	1	16	222	1	0	1	0	0	0	0	0	"""s1:1→0, 16→1 / s2:1→0, 5→0, 16→0"""	"""s2:2→1"""
16	1	16	224	0	0	1	0	0	0	0	0	"{""s1:1→0, 16→1"", ""s1:1→1, 16→0""}"	"{"""", """"}"
16	1	16	243	1	1	0	0	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→1, 5→0, 16→0"", ""s1:1→1, 16→0 / s2:1→0, 5→0, 16→1""}"	"{""s2:17→1"", ""s2:17→1""}"
16	1	16	244	0	1	0	0	0	0	0	0	"{""s1:1→0, 16→1"", ""s1:1→1, 16→0"", ""s1:1→1, 16→1""}"	"{"""", """", """"}"
16	1	16	250	1	0	0	0	0	0	0	0	"{""s1:1→0, 5→0, 16→0"", ""s1:1→0, 5→0, 16→1""}"	"{""s1:2→1"", ""s1:2→1""}"
16	1	17	192	0	1	0	1	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→1, 16→0"", ""s1:1→1, 16→0 / s2:16→1""}"	"{"""", """"}"
16	1	17	196	0	0	2	0	0	0	0	0	"""s1:1→0, 16→1 / s2:1→1, 16→0"""	""""""
16	1	17	198	1	0	0	1	0	0	0	0	"""s1:1→0, 16→1 / s2:1→0, 5→0, 16→0"""	"""s2:2→1"""
16	1	17	224	0	0	1	0	0	0	0	0	"""s1:1→1, 16→1"""	""""""
16	1	17	241	2	1	0	0	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→0, 5→1, 16→0 / s3:1→1, 16→0"", ""s1:1→0, 16→1 / s2:1→0, 5→1, 16→0 / s3:1→1, 16→1"", ""s1:1→1, 16→0 / s2:1→0, 5→0, 16→1 / s3:1→0, 5→0, 16→1"", ""s1:1→1, 16→0 / s2:1→0, 5→0, 16→1 / s3:1→0, 5→1, 16→1"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→0 / s3:1→0, 16→1"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→1 / s3:1→0, 16→0""}"	"{""s2:17→1 / s3:17→1"", ""s2:17→1 / s3:2→1"", ""s2:17→1 / s3:2→1"", ""s2:17→1 / s3:17→1"", ""s2:17→1 / s3:2→1"", ""s2:17→1 / s3:2→1""}"
16	1	17	242	1	1	0	0	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→1, 5→0, 16→1"", ""s1:1→0, 16→1 / s2:1→2, 5→1, 16→2"", ""s1:1→1, 16→0 / s2:1→0, 5→0, 16→1"", ""s1:1→1, 16→0 / s2:1→0, 5→1, 16→2"", ""s1:1→1, 16→1 / s2:1→0, 5→0, 16→0"", ""s1:1→1, 16→1 / s2:1→0, 5→0, 16→1"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→1"", ""s1:1→1, 16→1 / s2:1→1, 5→1, 16→2""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
16	1	17	243	1	1	0	0	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→0, 5→1, 16→0"", ""s1:1→0, 16→1 / s2:1→2, 5→1, 16→1"", ""s1:1→1, 16→0 / s2:1→0, 5→1, 16→1"", ""s1:1→1, 16→0 / s2:1→1, 5→1, 16→3"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→0"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→1"", ""s1:1→1, 16→1 / s2:1→1, 5→1, 16→1""}"	"{""s2:17→1"", ""s2:17→1"", ""s2:17→1"", ""s2:17→1"", ""s2:17→1"", ""s2:17→1"", ""s2:17→1""}"
16	1	17	250	1	0	0	0	0	0	0	0	"{""s1:1→0, 5→1, 16→1"", ""s1:1→0, 5→1, 16→2"", ""s1:1→1, 5→0, 16→1"", ""s1:1→1, 5→0, 16→2"", ""s1:1→1, 5→1, 16→2"", ""s1:1→1, 5→1, 16→3"", ""s1:1→2, 5→0, 16→2"", ""s1:1→2, 5→0, 16→3"", ""s1:1→2, 5→1, 16→2""}"	"{""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1""}"
16	1	18	166	0	1	0	0	1	0	0	0	"""s1:16→1 / s2:1→1, 16→0"""	""""""
16	1	18	172	0	0	1	1	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→1"", ""s1:1→1, 16→0 / s2:16→1""}"	"{"""", """"}"
16	1	18	172	1	0	0	0	1	0	0	0	"""s1:16→1 / s2:1→0, 5→0, 16→0"""	"""s2:2→1"""
16	1	18	200	0	0	0	1	0	0	0	0	"""s1:1→1, 16→1"""	""""""
16	1	18	214	1	1	1	0	0	0	0	0	"""s1:1→1, 16→0 / s2:16→1 / s3:1→0, 5→0, 16→1"""	"""s3:2→1"""
16	1	18	222	1	0	1	0	0	0	0	0	"{""s1:1→0, 16→1 / s2:1→1, 5→0, 16→1"", ""s1:1→0, 16→1 / s2:1→1, 5→1, 16→1"", ""s1:1→0, 16→1 / s2:1→2, 5→0, 16→1"", ""s1:1→0, 16→1 / s2:1→2, 5→1, 16→1"", ""s1:1→0, 16→1 / s2:1→2, 5→1, 16→2"", ""s1:1→0, 16→1 / s2:1→3, 5→0, 16→2"", ""s1:1→1, 16→0 / s2:1→0, 5→0, 16→1"", ""s1:1→1, 16→0 / s2:1→0, 5→0, 16→2"", ""s1:1→1, 16→0 / s2:1→0, 5→1, 16→2"", ""s1:1→1, 16→0 / s2:1→0, 5→1, 16→3"", ""s1:1→1, 16→1 / s2:1→0, 5→0, 16→0"", ""s1:1→1, 16→1 / s2:1→0, 5→0, 16→1"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→1"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→2"", ""s1:1→1, 16→1 / s2:1→0, 5→1, 16→3""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
