"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
30	1	30	101	0	0	0	0	0	0	1	0	"""s1:1→1"""	""""""
30	1	30	129	0	0	0	0	0	1	0	0	"""s1:1→1"""	""""""
30	1	30	156	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
30	1	30	182	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
30	1	30	206	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
30	1	30	226	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
30	1	35	218	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
30	1	36	198	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
30	1	36	225	1	1	0	0	0	0	0	0	"{""s1:1→1 / s2:1→1"", ""s1:1→1 / s2:1→2"", ""s1:1→2 / s2:1→1""}"	"{""s2:31→1"", ""s2:31→1"", ""s2:31→1""}"
30	1	36	226	0	1	0	0	0	0	0	0	"{""s1:1→2"", ""s1:1→3""}"	"{"""", """"}"
30	1	37	206	0	0	1	0	0	0	0	0	"""s1:1→2"""	""""""
30	1	37	210	0	3	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	""""""
30	1	37	217	1	2	0	0	0	0	0	0	"{""s1:1→1 / s2:1→1 / s3:1→1"", ""s1:1→1 / s2:1→1 / s3:1→2"", ""s1:1→1 / s2:1→1 / s3:1→3"", ""s1:1→1 / s2:1→1 / s3:1→4"", ""s1:1→1 / s2:1→1 / s3:1→5"", ""s1:1→1 / s2:1→2 / s3:1→1""}"	"{""s3:32→1"", ""s3:32→1"", ""s3:32→1"", ""s3:32→1"", ""s3:32→1"", ""s3:31→1""}"
30	1	37	218	0	2	0	0	0	0	0	0	"{""s1:1→1 / s2:1→2"", ""s1:1→1 / s2:1→3"", ""s1:1→1 / s2:1→4"", ""s1:1→1 / s2:1→5"", ""s1:1→2 / s2:1→2""}"	"{"""", """", """", """", """"}"
30	1	37	223	2	1	0	0	0	0	0	0	"{""s1:1→1 / s2:1→1 / s3:1→1"", ""s1:1→1 / s2:1→1 / s3:1→2"", ""s1:1→1 / s2:1→1 / s3:1→3"", ""s1:1→1 / s2:1→1 / s3:1→4"", ""s1:1→1 / s2:1→1 / s3:1→5"", ""s1:1→1 / s2:1→2 / s3:1→2"", ""s1:1→1 / s2:1→2 / s3:1→3"", ""s1:1→1 / s2:1→2 / s3:1→4""}"	"{""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1""}"
30	1	37	225	1	1	0	0	0	0	0	0	"{""s1:1→1 / s2:1→3"", ""s1:1→1 / s2:1→4"", ""s1:1→1 / s2:1→5"", ""s1:1→2 / s2:1→2"", ""s1:1→2 / s2:1→3"", ""s1:1→2 / s2:1→4"", ""s1:1→2 / s2:1→5"", ""s1:1→3 / s2:1→1""}"	"{""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1""}"
30	1	37	226	0	1	0	0	0	0	0	0	"{""s1:1→4"", ""s1:1→5""}"	"{"""", """"}"
30	2	30	101	0	0	0	0	0	0	1	0	"""s1:1→1"""	""""""
30	2	30	129	0	0	0	0	0	1	0	0	"""s1:1→1"""	""""""
30	2	30	156	0	0	0	0	1	0	0	0	"""s1:1→1"""	""""""
30	2	30	182	0	0	0	1	0	0	0	0	"""s1:1→1"""	""""""
30	2	30	206	0	0	1	0	0	0	0	0	"""s1:1→1"""	""""""
30	2	30	226	0	1	0	0	0	0	0	0	"""s1:1→1"""	""""""
30	2	36	218	0	2	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
30	2	36	225	1	1	0	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	"""s2:31→1"""
30	2	36	226	0	1	0	0	0	0	0	0	"""s1:1→2"""	""""""
30	2	37	198	0	1	1	0	0	0	0	0	"""s1:1→1 / s2:1→1"""	""""""
30	2	37	206	0	0	1	0	0	0	0	0	"""s1:1→2"""	""""""
30	2	37	210	0	3	0	0	0	0	0	0	"""s1:1→1 / s2:1→1 / s3:1→1"""	""""""
30	2	37	217	1	2	0	0	0	0	0	0	"{""s1:1→1 / s2:1→1 / s3:1→1"", ""s1:1→1 / s2:1→1 / s3:1→2"", ""s1:1→1 / s2:1→1 / s3:1→3"", ""s1:1→1 / s2:1→1 / s3:1→4"", ""s1:1→1 / s2:1→1 / s3:1→5"", ""s1:1→1 / s2:1→2 / s3:1→1""}"	"{""s3:32→1"", ""s3:32→1"", ""s3:32→1"", ""s3:32→1"", ""s3:32→1"", ""s3:31→1""}"
30	2	37	218	0	2	0	0	0	0	0	0	"{""s1:1→1 / s2:1→2"", ""s1:1→1 / s2:1→3"", ""s1:1→1 / s2:1→4"", ""s1:1→1 / s2:1→5"", ""s1:1→2 / s2:1→2""}"	"{"""", """", """", """", """"}"
30	2	37	223	2	1	0	0	0	0	0	0	"{""s1:1→1 / s2:1→1 / s3:1→1"", ""s1:1→1 / s2:1→1 / s3:1→2"", ""s1:1→1 / s2:1→1 / s3:1→3"", ""s1:1→1 / s2:1→1 / s3:1→4"", ""s1:1→1 / s2:1→1 / s3:1→5"", ""s1:1→1 / s2:1→2 / s3:1→2"", ""s1:1→1 / s2:1→2 / s3:1→3"", ""s1:1→1 / s2:1→2 / s3:1→4""}"	"{""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1"", ""s2:31→1 / s3:31→1""}"
30	2	37	225	1	1	0	0	0	0	0	0	"{""s1:1→1 / s2:1→2"", ""s1:1→1 / s2:1→3"", ""s1:1→1 / s2:1→4"", ""s1:1→1 / s2:1→5"", ""s1:1→2 / s2:1→1"", ""s1:1→2 / s2:1→2"", ""s1:1→2 / s2:1→3"", ""s1:1→2 / s2:1→4"", ""s1:1→2 / s2:1→5"", ""s1:1→3 / s2:1→1""}"	"{""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1"", ""s2:31→1""}"
