"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
15	1	15	57	0	0	0	0	0	0	0	1	"""s1:1→1, 15→0"""	""""""
15	1	22	57	0	0	0	0	0	0	0	1	"""s1:1→1, 15→1"""	""""""
15	1	30	-191	0	0	0	0	0	0	0	2	"""s1:1→0, 15→1 / s2:1→1"""	""""""
15	1	15	172	0	0	0	0	0	0	1	0	"""s1:1→1, 15→0"""	""""""
15	1	18	172	0	0	0	0	0	0	1	0	"""s1:1→1, 15→1"""	""""""
15	1	26	-76	0	0	0	0	0	0	1	1	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	22	39	0	0	0	0	0	0	2	0	"""s1:1→0, 15→1 / s2:1→1"""	""""""
15	1	15	200	0	0	0	0	0	1	0	0	"""s1:1→1, 15→0"""	""""""
15	1	17	200	0	0	0	0	0	1	0	0	"""s1:1→1, 15→1"""	""""""
15	1	25	-48	0	0	0	0	0	1	0	1	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	21	67	0	0	0	0	0	1	1	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	20	95	0	0	0	0	0	2	0	0	"""s1:1→0, 15→1 / s2:1→1"""	""""""
15	1	15	227	0	0	0	0	1	0	0	0	"""s1:1→1, 15→0"""	""""""
15	1	16	227	0	0	0	0	1	0	0	0	"""s1:1→1, 15→1"""	""""""
15	1	24	-21	0	0	0	0	1	0	0	1	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	20	94	0	0	0	0	1	0	1	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	19	122	0	0	0	0	1	1	0	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	18	149	0	0	0	0	2	0	0	0	"""s1:1→0, 15→1 / s2:1→1"""	""""""
15	1	15	253	0	0	0	1	0	0	0	0	"""s1:1→1, 15→0"""	""""""
15	1	15	253	0	0	0	1	0	0	0	0	"""s1:1→1, 15→1"""	""""""
15	1	23	5	0	0	0	1	0	0	0	1	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	19	120	0	0	0	1	0	0	1	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	18	148	0	0	0	1	0	1	0	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	17	175	0	0	0	1	1	0	0	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	16	201	0	0	0	2	0	0	0	0	"""s1:1→0, 15→1 / s2:1→1"""	""""""
15	1	22	29	0	0	1	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	24	29	0	0	1	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→2"""	""""""
15	1	18	144	0	0	1	0	0	0	1	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	40	144	0	0	1	0	0	0	1	0	"""s1:1→1, 15→0 / s2:15→2"""	""""""
15	1	17	172	0	0	1	0	0	1	0	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	16	199	0	0	1	0	1	0	0	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	15	225	0	0	1	1	0	0	0	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	23	249	0	0	2	0	0	0	0	0	"""s1:1→0, 15→1 / s2:1→0, 15→1"""	""""""
15	1	18	249	0	0	2	0	0	0	0	0	"""s1:1→0, 15→1 / s2:1→1, 15→1"""	""""""
15	1	16	249	0	0	2	0	0	0	0	0	"""s1:1→0, 15→1 / s2:1→2, 15→1"""	""""""
15	1	16	249	0	0	2	0	0	0	0	0	"""s1:1→1, 15→1 / s2:1→1, 15→1"""	""""""
15	1	25	1	0	0	2	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→1 / s3:15→1"""	""""""
15	1	24	116	0	0	2	0	0	0	1	0	"""s1:1→1, 15→0 / s2:15→1 / s3:15→1"""	""""""
15	1	49	144	0	0	2	0	0	1	0	0	"""s1:1→1, 15→0 / s2:15→1 / s3:15→1"""	""""""
15	1	21	49	0	1	0	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→1"""	""""""
15	1	24	49	0	1	0	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→2"""	""""""
15	1	24	49	0	1	0	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→3"""	""""""
15	1	24	49	0	1	0	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→4"""	""""""
15	1	24	49	0	1	0	0	0	0	0	1	"""s1:1→1, 15→0 / s2:15→5"""	""""""
15	1	17	164	0	1	0	0	0	0	1	0	"""s1:1→1, 15→0 / s2:15→1"""	""""""
