"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
62	1	70	261	0	1	0	0	0	0	0	0	2
62	1	71	260	1	1	0	0	0	0	0	0	4
62	1	71	261	0	1	0	0	0	0	0	0	2
62	2	70	260	1	1	0	0	0	0	0	0	2
62	2	71	260	1	1	0	0	0	0	0	0	3
62	2	71	261	0	1	0	0	0	0	0	0	3
62	3	68	253	0	1	0	0	0	0	0	0	2
62	3	68	260	1	0	0	0	0	0	0	0	5
62	4	63	260	0	1	0	0	0	0	0	0	2
62	4	70	260	1	1	0	0	0	0	0	0	2
62	4	70	261	0	1	0	0	0	0	0	0	2
62	4	71	260	1	1	0	0	0	0	0	0	3
62	4	71	261	0	1	0	0	0	0	0	0	2
62	5	68	253	0	1	0	0	0	0	0	0	2
62	5	68	258	2	0	0	0	0	0	0	0	2
62	5	68	260	1	0	0	0	0	0	0	0	5
62	6	68	253	0	1	0	0	0	0	0	0	2
62	6	68	260	1	0	0	0	0	0	0	0	5
62	8	67	258	1	0	0	0	0	0	0	0	2
62	9	64	234	1	0	0	0	1	0	0	0	3
62	9	64	260	1	0	0	1	0	0	0	0	5
62	9	65	260	1	0	0	1	0	0	0	0	2
62	9	70	179	1	0	0	0	0	0	1	0	3
62	10	70	261	0	1	0	0	0	0	0	0	2
62	10	71	260	1	1	0	0	0	0	0	0	4
62	10	71	261	0	1	0	0	0	0	0	0	2
62	15	69	200	1	1	0	0	0	0	0	0	4
62	15	69	208	1	0	0	0	0	0	0	0	2
62	15	70	199	2	1	0	0	0	0	0	0	2
62	15	70	200	1	1	0	0	0	0	0	0	8
62	15	70	208	1	0	0	0	0	0	0	0	2
62	15	71	192	1	2	0	0	0	0	0	0	2
62	15	71	193	0	2	0	0	0	0	0	0	2
62	15	71	198	2	1	0	0	0	0	0	0	2
62	15	71	199	2	1	0	0	0	0	0	0	2
62	15	71	200	1	1	0	0	0	0	0	0	7
62	15	71	201	0	1	0	0	0	0	0	0	3
62	15	72	199	2	1	0	0	0	0	0	0	2
62	16	67	258	1	0	0	0	0	0	0	0	3
62	17	71	114	1	1	0	0	0	0	0	1	3
62	17	71	115	0	1	0	0	0	0	0	1	2
62	17	72	114	1	1	0	0	0	0	0	1	2
62	22	63	263	0	0	0	1	0	0	0	0	3
62	22	64	262	1	0	0	1	0	0	0	0	3
62	23	63	271	1	0	0	0	0	0	0	0	14
62	23	64	271	1	0	0	0	0	0	0	0	4
62	23	65	263	1	1	0	0	0	0	0	0	2
62	23	65	271	1	0	0	0	0	0	0	0	2
62	23	67	271	1	0	0	0	0	0	0	0	3
62	23	68	271	1	0	0	0	0	0	0	0	3
62	27	63	263	0	1	0	0	0	0	0	0	2
62	27	63	271	1	0	0	0	0	0	0	0	7
62	27	64	263	1	1	0	0	0	0	0	0	3
62	27	64	271	1	0	0	0	0	0	0	0	4
62	27	65	271	1	0	0	0	0	0	0	0	2
62	27	67	271	1	0	0	0	0	0	0	0	3
62	27	68	271	1	0	0	0	0	0	0	0	3
62	29	69	208	1	0	0	0	0	0	0	0	2
62	29	70	199	2	1	0	0	0	0	0	0	2
62	29	70	200	1	1	0	0	0	0	0	0	11
62	29	70	208	1	0	0	0	0	0	0	0	2
62	29	71	192	1	2	0	0	0	0	0	0	2
62	29	71	193	0	2	0	0	0	0	0	0	2
62	29	71	198	2	1	0	0	0	0	0	0	2
62	29	71	199	2	1	0	0	0	0	0	0	2
62	29	71	200	1	1	0	0	0	0	0	0	7
62	29	71	201	0	1	0	0	0	0	0	0	2
62	29	72	199	2	1	0	0	0	0	0	0	2
62	30	67	258	1	0	0	0	0	0	0	0	2
62	31	68	253	0	1	0	0	0	0	0	0	2
62	31	68	260	1	0	0	0	0	0	0	0	5
62	32	64	258	1	0	0	1	0	0	0	0	3
62	32	69	177	1	0	0	0	0	0	1	0	3
62	33	63	263	0	1	0	0	0	0	0	0	2
62	33	63	271	1	0	0	0	0	0	0	0	11
62	33	64	262	1	1	0	0	0	0	0	0	6
62	33	64	271	1	0	0	0	0	0	0	0	3
62	33	67	271	1	0	0	0	0	0	0	0	3
62	33	68	271	1	0	0	0	0	0	0	0	3
62	35	63	263	0	1	0	0	0	0	0	0	3
62	35	63	271	1	0	0	0	0	0	0	0	5
62	35	64	262	1	1	0	0	0	0	0	0	4
62	35	67	271	1	0	0	0	0	0	0	0	3
62	35	68	271	1	0	0	0	0	0	0	0	3
62	37	67	258	1	0	0	0	0	0	0	0	3
62	39	70	179	1	1	0	0	0	0	0	0	3
62	55	63	265	0	1	0	0	0	0	0	0	2
62	79	68	175	1	1	0	0	0	0	1	0	2
