"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
33	57	"3 e7+2 f5+4(g2+su(2))+2(so(7)+2 su(2))"	"e8+3 e7+2 f5+2 su(3)+5(g2+su(2))+2(so(7)+2 su(2))"	40	123	1	3	0	0	0	0	0	1	"s1:1→1 / s2:33→1 / s3:33→1 / s4:33→1 / s5:33→1"	"s5:37→1"
33	57	"3 e7+2 f5+4(g2+su(2))+2(so(7)+2 su(2))"	"e8+3 e7+2 f5+4 su(3)+4(g2+su(2))+2(so(7)+2 su(2))"	40	116	0	4	0	0	0	0	0	1	"s1:1→1 / s2:33→1 / s3:33→1 / s4:33→1 / s5:33→1"	""
33	57	"3 e7+2 f5+4(g2+su(2))+2(so(7)+2 su(2))"	"e8+3 e7+2 f5+6(g2+su(2))+2(so(7)+2 su(2))"	40	130	2	2	0	0	0	0	0	1	"s1:1→1 / s2:33→1 / s3:33→1 / s4:33→1 / s5:33→1"	"s4:36→1 / s5:35→1"
33	57	"3 e7+2 f5+4(g2+su(2))+2(so(7)+2 su(2))"	"e8+3 e7+2 f5+su(3)+4(g2+su(2))+3(so(7)+2 su(2))"	40	129	2	2	0	0	0	0	0	1	"{s1:1→1 / s2:33→1 / s3:33→1 / s4:33→1 / s5:33→1, s1:1→1 / s2:33→1 / s3:33→1 / s4:33→1 / s5:33→2}"	"{s4:36→1 / s5:36→1, s4:36→1 / s5:36→1}"
