"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
76	14	77	267	1	0	0	0	0	0	1	0
76	14	78	259	1	1	0	0	0	0	1	0
76	14	78	260	1	1	0	0	0	0	1	0
76	14	78	261	0	1	0	0	0	0	1	0
76	14	78	267	1	0	0	0	0	0	1	0
76	14	81	144	1	1	0	0	0	0	0	1
76	14	81	145	1	1	0	0	0	0	0	1
76	14	81	146	0	1	0	0	0	0	0	1
76	14	81	152	1	0	0	0	0	0	0	1
76	15	77	259	0	1	0	0	0	0	1	0
76	15	78	251	0	2	0	0	0	0	1	0
76	15	78	258	1	1	0	0	0	0	1	0
76	15	78	259	0	1	0	0	0	0	1	0
76	15	79	250	1	2	0	0	0	0	1	0
76	15	79	256	2	1	0	0	0	0	1	0
76	18	77	270	1	0	0	0	1	0	0	0
76	18	78	243	1	0	0	0	0	1	0	0
76	18	79	215	1	0	0	0	0	0	1	0
76	18	79	270	1	0	0	0	1	0	0	0
