"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
84	1	84	220	0	0	0	0	0	1	1	0	2
84	1	84	247	0	0	0	0	1	0	1	0	2
84	1	87	193	1	2	0	0	0	0	0	1	11
84	1	87	194	0	2	0	0	0	0	0	1	6
84	1	87	199	2	1	0	0	0	0	0	1	8
84	1	87	201	1	1	0	0	0	0	0	1	11
84	1	87	202	0	1	0	0	0	0	0	1	4
84	2	88	158	1	0	0	0	0	0	0	1	5
84	9	87	226	0	2	0	0	0	0	1	0	2
84	12	84	240	0	1	0	0	0	0	1	0	2
84	21	84	244	0	0	0	1	1	0	0	0	2
84	21	87	272	0	3	0	0	1	0	0	0	2
84	25	87	194	1	2	0	0	0	0	0	0	5
84	25	87	195	0	2	0	0	0	0	0	0	3
84	25	87	200	2	1	0	0	0	0	0	0	2
84	25	87	201	2	1	0	0	0	0	0	0	6
84	25	87	202	1	1	0	0	0	0	0	0	21
84	25	87	203	0	1	0	0	0	0	0	0	4
84	25	87	210	1	0	0	0	0	0	0	0	5
84	25	88	182	1	0	1	0	0	0	0	0	2
