"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
84	1	87	193	1	2	0	0	0	0	0	1
84	1	87	194	0	2	0	0	0	0	0	1
84	1	87	199	2	1	0	0	0	0	0	1
84	1	87	201	1	1	0	0	0	0	0	1
84	1	87	202	0	1	0	0	0	0	0	1
84	2	85	273	1	0	0	0	0	0	1	0
84	2	88	158	1	0	0	0	0	0	0	1
84	9	86	233	1	1	0	0	0	0	1	0
84	9	86	234	0	1	0	0	0	0	1	0
84	9	86	261	1	1	0	0	0	1	0	0
84	9	86	262	0	1	0	0	0	1	0	0
84	25	87	201	2	1	0	0	0	0	0	0
84	25	87	202	1	1	0	0	0	0	0	0
84	25	87	203	0	1	0	0	0	0	0	0
84	25	87	210	1	0	0	0	0	0	0	0
84	35	85	261	1	0	0	0	0	1	0	0
84	35	86	233	1	0	0	0	0	0	1	0
