"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
12	1	"2 f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	13	217	1	1	0	0	0	0	0	0	2
12	1	"2 f5+2(g2+su(2))"	"2 f5+so(8)+3(g2+su(2))"	15	189	1	1	1	0	0	0	0	0	2
12	1	"2 f5+2(g2+su(2))"	"2 f5+su(3)+2(g2+su(2))"	12	218	0	1	0	0	0	0	0	0	2
12	1	"2 f5+2(g2+su(2))"	"3 f5+3(g2+su(2))"	16	165	1	1	0	1	0	0	0	0	6
12	1	"2 f5+2(g2+su(2))"	"3 f5+3(g2+su(2))"	17	165	1	1	0	1	0	0	0	0	2
12	1	"2 f5+2(g2+su(2))"	"e6+2 f5+3(g2+su(2))"	17	139	1	1	0	0	1	0	0	0	7
12	1	"2 f5+2(g2+su(2))"	"e6+2 f5+3(g2+su(2))"	18	139	1	1	0	0	1	0	0	0	4
12	1	"2 f5+2(g2+su(2))"	"e7'+2 f5+3(g2+su(2))"	18	112	1	1	0	0	0	1	0	0	6
12	1	"2 f5+2(g2+su(2))"	"e7+2 f5+3(g2+su(2))"	19	84	1	1	0	0	0	0	1	0	6
12	1	"2 f5+2(g2+su(2))"	"e8+2 f5+3(g2+su(2))"	23	-31	1	1	0	0	0	0	0	1	3
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 so(8)+su(3)+2(g2+su(2))"	16	162	1	0	2	0	0	0	0	0	6
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 so(8)+su(3)+2(g2+su(2))"	17	162	1	0	2	0	0	0	0	0	7
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 so(8)+su(3)+2(g2+su(2))"	18	162	1	0	2	0	0	0	0	0	3
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 so(8)+su(3)+2(g2+su(2))"	19	162	1	0	2	0	0	0	0	0	2
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 so(8)+su(3)+2(g2+su(2))"	22	162	1	0	2	0	0	0	0	0	2
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 su(3)+2(g2+su(2))"	13	210	1	1	0	0	0	0	0	0	2
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+2 su(3)+2(g2+su(2))"	14	210	1	1	0	0	0	0	0	0	4
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+3 su(3)+g2+su(2)"	12	211	0	1	0	0	0	0	0	0	2
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+2 su(3)+2(g2+su(2))"	16	182	1	1	1	0	0	0	0	0	35
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+2 su(3)+g2+su(2)"	12	191	0	0	1	0	0	0	0	0	2
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+2 su(3)+g2+su(2)+so(7)+2 su(2)"	16	180	2	1	1	0	0	0	0	0	3
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+3(g2+su(2))"	15	189	2	0	1	0	0	0	0	0	16
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+3 su(3)+2(g2+su(2))"	16	174	1	2	1	0	0	0	0	0	3
12	2	"2 f5+2 su(3)+g2+su(2)"	"2 f5+so(8)+3 su(3)+g2+su(2)"	13	183	0	1	1	0	0	0	0	0	2
