"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	118	0	0	0	0	0	0	1	0	"s1:22→1"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	146	0	0	0	0	0	1	0	0	"s1:22→1"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	173	0	0	0	0	1	0	0	0	"{s1:1→1, s1:22→1}"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	199	0	0	0	1	0	0	0	0	"{s1:1→1, s1:22→1}"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	223	0	0	1	0	0	0	0	0	"{s1:1→1, s1:22→1}"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	243	0	1	0	0	0	0	0	0	"{s1:1→1, s1:1→1, 22→1, s1:22→1}"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	250	1	0	0	0	0	0	0	0	"s1:22→1"	"{s1:2→1, s1:2→1}"
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	223	0	0	1	0	0	0	0	0	"s1:1→1, 22→1"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	24	199	0	0	0	1	0	0	0	0	"s1:1→1, 22→1"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	25	173	0	0	0	0	1	0	0	0	"s1:1→1, 22→1"	""
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	27	250	1	0	0	0	0	0	0	0	"{s1:1→1, s1:22→5}"	"{s1:2→1, s1:2→1}"
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	28	250	1	0	0	0	0	0	0	0	"s1:1→2"	"s1:2→1"
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	29	250	1	0	0	0	0	0	0	0	"{s1:1→3, s1:1→4, s1:1→5}"	"{s1:2→1, s1:2→1, s1:2→1}"
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	22	122	0	0	0	0	1	0	0	0	"s1:1→1"	""
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	22	148	0	0	0	1	0	0	0	0	"s1:1→1"	""
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	22	172	0	0	1	0	0	0	0	0	"s1:1→1"	""
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	22	192	0	1	0	0	0	0	0	0	"{s1:1→1, s1:22→1}"	""
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	22	199	1	0	0	0	0	0	0	0	""	"s1:2→1"
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	24	192	0	1	0	0	0	0	0	0	"s1:1→1, 22→1"	""
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	24	199	1	0	0	0	0	0	0	0	"s1:22→1"	"s1:2→1"
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	27	199	1	0	0	0	0	0	0	0	"{s1:1→1, s1:1→3, 22→1, s1:1→4, 22→1, s1:22→1, s1:22→2, s1:22→3}"	"{s1:19→1, s1:2→1, s1:2→1, s1:2→1, s1:19→1, s1:19→1, s1:2→1}"
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	28	199	1	0	0	0	0	0	0	0	"{s1:1→2, s1:22→3, s1:22→4, s1:22→4, s1:22→5, s1:22→5}"	"{s1:2→1, s1:19→1, s1:19→1, s1:2→1, s1:19→1, s1:2→1}"
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	29	199	1	0	0	0	0	0	0	0	"{s1:1→3, s1:1→4, s1:1→5}"	"{s1:2→1, s1:2→1, s1:2→1}"
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	22	121	0	0	0	0	1	0	0	0	"s1:1→1"	""
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	22	147	0	0	0	1	0	0	0	0	"s1:1→1"	""
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	22	171	0	0	1	0	0	0	0	0	"s1:1→1"	""
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	22	191	0	1	0	0	0	0	0	0	"s1:1→1"	""
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	22	198	1	0	0	0	0	0	0	0	""	"s1:2→1"
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	27	198	1	0	0	0	0	0	0	0	"{s1:1→1, s1:21→2, s1:21→3}"	"{s1:2→1, s1:2→1, s1:2→1}"
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	28	198	1	0	0	0	0	0	0	0	"s1:1→2"	"s1:2→1"
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	29	198	1	0	0	0	0	0	0	0	"{s1:1→3, s1:1→4, s1:1→5}"	"{s1:2→1, s1:2→1, s1:2→1}"
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	118	0	0	0	0	0	0	1	0	"s1:22→1"	""
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	146	0	0	0	0	0	1	0	0	"s1:22→1"	""
