"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	173	0	0	0	0	1	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	199	0	0	0	1	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	215	0	1	1	0	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	223	0	0	1	0	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	242	1	1	0	0	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	243	0	1	0	0	0	0	0	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	22	250	1	0	0	0	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	191	0	1	0	1	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	242	1	1	0	0	0	0	0	0	4
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	24	165	0	1	0	0	1	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	24	171	0	0	1	1	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	25	145	0	0	1	0	1	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	25	190	1	1	0	1	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	25	194	1	0	2	0	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	26	121	0	0	0	1	1	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	26	164	1	1	0	0	1	0	0	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	26	170	1	0	1	1	0	0	0	0	4
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	26	172	1	0	0	0	1	0	0	0	4
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	27	144	1	0	1	0	1	0	0	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	27	163	2	1	0	0	1	0	0	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	27	164	1	1	0	0	1	0	0	0	6
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	27	250	1	0	0	0	0	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	28	120	1	0	0	1	1	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	29	108	2	1	0	0	0	0	1	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	29	109	1	1	0	0	0	0	1	0	5
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	29	117	1	0	0	0	0	0	1	0	4
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	29	250	1	0	0	0	0	0	0	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	30	101	1	2	0	0	0	0	1	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	30	109	1	1	0	0	0	0	1	0	11
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	30	110	0	1	0	0	0	0	1	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	30	136	2	1	0	0	0	1	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	30	137	0	1	1	0	1	0	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	30	137	1	1	0	0	0	1	0	0	4
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	31	109	1	1	0	0	0	0	1	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	31	137	1	1	0	0	0	1	0	0	4
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	31	145	1	0	0	0	0	1	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	32	108	2	1	0	0	0	0	1	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	32	129	1	2	0	0	0	1	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	32	137	1	1	0	0	0	1	0	0	2
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	33	137	1	1	0	0	0	1	0	0	3
22	1	"e8+2 f5+su(3)+3(g2+su(2))"	35	137	1	1	0	0	0	1	0	0	2
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	22	192	0	1	0	0	0	0	0	0	2
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	24	191	1	1	0	0	0	0	0	0	2
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	25	190	2	1	0	0	0	0	0	0	19
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	25	191	1	1	0	0	0	0	0	0	13
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	26	170	2	0	1	0	0	0	0	0	3
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	26	171	1	0	1	0	0	0	0	0	13
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	26	183	1	2	0	0	0	0	0	0	4
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	27	147	1	0	0	1	0	0	0	0	6
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	27	171	1	0	1	0	0	0	0	0	9
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	27	199	1	0	0	0	0	0	0	0	7
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	28	121	1	0	0	0	1	0	0	0	6
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	28	147	1	0	0	1	0	0	0	0	6
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	28	163	1	1	1	0	0	0	0	0	2
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	28	171	1	0	1	0	0	0	0	0	3
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	28	199	1	0	0	0	0	0	0	0	6
22	2	"e8+3 f5+2 su(3)+2(g2+su(2))"	29	199	1	0	0	0	0	0	0	0	3
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	25	190	1	1	0	0	0	0	0	0	7
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	26	170	1	0	1	0	0	0	0	0	4
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	27	146	1	0	0	1	0	0	0	0	3
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	27	170	1	0	1	0	0	0	0	0	3
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	27	198	1	0	0	0	0	0	0	0	3
22	3	"e8+3 f5+su(3)+3(g2+su(2))"	29	198	1	0	0	0	0	0	0	0	3
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	173	0	0	0	0	1	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	199	0	0	0	1	0	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	215	0	1	1	0	0	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	223	0	0	1	0	0	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	242	1	1	0	0	0	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	243	0	1	0	0	0	0	0	0	3
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	22	250	1	0	0	0	0	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	23	191	0	1	0	1	0	0	0	0	2
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	23	242	1	1	0	0	0	0	0	0	4
22	4	"e8+2 f5+su(3)+3(g2+su(2))"	24	165	0	1	0	0	1	0	0	0	2
