"catalog type"	"catalog id"	"id"	"list"	"29(TH-1)+H-V"	"gauge algebra"	"symmetry"	"H-String Weight"
"A_dummy"	"6"	1	"{1,2,2,2,2,1}"	145	"0"	"Inversion"	"{1, 1, 1, 1, 1, 1}"
"D_dummy"	"6"	2	"{2,{2,2},2,2,1}"	145	"0"	"{1,2}"	"{1, 1, 2, 2, 2, 2}"
"N1"	"10523"	3	"{1,3,1,{1,4},1}"	109	"so(8)+su(3)"	"{4,6}"	"{1, 1, 2, 1, 1, 1}"
"N1"	"10528"	4	"{3,1,{1,4},1,3}"	101	"so(8)+2 su(3)"	"Inversion"	"{1, 3, 2, 2, 3, 1}"
"N1"	"10856"	5	"{1,3,2,1,4,1}"	108	"so(8)+g2+su(2)"	""	"{1, 1, 2, 3, 1, 1}"
"N1"	"10862"	6	"{3,1,3,1,4,1}"	101	"so(8)+2 su(3)"	""	"{1, 3, 2, 3, 1, 1}"
"N1"	"10866"	7	"{2,{1,3},1,4,1}"	108	"so(8)+g2+su(2)"	""	"{1, 2, 2, 3, 1, 1}"
"N1"	"10873"	8	"{1,3,1,4,1,2}"	109	"so(8)+su(3)"	""	"{1, 1, 2, 1, 2, 1}"
"N1"	"10882"	9	"{3,2,1,4,1,3}"	100	"so(8)+su(3)+g2+su(2)"	""	"{1, 3, 5, 2, 3, 1}"
"N1"	"11244"	10	"{3,1,3,2,1,4}"	100	"so(8)+su(3)+g2+su(2)"	""	"{1, 3, 2, 3, 4, 1}"
"N1"	"11245"	11	"{2,{1,3},2,1,4}"	106	"so(8)+so(7)+2 su(2)"	""	"{1, 2, 2, 3, 4, 1}"
"N1"	"11247"	12	"{1,3,2,2,1,4}"	108	"so(8)+g2+su(2)"	""	"{1, 1, 2, 3, 4, 1}"
"N1"	"11249"	13	"{2,3,1,3,1,4}"	100	"so(8)+su(3)+g2+su(2)"	""	"{1, 2, 5, 3, 4, 1}"
"N1"	"11250"	14	"{2,2,{1,3},1,4}"	108	"so(8)+g2+su(2)"	""	"{1, 2, 3, 3, 4, 1}"
"NN"	"1"	15	"{2,2,2,2,1,5}"	93	"f4"	""	"{1, 2, 3, 4, 5, 1}"
"NN"	"4"	16	"{3,1,2,3,2,1}"	126	"su(3)+so(7)+2 su(2)"	""	"{1, 3, 2, 1, 1, 1}"
"NN"	"5"	17	"{1,2,{1,3},2,1}"	134	"so(7)+2 su(2)"	"Inversion"	"{1, 1, 1, 1, 1, 1}"
"NN"	"16"	18	"{1,2,2,3,1,2}"	136	"g2+su(2)"	""	"{1, 1, 1, 1, 2, 1}"
"NN"	"17"	19	"{1,2,2,{1,3},1}"	136	"g2+su(2)"	"{4,6}"	"{1, 1, 1, 1, 1, 1}"
"NN"	"29"	20	"{3,1,{2,3},2,1}"	126	"su(3)+so(7)+2 su(2)"	""	"{1, 3, 1, 2, 2, 2}"
"NN"	"39"	21	"{1,3,1,3,2,1}"	128	"su(3)+g2+su(2)"	""	"{1, 1, 2, 1, 1, 1}"
"NN"	"40"	22	"{2,{2,3},1,3,1}"	126	"su(3)+so(7)+2 su(2)"	"{1,2}"	"{1, 1, 2, 4, 2, 2}"
"NN"	"99"	23	"{1,{1,{1,5}},1,2}"	93	"f4"	"{1,2}"	"{1, 1, 1, 1, 2, 1}"
"NN"	"100"	24	"{1,{1,{1,{1,5}}},1}"	93	"f4"	"{Inversion,{1,2},{2,6}}"	"{1, 1, 1, 1, 1, 1}"
"NN"	"102"	25	"{2,1,{1,5},1,2}"	93	"f4"	"Inversion"	"{1, 2, 1, 1, 2, 1}"
"NN"	"103"	26	"{2,2,1,{1,5},1}"	93	"f4"	"{4,6}"	"{1, 2, 3, 1, 1, 1}"
"NN"	"108"	27	"{2,2,2,1,5,1}"	93	"f4"	""	"{1, 2, 3, 4, 1, 1}"
"NN"	"112"	28	"{2,2,1,5,1,2}"	93	"f4"	""	"{1, 2, 3, 1, 2, 1}"
""	""	29	"{3,{2,2},1,8,1}"	3	"e7+g2+su(2)"	""	"{-x-, -x-, -x-, -x-, -x-, -x-}"
