"catalog type"	"catalog id"	"id"	"list"	"29(TH-1)+H-V"	"gauge algebra"	"symmetry"	"H-String Weight"
"A_dummy"	"12"	1	"{1,2,2,2,2,2,2,2,2,2,2,1}"	319	"0"	"Inversion"	"{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1}"
"D_dummy"	"12"	2	"{2,{2,2},2,2,2,2,2,2,2,2,1}"	319	"0"	"{1,2}"	"{1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2}"
"N1"	"10343"	3	"{1,2,3,1,5,1,3,1,{1,{1,6}},1}"	172	"e6+f4+su(3)+g2+su(2)"	"{9,12}"	"{1, 1, 1, 2, 1, 3, 2, 3, 1, 1, 1, 1}"
"N1"	"10358"	4	"{1,3,1,5,1,3,2,1,{1,{1,7}},1}"	145	"e7'+f4+su(3)+g2+su(2)"	"{9,12}"	"{1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 1, 1}"
"N1"	"10378"	5	"{3,2,1,5,1,3,2,1,{1,{1,8}},1}"	116	"e7+f4+2(g2+su(2))"	"{9,12}"	"{1, 3, 5, 2, 5, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10379"	6	"{3,1,5,1,2,3,2,1,{1,{1,8}},1}"	115	"e7+f4+su(3)+so(7)+2 su(2)"	"{9,12}"	"{1, 3, 2, 7, 5, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10380"	7	"{2,1,5,1,3,2,2,1,{1,{1,8}},1}"	125	"e7+f4+g2+su(2)"	"{9,12}"	"{1, 2, 1, 3, 2, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10382"	8	"{3,1,{1,5},1,3,2,1,{1,{1,8}},1}"	117	"e7+f4+su(3)+g2+su(2)"	"{9,12}"	"{1, 3, 2, 2, 5, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10384"	9	"{1,{1,5},1,3,2,2,1,{1,{1,8}},1}"	125	"e7+f4+g2+su(2)"	"{{1,2},{9,12}}"	"{1, 1, 1, 3, 2, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10386"	10	"{1,3,2,1,{1,{1,8}},1,2,3,2,1}"	166	"e7+g2+su(2)+so(7)+2 su(2)"	""	"{1, 1, 2, 3, 1, 1, 1, 3, 2, 1, 1, 1}"
"N1"	"10395"	11	"{3,2,1,{1,{1,8}},1,2,3,2,1,5}"	114	"e7+f4+g2+su(2)+so(7)+2 su(2)"	""	"{1, 3, 5, 2, 2, 2, 7, 5, 3, 4, 5, 1}"
"N1"	"10396"	12	"{3,2,1,{1,{1,8}},1,2,3,1,5,1}"	116	"e7+f4+2(g2+su(2))"	""	"{1, 3, 5, 2, 2, 2, 7, 5, 3, 4, 1, 1}"
"N1"	"10397"	13	"{2,3,2,1,{1,{1,8}},1,2,3,1,5}"	114	"e7+f4+g2+su(2)+so(7)+2 su(2)"	""	"{1, 2, 5, 8, 3, 3, 3, 10, 7, 4, 5, 1}"
"N1"	"10400"	14	"{2,1,5,1,3,2,1,{1,{1,8}},1,2}"	125	"e7+f4+g2+su(2)"	""	"{1, 2, 1, 3, 2, 3, 4, 1, 1, 1, 2, 1}"
"N1"	"10402"	15	"{1,5,1,2,3,2,1,{1,{1,8}},1,2}"	123	"e7+f4+so(7)+2 su(2)"	""	"{1, 1, 4, 3, 2, 3, 4, 1, 1, 1, 2, 1}"
"N1"	"10403"	16	"{1,{1,5},1,3,2,1,{1,{1,8}},1,2}"	125	"e7+f4+g2+su(2)"	"{1,2}"	"{1, 1, 1, 3, 2, 3, 4, 1, 1, 1, 2, 1}"
"N1"	"10531"	17	"{1,2,3,1,5,1,3,2,1,{1,6},1}"	171	"e6+f4+2(g2+su(2))"	"{10,12}"	"{1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 1}"
"N1"	"10538"	18	"{5,1,2,3,1,5,1,3,1,{1,6},1}"	120	"e6+2 f4+su(3)+g2+su(2)"	"{10,12}"	"{1, 5, 4, 3, 5, 2, 5, 3, 4, 1, 1, 1}"
"N1"	"10542"	19	"{1,5,1,3,1,5,1,3,1,{1,6},1}"	121	"e6+2 f4+2 su(3)"	"{10,12}"	"{1, 1, 4, 3, 5, 2, 5, 3, 4, 1, 1, 1}"
"N1"	"10548"	20	"{1,3,1,{1,6},1,3,1,5,1,3,1}"	165	"e6+f4+3 su(3)"	""	"{1, 1, 2, 1, 1, 3, 2, 3, 1, 2, 1, 1}"
"N1"	"10555"	21	"{1,2,3,1,5,1,3,1,{1,6},1,2}"	172	"e6+f4+su(3)+g2+su(2)"	""	"{1, 1, 1, 2, 1, 3, 2, 3, 1, 1, 2, 1}"
"N1"	"10567"	22	"{3,1,{1,6},1,3,1,5,1,3,1,5}"	113	"e6+2 f4+3 su(3)"	""	"{1, 3, 2, 2, 7, 5, 8, 3, 7, 4, 5, 1}"
"N1"	"10569"	23	"{5,1,3,1,{1,6},1,3,1,5,1,3}"	113	"e6+2 f4+3 su(3)"	""	"{1, 5, 4, 7, 3, 3, 8, 5, 7, 2, 3, 1}"
"N1"	"10570"	24	"{1,5,1,3,1,{1,6},1,3,1,5,1}"	121	"e6+2 f4+2 su(3)"	"Inversion"	"{1, 1, 4, 3, 5, 2, 2, 5, 3, 4, 1, 1}"
"N1"	"10581"	25	"{3,1,{3,1,6},1,3,1,5,1,3,1}"	157	"e6+f4+4 su(3)"	"{1,3}"	"{1, 3, 1, 3, 2, 6, 4, 6, 2, 4, 2, 2}"
"N1"	"10588"	26	"{1,3,1,5,1,3,2,2,1,{1,7},1}"	145	"e7'+f4+su(3)+g2+su(2)"	"{10,12}"	"{1, 1, 2, 1, 3, 2, 3, 4, 5, 1, 1, 1}"
"N1"	"10605"	27	"{1,2,3,2,1,{1,7},1,2,3,2,1}"	192	"e7'+2(so(7)+2 su(2))"	"Inversion"	"{1, 1, 1, 2, 3, 1, 1, 3, 2, 1, 1, 1}"
"N1"	"10607"	28	"{1,3,1,5,1,3,2,1,{1,7},1,2}"	145	"e7'+f4+su(3)+g2+su(2)"	""	"{1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 2, 1}"
"N1"	"10628"	29	"{3,2,1,5,1,3,2,2,1,{1,8},1}"	116	"e7+f4+2(g2+su(2))"	"{10,12}"	"{1, 3, 5, 2, 5, 3, 4, 5, 6, 1, 1, 1}"
"N1"	"10629"	30	"{2,3,2,1,5,1,3,2,1,{1,8},1}"	114	"e7+f4+g2+su(2)+so(7)+2 su(2)"	"{10,12}"	"{1, 2, 5, 8, 3, 7, 4, 5, 6, 1, 1, 1}"
"N1"	"10630"	31	"{2,3,1,5,1,2,3,2,1,{1,8},1}"	114	"e7+f4+g2+su(2)+so(7)+2 su(2)"	"{10,12}"	"{1, 2, 5, 3, 10, 7, 4, 5, 6, 1, 1, 1}"
"N1"	"10633"	32	"{3,1,{1,5},1,3,2,2,1,{1,8},1}"	117	"e7+f4+su(3)+g2+su(2)"	"{10,12}"	"{1, 3, 2, 2, 5, 3, 4, 5, 6, 1, 1, 1}"
"N1"	"10634"	33	"{2,3,1,{1,5},1,3,2,1,{1,8},1}"	116	"e7+f4+2(g2+su(2))"	"{10,12}"	"{1, 2, 5, 3, 3, 7, 4, 5, 6, 1, 1, 1}"
"N1"	"10646"	34	"{1,2,3,2,1,{1,8},1,2,2,3,1}"	166	"e7+g2+su(2)+so(7)+2 su(2)"	""	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 1, 1}"
"N1"	"10652"	35	"{1,2,3,2,1,{1,8},1,2,3,1,3}"	158	"e7+su(3)+g2+su(2)+so(7)+2 su(2)"	""	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 1}"
"N1"	"10654"	36	"{1,2,3,2,1,{1,8},1,2,{1,3},2}"	164	"e7+2(so(7)+2 su(2))"	""	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 2, 1}"
"N1"	"10664"	37	"{3,2,2,1,{1,8},1,2,3,2,1,5}"	114	"e7+f4+g2+su(2)+so(7)+2 su(2)"	""	"{1, 3, 5, 7, 2, 2, 7, 5, 3, 4, 5, 1}"
"N1"	"10665"	38	"{3,2,2,1,{1,8},1,2,3,1,5,1}"	116	"e7+f4+2(g2+su(2))"	""	"{1, 3, 5, 7, 2, 2, 7, 5, 3, 4, 1, 1}"
"N1"	"10668"	39	"{3,2,1,{1,8},1,2,2,3,1,5,1}"	116	"e7+f4+2(g2+su(2))"	""	"{1, 3, 5, 2, 2, 9, 7, 5, 3, 4, 1, 1}"
