"catalog type"	"catalog id"	"id"	"list"	"29TH+H-V"	"gauge algebra"	"symmetry"	"H-String Weight"
"A_dummy"	"15"	1	"{1,2,2,2,2,2,2,2,2,2,2,2,2,2,1}"	406	"0"	"Inversion"	"{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1}"
"D_dummy"	"15"	2	"{2,{2,2},2,2,2,2,2,2,2,2,2,2,2,1}"	406	"0"	"{1,2}"	"{1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2}"
"N1"	"10374"	3	"{1,2,2,3,1,5,1,3,2,2,1,{1,{1,8}},1}"	203	"e7+f4+2(g2+su(2))"	"{12,15}"	"{1, 1, 1, 1, 2, 1, 3, 2, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10393"	4	"{1,2,2,3,1,5,1,3,2,1,{1,{1,8}},1,2}"	203	"e7+f4+2(g2+su(2))"	""	"{1, 1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 1, 2, 1}"
"N1"	"10412"	5	"{1,3,2,2,1,{1,{1,12}},1,2,2,3,1,3,2}"	131	"e8+3(g2+su(2))"	""	"{1, 1, 2, 3, 4, 1, 1, 1, 6, 5, 4, 3, 5, 2, 1}"
"N1"	"10438"	6	"{3,1,3,2,2,1,{1,{1,12}},1,2,2,3,1,3}"	124	"e8+2 su(3)+2(g2+su(2))"	"Inversion"	"{1, 3, 2, 3, 4, 5, 1, 1, 1, 5, 4, 3, 2, 3, 1}"
"N1"	"10461"	7	"{1,3,2,2,1,{2,2,1,{1,12}},1,2,2,3,1}"	140	"e8+2(g2+su(2))"	"Inversion"	"{1, 1, 2, 3, 4, 1, 2, 3, 1, 1, 4, 3, 2, 1, 1}"
"N1"	"10465"	8	"{1,3,2,2,1,{3,2,2,1,{1,12}},1,2,2,3}"	131	"e8+3(g2+su(2))"	"{6,15}"	"{2, 2, 4, 6, 8, 1, 3, 5, 7, 2, 2, 7, 5, 3, 1}"
"N1"	"10466"	9	"{1,3,2,2,1,{2,1,{1,12}},1,2,2,3,1,3}"	132	"e8+su(3)+2(g2+su(2))"	""	"{1, 1, 2, 3, 4, 1, 2, 1, 1, 5, 4, 3, 2, 3, 1}"
"N1"	"10502"	10	"{1,3,2,2,1,{2,1,{2,1,12}},1,2,2,3,1}"	140	"e8+2(g2+su(2))"	"Inversion"	"{1, 1, 2, 3, 4, 1, 2, 1, 2, 1, 4, 3, 2, 1, 1}"
"N1"	"10638"	11	"{1,3,2,1,{1,8},1,2,3,1,5,1,3,2,1}"	194	"e7+f4+3(g2+su(2))"	""	"{1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 1, 2, 1, 1, 1}"
"N1"	"10648"	12	"{1,2,3,2,1,{1,8},1,2,3,1,5,1,3,1}"	193	"e7+f4+su(3)+g2+su(2)+so(7)+2 su(2)"	""	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 1, 2, 1, 1}"
"N1"	"10661"	13	"{1,2,2,3,1,5,1,3,2,1,{1,8},1,2,2}"	203	"e7+f4+2(g2+su(2))"	""	"{1, 1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 3, 2, 1}"
