"id"	"list"	"29(TH-1)+H-V"	"gauge algebra"	"symmetry"	"H-String Weight"
1	"{1,3,1,3,1}"	100	"2 su(3)"	"Inversion"	"{1, 1, 2, 1, 1}"
2	"{1,2,2,2,1}"	116	"0"	"Inversion"	"{1, 1, 1, 1, 1}"
3	"{1,2,3,1,2}"	107	"g2+su(2)"	""	"{1, 1, 1, 2, 1}"
4	"{3,1,2,3,1}"	99	"su(3)+g2+su(2)"	""	"{1, 3, 2, 1, 1}"
5	"{3,1,3,1,3}"	92	"3 su(3)"	"Inversion"	"{1, 3, 2, 3, 1}"
6	"{2,3,1,2,3}"	98	"2(g2+su(2))"	""	"{1, 2, 5, 3, 1}"
7	"{1,2,{1,3},1}"	107	"g2+su(2)"	"{3,5}"	"{1, 1, 1, 1, 1}"
8	"{2,{1,2},3,1}"	107	"g2+su(2)"	""	"{1, 2, 2, 1, 1}"
9	"{2,{2,3},1,2}"	105	"so(7)+2 su(2)"	"{1,2}"	"{1, 1, 2, 4, 2}"
10	"{3,1,{1,3},2}"	99	"su(3)+g2+su(2)"	""	"{1, 3, 2, 2, 1}"
11	"{2,{2,2},2,1}"	116	"0"	"{1,2}"	"{1, 1, 2, 2, 2}"
12	"{2,2,{1,2},3}"	107	"g2+su(2)"	""	"{1, 2, 3, 3, 1}"
13	"{2,{1,{1,3}},2}"	105	"so(7)+2 su(2)"	"Inversion"	"{1, 2, 2, 2, 1}"
14	"{1,{1,{1,4}},1}"	88	"so(8)"	"{Inversion,{1,2},{2,5}}"	"{1, 1, 1, 1, 1}"
15	"{2,1,{1,4},1}"	88	"so(8)"	"{3,5}"	"{1, 2, 1, 1, 1}"
16	"{3,{2,2},1,7}"	2	"e7'+g2+su(2)"	""	"{-x-, -x-, -x-, -x-, -x-}"
17	"{2,1,4,1,2}"	88	"so(8)"	"Inversion"	"{1, 2, 1, 2, 1}"
18	"{2,2,1,4,1}"	88	"so(8)"	""	"{1, 2, 3, 1, 1}"
19	"{2,2,2,1,4}"	88	"so(8)"	""	"{1, 2, 3, 4, 1}"
