"id"	"list"	"29(TH-1)+H-V"	"gauge algebra"	"symmetry"
1	"{1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,2,2}"	324	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
2	"{1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{2,1,12},1,2,2,2}"	324	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
3	"{1,{1,5},1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,{1,5},1,3}"	264	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+\mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,2}"
4	"{1,{1,5},1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,{1,5},1}"	272	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{Inversion,{1,2},{65,67}}"
5	"{2,2,1,{2,2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1}"	324	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,4}"
6	"{1,3,2,2,1,{2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,1}"	315	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
7	"{1,{1,5},1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,2}"	272	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,2}"
8	"{2,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,{1,5},1,3}"	264	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+\mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
9	"{3,1,{1,5},1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,{1,5},1,3}"	256	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+2 \mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"Inversion"
10	"{1,3,2,2,1,{2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,5,1}"	264	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+\mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
11	"{1,3,2,2,1,{2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,5}"	263	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
12	"{1,{1,5},1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,2,3}"	263	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,2}"
13	"{2,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,2}"	272	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"Inversion"
14	"{3,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,1}"	307	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+\mathfrak{su}_3+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
15	"{3,2,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,{1,5},1,3}"	255	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+\mathfrak{su}_3+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
16	"{1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,2,2,2}"	324	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
17	"{1,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,3,2}"	306	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+12(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
18	"{2,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,2,3}"	263	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
19	"{3,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,5,1}"	256	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+2 \mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
20	"{3,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,5}"	255	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+\mathfrak{su}_3+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
21	"{2,3,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,5,1}"	255	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+\mathfrak{su}_3+11(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
22	"{2,3,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,5}"	254	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+12(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
23	"{3,2,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,2,3}"	254	"$5 \mathfrak{e}_8+6 \mathfrak{f}_5+12(\mathfrak{g}_2+\mathfrak{su}_2)$"	"Inversion"
24	"{1,{1,6},1,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,2,2}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,2}"
25	"{1,{1,6},1,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{2,1,12},1,2,2,2}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,2}"
26	"{2,2,1,{2,2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,{1,6},1}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{{1,4},{65,67}}"
27	"{2,2,1,{2,2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,6,1,2}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,4}"
28	"{2,2,1,{2,2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,6,1}"	246	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,4}"
29	"{2,2,1,{2,2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,6}"	246	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,4}"
30	"{1,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,4,1}"	288	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+\mathfrak{so}_8+\mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
31	"{2,2,2,1,{2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,6,1,2}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
32	"{2,2,2,1,{2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,6,1}"	246	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
33	"{2,2,2,1,{2,1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,6}"	246	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
34	"{1,3,1,5,1,3,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,4,1,3}"	280	"$5 \mathfrak{e}_8+5 \mathfrak{f}_5+\mathfrak{so}_8+2 \mathfrak{su}_3+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
35	"{1,{1,6},1,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,2,2,2}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	"{1,2}"
36	"{1,{1,8},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,8,1,2,3,2,1}"	295	"$4 \mathfrak{e}_8+2 \mathfrak{e}_7+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)+\mathfrak{so}_7+2\mathfrak{su}_2$"	"{1,2}"
37	"{2,1,{1,8},1,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,8,1,2,3,2,1}"	295	"$4 \mathfrak{e}_8+2 \mathfrak{e}_7+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)+\mathfrak{so}_7+2\mathfrak{su}_2$"	""
38	"{2,2,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,1,6,1,2}"	247	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+\mathfrak{su}_3+9(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
39	"{2,2,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,6,1}"	246	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
40	"{2,2,2,2,1,{1,12},1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,6}"	246	"$5 \mathfrak{e}_8+\mathfrak{e}_6+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)$"	""
41	"{1,2,3,2,1,8,1,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,8,1,2,2}"	295	"$4 \mathfrak{e}_8+2 \mathfrak{e}_7+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)+\mathfrak{so}_7+2\mathfrak{su}_2$"	""
42	"{1,2,3,2,1,8,1,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,8,1,2}"	295	"$4 \mathfrak{e}_8+2 \mathfrak{e}_7+5 \mathfrak{f}_5+10(\mathfrak{g}_2+\mathfrak{su}_2)+\mathfrak{so}_7+2\mathfrak{su}_2$"	""
43	"{1,3,2,1,8,1,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,2,1,12,1,2,2,3,1,5,1,3,2,1,8,1,2,3,1}"	288	"$4 \mathfrak{e}_8+2 \mathfrak{e}_7+5 \mathfrak{f}_5+12(\mathfrak{g}_2+\mathfrak{su}_2)$"	"Inversion"
