"catalog type"	"catalog id"	"id"	"list"	"29TH+H-V"	"gauge algebra"	"symmetry"	"H-String Weight"
"N1"	"10360"	1	"{1,2,2,3,1,5,1,3,2,1,{1,{1,7}},1}"	202	"e7'+f4+2(g2+su(2))"	"{11,14}"	"{1, 1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 1, 1}"
"N1"	"10373"	2	"{1,2,3,1,5,1,3,2,2,1,{1,{1,8}},1}"	174	"e7+f4+2(g2+su(2))"	"{11,14}"	"{1, 1, 1, 2, 1, 3, 2, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10381"	3	"{5,1,2,3,1,5,1,3,2,1,{1,{1,8}},1}"	122	"e7+2 f4+2(g2+su(2))"	"{11,14}"	"{1, 5, 4, 3, 5, 2, 5, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10383"	4	"{1,5,1,3,1,5,1,3,2,1,{1,{1,8}},1}"	123	"e7+2 f4+su(3)+g2+su(2)"	"{11,14}"	"{1, 1, 4, 3, 5, 2, 5, 3, 4, 5, 1, 1, 1, 1}"
"N1"	"10392"	5	"{1,2,3,1,5,1,3,2,1,{1,{1,8}},1,2}"	174	"e7+f4+2(g2+su(2))"	""	"{1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 1, 2, 1}"
"N1"	"10413"	6	"{1,3,2,2,1,{1,{1,12}},1,2,2,2,2,2}"	120	"e8+g2+su(2)"	""	"{1, 1, 2, 3, 4, 1, 1, 1, 6, 5, 4, 3, 2, 1}"
"N1"	"10436"	7	"{2,3,1,3,2,2,1,{1,{1,12}},1,2,2,2}"	111	"e8+2(g2+su(2))"	""	"{1, 2, 5, 3, 4, 5, 6, 1, 1, 1, 4, 3, 2, 1}"
"N1"	"10437"	8	"{2,2,3,1,3,2,2,1,{1,{1,12}},1,2,2}"	111	"e8+2(g2+su(2))"	""	"{1, 2, 3, 7, 4, 5, 6, 7, 1, 1, 1, 3, 2, 1}"
"N1"	"10439"	9	"{3,1,3,2,2,1,{1,{1,12}},1,2,2,2,2}"	112	"e8+su(3)+g2+su(2)"	""	"{1, 3, 2, 3, 4, 5, 1, 1, 1, 5, 4, 3, 2, 1}"
"N1"	"10467"	10	"{1,3,2,2,1,{2,1,{1,12}},1,2,2,2,2}"	120	"e8+g2+su(2)"	""	"{1, 1, 2, 3, 4, 1, 2, 1, 1, 5, 4, 3, 2, 1}"
"N1"	"10470"	11	"{1,3,2,2,1,{2,2,1,{1,12}},1,2,2,2}"	120	"e8+g2+su(2)"	""	"{1, 1, 2, 3, 4, 1, 2, 3, 1, 1, 4, 3, 2, 1}"
"N1"	"10477"	12	"{3,2,2,1,{3,2,2,1,{1,12}},1,2,2,2}"	111	"e8+2(g2+su(2))"	"{1,5}"	"{1, 3, 5, 7, 1, 3, 5, 7, 2, 2, 8, 6, 4, 2}"
"N1"	"10480"	13	"{2,3,1,3,2,2,1,{2,1,{1,12}},1,2,2}"	111	"e8+2(g2+su(2))"	""	"{1, 2, 5, 3, 4, 5, 6, 1, 2, 1, 1, 3, 2, 1}"
"N1"	"10481"	14	"{2,2,3,1,3,2,2,1,{2,1,{1,12}},1,2}"	111	"e8+2(g2+su(2))"	"{9,14}"	"{1, 2, 3, 7, 4, 5, 6, 7, 1, 2, 1, 1, 2, 1}"
"N1"	"10482"	15	"{3,1,3,2,2,1,{2,1,{1,12}},1,2,2,2}"	112	"e8+su(3)+g2+su(2)"	""	"{1, 3, 2, 3, 4, 5, 1, 2, 1, 1, 4, 3, 2, 1}"
"N1"	"10483"	16	"{3,1,3,2,2,1,{2,2,1,{1,12}},1,2,2}"	112	"e8+su(3)+g2+su(2)"	"{7,14}"	"{1, 3, 2, 3, 4, 5, 1, 2, 3, 1, 1, 3, 2, 1}"
"N1"	"10503"	17	"{1,3,2,2,1,{2,1,{2,1,12}},1,2,2,2}"	120	"e8+g2+su(2)"	""	"{1, 1, 2, 3, 4, 1, 2, 1, 2, 1, 4, 3, 2, 1}"
"N1"	"10504"	18	"{1,3,2,2,1,{2,2,1,{2,1,12}},1,2,2}"	120	"e8+g2+su(2)"	"{6,14}"	"{1, 1, 2, 3, 4, 1, 2, 3, 1, 2, 1, 3, 2, 1}"
"N1"	"10508"	19	"{3,2,2,1,{2,2,1,{2,1,12}},1,2,2,3}"	111	"e8+2(g2+su(2))"	"Inversion"	"{1, 3, 5, 7, 2, 4, 6, 2, 4, 2, 7, 5, 3, 1}"
"N1"	"10510"	20	"{2,3,1,3,2,2,1,{2,1,{2,1,12}},1,2}"	111	"e8+2(g2+su(2))"	"{8,14}"	"{1, 2, 5, 3, 4, 5, 6, 1, 2, 1, 2, 1, 2, 1}"
"N1"	"10511"	21	"{3,1,3,2,2,1,{2,1,{2,1,12}},1,2,2}"	112	"e8+su(3)+g2+su(2)"	""	"{1, 3, 2, 3, 4, 5, 1, 2, 1, 2, 1, 3, 2, 1}"
"N1"	"10547"	22	"{1,3,1,{1,6},1,3,1,5,1,3,2,2,1}"	222	"e6+f4+2 su(3)+g2+su(2)"	""	"{1, 1, 2, 1, 1, 3, 2, 3, 1, 2, 1, 1, 1, 1}"
"N1"	"10579"	23	"{3,1,{3,1,6},1,3,1,5,1,3,2,2,1}"	214	"e6+f4+3 su(3)+g2+su(2)"	"{1,3}"	"{1, 3, 1, 3, 2, 6, 4, 6, 2, 4, 2, 2, 2, 2}"
"N1"	"10590"	24	"{1,2,2,3,1,5,1,3,2,2,1,{1,7},1}"	202	"e7'+f4+2(g2+su(2))"	"{12,14}"	"{1, 1, 1, 1, 2, 1, 3, 2, 3, 4, 5, 1, 1, 1}"
"N1"	"10609"	25	"{1,2,2,3,1,5,1,3,2,1,{1,7},1,2}"	202	"e7'+f4+2(g2+su(2))"	""	"{1, 1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 2, 1}"
"N1"	"10631"	26	"{5,1,2,3,1,5,1,3,2,2,1,{1,8},1}"	122	"e7+2 f4+2(g2+su(2))"	"{12,14}"	"{1, 5, 4, 3, 5, 2, 5, 3, 4, 5, 6, 1, 1, 1}"
"N1"	"10632"	27	"{3,1,5,1,3,1,5,1,3,2,1,{1,8},1}"	115	"e7+2 f4+2 su(3)+g2+su(2)"	"{12,14}"	"{1, 3, 2, 7, 5, 8, 3, 7, 4, 5, 6, 1, 1, 1}"
"N1"	"10635"	28	"{1,5,1,3,1,5,1,3,2,2,1,{1,8},1}"	123	"e7+2 f4+su(3)+g2+su(2)"	"{12,14}"	"{1, 1, 4, 3, 5, 2, 5, 3, 4, 5, 6, 1, 1, 1}"
"N1"	"10637"	29	"{1,3,2,1,{1,8},1,2,3,1,5,1,3,1}"	166	"e7+f4+su(3)+2(g2+su(2))"	""	"{1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 1, 2, 1, 1}"
"N1"	"10653"	30	"{1,2,3,2,1,{1,8},1,2,3,1,5,1,2}"	172	"e7+f4+g2+su(2)+so(7)+2 su(2)"	""	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 1, 2, 1}"
"N1"	"10655"	31	"{1,2,3,2,1,{1,8},1,2,3,2,1,5,1}"	170	"e7+f4+2(so(7)+2 su(2))"	""	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 4, 1, 1}"
"N1"	"10656"	32	"{1,2,3,2,1,{1,8},1,2,3,1,{1,5},1}"	172	"e7+f4+g2+su(2)+so(7)+2 su(2)"	"{12,14}"	"{1, 1, 1, 2, 3, 1, 1, 4, 3, 2, 3, 1, 1, 1}"
"N1"	"10659"	33	"{1,2,3,1,5,1,3,2,1,{1,8},1,2,2}"	174	"e7+f4+2(g2+su(2))"	""	"{1, 1, 1, 2, 1, 3, 2, 3, 4, 1, 1, 3, 2, 1}"
"N1"	"10660"	34	"{1,2,3,1,5,1,3,2,2,1,{1,8},1,2}"	174	"e7+f4+2(g2+su(2))"	""	"{1, 1, 1, 2, 1, 3, 2, 3, 4, 5, 1, 1, 2, 1}"
"N1"	"10667"	35	"{3,2,1,{1,8},1,2,3,1,5,1,3,1,5}"	114	"e7+2 f4+su(3)+2(g2+su(2))"	""	"{1, 3, 5, 2, 2, 9, 7, 5, 8, 3, 7, 4, 5, 1}"
"N1"	"10675"	36	"{5,1,2,3,1,5,1,3,2,1,{1,8},1,2}"	122	"e7+2 f4+2(g2+su(2))"	""	"{1, 5, 4, 3, 5, 2, 5, 3, 4, 5, 1, 1, 2, 1}"
"N1"	"10677"	37	"{1,5,1,3,1,5,1,3,2,1,{1,8},1,2}"	123	"e7+2 f4+su(3)+g2+su(2)"	""	"{1, 1, 4, 3, 5, 2, 5, 3, 4, 5, 1, 1, 2, 1}"
"N1"	"10685"	38	"{5,1,3,2,1,{1,8},1,2,3,1,5,1,3}"	114	"e7+2 f4+su(3)+2(g2+su(2))"	""	"{1, 5, 4, 7, 10, 3, 3, 11, 8, 5, 7, 2, 3, 1}"
