"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
72	1	"5 e8+6 f5+12(g2+su(2))"	"6 e8+6 f5+12(g2+su(2))"	72	180	0	0	0	0	0	0	0	1	"s1:72→1"	""
72	2	"5 e8+7 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+7 f5+su(3)+11(g2+su(2))"	72	272	0	0	0	0	0	1	0	0	"s1:1→1"	""
72	2	"5 e8+7 f5+su(3)+11(g2+su(2))"	"5 e8+e7+7 f5+su(3)+11(g2+su(2))"	72	244	0	0	0	0	0	0	1	0	"s1:1→1"	""
72	2	"5 e8+7 f5+su(3)+11(g2+su(2))"	"6 e8+7 f5+su(3)+11(g2+su(2))"	72	129	0	0	0	0	0	0	0	1	"s1:1→1"	""
72	3	"5 e8+7 f5+12(g2+su(2))"	"5 e8+e7'+7 f5+12(g2+su(2))"	72	271	0	0	0	0	0	1	0	0	"s1:1→1"	""
72	3	"5 e8+7 f5+12(g2+su(2))"	"5 e8+e7+7 f5+12(g2+su(2))"	72	243	0	0	0	0	0	0	1	0	"s1:1→1"	""
72	3	"5 e8+7 f5+12(g2+su(2))"	"6 e8+7 f5+12(g2+su(2))"	72	128	0	0	0	0	0	0	0	1	"s1:1→1"	""
72	7	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+su(3)+11(g2+su(2))"	72	181	0	1	0	0	0	0	0	0	"{s1:70→1, s1:72→1}"	""
72	7	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+su(3)+11(g2+su(2))"	76	181	0	1	0	0	0	0	0	0	"s1:70→1, 72→1"	""
72	10	"5 e8+e7+5 f5+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+5 f5+11(g2+su(2))+so(7)+2 su(2)"	72	212	0	0	0	0	0	0	1	0	"s1:72→1"	""
72	10	"5 e8+e7+5 f5+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e6+5 f5+11(g2+su(2))+so(7)+2 su(2)"	72	267	0	0	0	0	1	0	0	0	"s1:72→1"	""
72	10	"5 e8+e7+5 f5+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e7'+5 f5+11(g2+su(2))+so(7)+2 su(2)"	72	240	0	0	0	0	0	1	0	0	"s1:72→1"	""
72	13	"5 e8+e6+6 f5+su(3)+11(g2+su(2))"	"5 e8+2 e6+6 f5+su(3)+11(g2+su(2))"	72	273	0	0	0	0	1	0	0	0	"s1:72→1"	""
72	13	"5 e8+e6+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+e6+6 f5+su(3)+11(g2+su(2))"	72	246	0	0	0	0	0	1	0	0	"s1:72→1"	""
72	13	"5 e8+e6+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7+e6+6 f5+su(3)+11(g2+su(2))"	72	218	0	0	0	0	0	0	1	0	"s1:72→1"	""
72	14	"5 e8+e7'+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+7 f5+su(3)+11(g2+su(2))"	72	272	0	0	0	1	0	0	0	0	"s1:72→1"	""
72	14	"5 e8+e7'+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+e6+6 f5+su(3)+11(g2+su(2))"	72	246	0	0	0	0	1	0	0	0	"s1:72→1"	""
72	16	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+12(g2+su(2))"	72	180	0	1	0	0	0	0	0	0	""	"s1:72→1"
72	16	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+su(3)+11(g2+su(2))"	76	181	0	1	0	0	0	0	0	0	"s1:71→1"	""
72	18	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+su(3)+11(g2+su(2))"	72	181	0	1	0	0	0	0	0	0	"{s1:70→1, s1:72→1}"	""
72	18	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+su(3)+11(g2+su(2))"	76	181	0	1	0	0	0	0	0	0	"s1:70→1, 72→1"	""
72	20	"5 e8+e6+6 f5+su(3)+11(g2+su(2))"	"5 e8+2 e6+6 f5+su(3)+11(g2+su(2))"	72	273	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	20	"5 e8+e6+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+e6+6 f5+su(3)+11(g2+su(2))"	72	246	0	0	0	0	0	1	0	0	"s1:1→1"	""
72	20	"5 e8+e6+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7+e6+6 f5+su(3)+11(g2+su(2))"	72	218	0	0	0	0	0	0	1	0	"s1:1→1"	""
72	21	"5 e8+e6+6 f5+12(g2+su(2))"	"5 e8+2 e6+6 f5+12(g2+su(2))"	72	272	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	21	"5 e8+e6+6 f5+12(g2+su(2))"	"5 e8+e7'+e6+6 f5+12(g2+su(2))"	72	245	0	0	0	0	0	1	0	0	"s1:1→1"	""
72	21	"5 e8+e6+6 f5+12(g2+su(2))"	"5 e8+e7+e6+6 f5+12(g2+su(2))"	72	217	0	0	0	0	0	0	1	0	"s1:1→1"	""
72	22	"5 e8+e6+6 f5+12(g2+su(2))"	"5 e8+2 e6+6 f5+12(g2+su(2))"	72	272	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	22	"5 e8+e6+6 f5+12(g2+su(2))"	"5 e8+e7'+e6+6 f5+12(g2+su(2))"	72	245	0	0	0	0	0	1	0	0	"s1:1→1"	""
72	22	"5 e8+e6+6 f5+12(g2+su(2))"	"5 e8+e7+e6+6 f5+12(g2+su(2))"	72	217	0	0	0	0	0	0	1	0	"s1:1→1"	""
72	23	"5 e8+e6+6 f5+3 su(3)+10(g2+su(2))"	"5 e8+2 e6+6 f5+3 su(3)+10(g2+su(2))"	72	266	0	0	0	0	1	0	0	0	"{s1:1→1, s1:1→1, 72→1, s1:72→1}"	""
72	24	"5 e8+e7'+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+7 f5+su(3)+11(g2+su(2))"	72	272	0	0	0	1	0	0	0	0	"s1:1→1"	""
72	24	"5 e8+e7'+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+e6+6 f5+su(3)+11(g2+su(2))"	72	246	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	25	"5 e8+e7'+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+7 f5+su(3)+11(g2+su(2))"	72	272	0	0	0	1	0	0	0	0	"s1:1→1"	""
72	25	"5 e8+e7'+6 f5+su(3)+11(g2+su(2))"	"5 e8+e7'+e6+6 f5+su(3)+11(g2+su(2))"	72	246	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	31	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+12(g2+su(2))"	72	180	0	1	0	0	0	0	0	0	""	"s1:72→1"
72	31	"6 e8+6 f5+11(g2+su(2))"	"6 e8+6 f5+su(3)+11(g2+su(2))"	76	181	0	1	0	0	0	0	0	0	"s1:71→1"	""
72	33	"5 e8+e7+5 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+5 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	72	204	0	0	0	0	0	0	1	0	"s1:72→1"	""
72	33	"5 e8+e7+5 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e6+5 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	72	259	0	0	0	0	1	0	0	0	"s1:72→1"	""
72	33	"5 e8+e7+5 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e7'+5 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	72	232	0	0	0	0	0	1	0	0	"s1:72→1"	""
72	34	"5 e8+e7+5 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+5 f5+12(g2+su(2))+so(7)+2 su(2)"	72	203	0	0	0	0	0	0	1	0	"s1:1→1"	""
72	34	"5 e8+e7+5 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e6+5 f5+12(g2+su(2))+so(7)+2 su(2)"	72	258	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	34	"5 e8+e7+5 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e7'+5 f5+12(g2+su(2))+so(7)+2 su(2)"	72	231	0	0	0	0	0	1	0	0	"s1:1→1"	""
72	44	"5 e8+e7+5 f5+so(8)+12(g2+su(2))"	"5 e8+e7+6 f5+so(8)+12(g2+su(2))"	72	267	0	0	0	1	0	0	0	0	"s1:72→1"	""
72	46	"5 e8+e7+5 f5+2 so(8)+11(g2+su(2))"	"5 e8+e7+5 f5+3 so(8)+11(g2+su(2))"	72	272	0	0	1	0	0	0	0	0	"s1:72→1"	""
72	47	"5 e8+e7+5 f5+2 so(8)+11(g2+su(2))"	"5 e8+e7+5 f5+3 so(8)+11(g2+su(2))"	72	272	0	0	1	0	0	0	0	0	"s1:72→1"	""
72	52	"5 e8+e6+6 f5+so(8)+3 su(3)+10(g2+su(2))"	"5 e8+2 e6+6 f5+so(8)+3 su(3)+10(g2+su(2))"	72	238	0	0	0	0	1	0	0	0	"s1:1→1"	""
72	52	"5 e8+e6+6 f5+so(8)+3 su(3)+10(g2+su(2))"	"5 e8+e6+7 f5+so(8)+3 su(3)+10(g2+su(2))"	72	264	0	0	0	1	0	0	0	0	"s1:1→1"	""
72	53	"5 e8+e7+5 f5+so(8)+su(3)+12(g2+su(2))"	"5 e8+e7+6 f5+so(8)+su(3)+12(g2+su(2))"	72	259	0	0	0	1	0	0	0	0	"s1:1→1"	""
72	54	"5 e8+e7+5 f5+2 so(8)+11(g2+su(2))"	"5 e8+e7+5 f5+3 so(8)+11(g2+su(2))"	72	272	0	0	1	0	0	0	0	0	"s1:1→1"	""
72	55	"5 e8+e7+5 f5+2 so(8)+11(g2+su(2))"	"5 e8+e7+5 f5+3 so(8)+11(g2+su(2))"	72	272	0	0	1	0	0	0	0	0	"s1:1→1"	""
