"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
52	1	52	237	0	1	0	0	0	0	0	0	2
52	2	52	237	0	1	0	0	0	0	0	0	2
52	5	52	227	1	1	0	0	0	0	0	0	2
52	5	52	228	0	1	0	0	0	0	0	0	2
52	6	52	228	0	2	0	0	0	0	0	0	4
52	6	52	236	0	1	0	0	0	0	0	0	2
52	6	52	237	0	1	0	0	0	0	0	0	2
52	6	53	236	0	1	0	0	0	0	0	0	4
52	7	52	227	0	2	0	0	0	0	0	0	2
52	7	52	236	0	1	0	0	0	0	0	0	3
52	10	52	225	1	1	0	0	0	0	0	0	2
52	10	52	227	0	1	0	0	0	0	0	0	2
52	12	52	237	0	1	0	0	0	0	0	0	2
52	16	57	179	1	0	1	0	0	0	1	0	2
52	16	59	83	2	1	0	0	0	0	0	1	2
52	16	59	84	1	1	0	0	0	0	0	1	9
52	16	59	85	1	1	0	0	0	0	0	1	5
52	16	59	86	0	1	0	0	0	0	0	1	4
52	16	59	92	1	0	0	0	0	0	0	1	5
52	17	52	207	0	0	0	0	0	0	1	0	2
52	17	52	227	0	1	0	0	0	1	0	0	2
52	17	52	234	0	0	1	0	1	0	0	0	2
52	17	52	235	0	0	0	0	0	1	0	0	2
52	17	52	262	0	0	0	0	1	0	0	0	3
52	17	53	199	0	1	0	0	0	0	1	0	2
52	17	53	207	0	0	1	0	0	1	0	0	2
52	17	53	210	0	0	0	1	1	0	0	0	2
52	17	54	157	0	0	0	0	1	1	0	0	2
52	17	54	179	0	0	1	0	0	0	1	0	2
52	17	54	183	0	0	0	1	0	1	0	0	2
52	17	55	102	0	0	0	0	0	1	1	0	2
52	17	55	129	0	0	0	0	1	0	1	0	2
52	17	55	155	0	0	0	1	0	0	1	0	2
52	17	57	171	0	1	1	0	0	0	1	0	2
52	18	52	176	0	0	0	1	0	0	0	0	2
52	18	52	200	0	0	1	0	0	0	0	0	2
52	18	52	220	0	1	0	0	0	0	0	0	2
52	18	53	148	0	0	1	1	0	0	0	0	2
52	18	53	168	0	1	0	1	0	0	0	0	2
52	18	53	192	0	1	1	0	0	0	0	0	2
52	18	53	219	1	1	0	0	0	0	0	0	2
52	18	55	191	1	1	1	0	0	0	0	0	8
52	18	55	192	0	1	1	0	0	0	0	0	2
52	18	56	165	2	1	0	1	0	0	0	0	2
52	18	56	166	2	1	0	1	0	0	0	0	6
52	18	56	167	1	1	0	1	0	0	0	0	24
52	18	56	168	0	1	0	1	0	0	0	0	4
52	18	56	171	1	0	2	0	0	0	0	0	3
52	18	56	175	1	0	0	1	0	0	0	0	11
52	18	56	183	1	2	1	0	0	0	0	0	6
52	18	56	184	0	2	1	0	0	0	0	0	5
52	18	57	141	1	1	0	0	1	0	0	0	5
52	18	57	142	0	1	0	0	1	0	0	0	4
52	18	57	147	1	0	1	1	0	0	0	0	4
52	18	57	159	1	2	0	1	0	0	0	0	5
52	18	57	160	0	2	0	1	0	0	0	0	5
52	18	57	167	1	1	0	1	0	0	0	0	8
52	18	57	168	0	1	0	1	0	0	0	0	4
52	18	58	134	0	2	0	0	1	0	0	0	2
52	22	56	183	1	0	0	0	0	1	0	0	6
52	22	57	155	1	0	0	0	0	0	1	0	6
52	25	52	224	0	1	1	0	0	0	0	0	2
52	25	52	232	0	0	1	0	0	0	0	0	2
52	25	52	251	1	1	0	0	0	0	0	0	2
52	25	52	252	0	1	0	0	0	0	0	0	3
52	27	52	251	1	0	0	0	0	0	0	0	2
52	32	52	251	1	0	0	0	0	0	0	0	2
52	34	52	229	0	1	1	0	0	0	0	0	2
52	34	52	256	1	1	0	0	0	0	0	0	2
52	34	52	257	0	1	0	0	0	0	0	0	5
52	34	52	263	1	0	0	0	0	0	0	0	3
52	34	53	205	0	1	0	1	0	0	0	0	2
52	37	52	257	1	1	0	0	0	0	0	0	2
52	41	52	257	0	1	0	0	0	0	0	0	2
