"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
52	5	"4 e8+4 f5+su(3)+7(g2+su(2))"	"4 e8+4 f5+9(g2+su(2))"	52	227	1	1	0	0	0	0	0	0	""	"{s1:1→1 / s2:52→1, s1:4→1 / s2:52→1}"
52	6	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+su(3)+8(g2+su(2))"	52	228	0	2	0	0	0	0	0	0	"{s1:50→1, s1:50→1, s1:52→1, s1:52→1}"	"{s2:1→1, s2:4→1, s2:1→1, s2:4→1}"
52	7	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+9(g2+su(2))"	52	227	0	2	0	0	0	0	0	0	""	"{s1:52→1 / s2:1→1, s1:52→1 / s2:4→1}"
52	10	"4 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))+so(7)+2 su(2)"	52	225	1	1	0	0	0	0	0	0	""	"{s1:1→1 / s2:52→1, s1:4→1 / s2:52→1}"
52	13	"4 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+so(8)+9(g2+su(2))"	53	199	0	1	1	0	0	0	0	0	"s1:52→1"	"s2:1→1"
52	13	"4 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+su(3)+9(g2+su(2))"	52	219	0	2	0	0	0	0	0	0	"s1:52→1"	"s2:1→1"
52	13	"4 e8+4 f5+8(g2+su(2))"	"4 e8+5 f5+9(g2+su(2))"	53	175	0	1	0	1	0	0	0	0	"s1:52→1"	"s2:1→1"
52	13	"4 e8+4 f5+8(g2+su(2))"	"4 e8+e6+4 f5+9(g2+su(2))"	53	149	0	1	0	0	1	0	0	0	"s1:52→1"	"s2:1→1"
52	13	"4 e8+4 f5+8(g2+su(2))"	"4 e8+e7'+4 f5+9(g2+su(2))"	53	122	0	1	0	0	0	1	0	0	"s1:52→1"	"s2:1→1"
52	13	"4 e8+4 f5+8(g2+su(2))"	"4 e8+e7+4 f5+9(g2+su(2))"	53	94	0	1	0	0	0	0	1	0	"s1:52→1"	"s2:1→1"
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	53	207	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:51→1"
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+4 f5+so(8)+9(g2+su(2))"	54	181	0	0	1	0	0	0	1	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+4 f5+su(3)+9(g2+su(2))"	53	201	0	1	0	0	0	0	1	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+2 e7+5 f5+9(g2+su(2))"	54	157	0	0	0	1	0	0	1	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+6 f5+9(g2+su(2))"	52	238	0	0	0	2	0	0	0	0	"s1:52→1 / s2:1→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+e6+4 f5+so(8)+9(g2+su(2))"	52	236	0	0	1	0	1	0	0	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+e6+5 f5+9(g2+su(2))"	53	212	0	0	0	1	1	0	0	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+e7'+4 f5+8(g2+su(2))+so(7)+2 su(2)"	52	235	1	0	0	0	0	1	0	0	"s1:1→1"	"s2:51→1"
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+e7'+4 f5+so(8)+9(g2+su(2))"	53	209	0	0	1	0	0	1	0	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+e7'+4 f5+su(3)+9(g2+su(2))"	52	229	0	1	0	0	0	1	0	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"3 e8+e7+e7'+5 f5+9(g2+su(2))"	53	185	0	0	0	1	0	1	0	0	"s1:1→1 / s2:52→1"	""
52	16	"3 e8+e7+4 f5+9(g2+su(2))"	"4 e8+e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	57	92	1	0	0	0	0	0	0	1	"s1:1→1"	"s2:51→1"
