"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
96	6	96	250	0	0	0	0	0	1	1	0	2
96	6	98	224	0	2	0	0	0	0	0	1	6
96	6	98	231	1	1	0	0	0	0	0	1	11
96	6	98	232	0	1	0	0	0	0	0	1	4
96	6	99	223	1	2	0	0	0	0	0	1	11
96	6	99	229	2	1	0	0	0	0	0	1	8
96	7	97	264	0	1	0	0	0	0	1	0	4
96	7	98	256	0	2	0	0	0	0	1	0	2
96	7	98	263	1	1	0	0	0	0	1	0	5
96	10	96	270	0	1	0	0	0	0	1	0	2
96	15	99	188	1	0	0	0	0	0	0	1	5
96	17	98	223	1	2	0	0	0	0	0	0	11
96	17	98	224	0	2	0	0	0	0	0	0	6
96	17	98	229	2	1	0	0	0	0	0	0	8
96	17	98	231	1	1	0	0	0	0	0	0	11
96	17	98	232	0	1	0	0	0	0	0	0	4
96	34	97	256	0	1	0	0	0	0	1	0	2
96	34	97	263	1	0	0	0	0	0	1	0	5
96	35	97	261	1	0	0	0	0	0	1	0	3
