"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
109	2	109	166	0	0	0	0	0	0	1	1	2
109	2	109	194	0	0	0	0	0	1	0	1	2
109	2	109	221	0	0	0	0	1	0	0	1	2
109	2	109	247	0	0	0	1	0	0	0	1	2
109	2	109	271	0	0	1	0	0	0	0	1	2
109	2	110	263	0	1	1	0	0	0	0	1	6
109	2	110	271	0	0	1	0	0	0	0	1	2
109	2	111	239	0	1	0	1	0	0	0	1	2
109	2	111	243	0	0	2	0	0	0	0	1	2
109	2	111	255	0	2	1	0	0	0	0	1	2
109	2	111	262	1	1	1	0	0	0	0	1	2
109	2	112	213	0	1	0	0	1	0	0	1	2
109	2	112	267	0	4	0	0	0	0	0	1	2
109	3	109	214	0	1	0	0	0	0	0	1	2
