"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
10	1	"2 f5+su(3)+g2+su(2)"	"2 f5+2 su(3)+3(g2+su(2))"	22	143	2	3	0	0	0	0	0	0	"s1:10→1 / s2:10→1 / s3:1→1 / s4:10→1"	"s4:13→1 / s5:9→1"
10	4	"0"	"e8+2(g2+su(2))"	20	24	2	2	0	0	0	0	0	1	"s1:1→1 / s2:10→1 / s3:10→1 / s4:10→1 / s5:10→1"	"s4:13→1 / s5:12→1"
10	4	"0"	"e8+2 su(3)+g2+su(2)"	20	17	1	3	0	0	0	0	0	1	"s1:1→1 / s2:10→1 / s3:10→1 / s4:10→1 / s5:10→1"	"s5:14→1"
10	4	"0"	"e8+4 su(3)"	20	10	0	4	0	0	0	0	0	1	"s1:1→1 / s2:10→1 / s3:10→1 / s4:10→1 / s5:10→1"	""
10	4	"0"	"e8+su(3)+so(7)+2 su(2)"	20	23	2	2	0	0	0	0	0	1	"{s1:1→1 / s2:10→1 / s3:10→1 / s4:10→1 / s5:10→1, s1:1→1 / s2:10→1 / s3:10→1 / s4:10→1 / s5:10→2}"	"{s4:13→1 / s5:13→1, s4:13→1 / s5:13→1}"
10	5	"2 f5+2 su(3)"	"2 f5+2 su(3)+3(g2+su(2))"	41	143	2	3	0	0	0	0	0	0	"s1:10→1 / s2:10→1 / s5:10→1"	"s3:1→1 / s4:9→1 / s5:5→1"
10	8	"f5+su(3)+g2+su(2)"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	14	157	3	1	0	1	0	0	0	0	"s1:10→1 / s2:1→1 / s3:6→1 / s4:1→1 / s5:1→1, 6→1"	"s3:12→1 / s4:9→1 / s5:12→1"
10	8	"f5+su(3)+g2+su(2)"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	15	157	3	1	0	1	0	0	0	0	"{s1:1→1 / s2:10→1 / s4:6→1 / s5:1→1, 6→1, 10→2, s1:1→1 / s2:10→1 / s4:6→1 / s5:1→1, 6→2, 10→2}"	"{s3:9→1 / s4:12→1 / s5:12→1, s3:9→1 / s4:12→1 / s5:12→1}"
10	8	"f5+su(3)+g2+su(2)"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	16	157	3	1	0	1	0	0	0	0	"s1:1→1 / s2:10→1 / s4:6→1 / s5:6→1"	"s3:9→1 / s4:12→1 / s5:12→1"
10	8	"f5+su(3)+g2+su(2)"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	18	157	3	1	0	1	0	0	0	0	"s1:1→1 / s2:10→1 / s4:6→1 / s5:6→2, 10→1"	"s3:9→1 / s4:12→1 / s5:12→1"
