"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
85	1	"6 e8+7 f5+14(g2+su(2))"	"6 e8+e7+e7'+7 f5+14(g2+su(2))"	85	249	0	0	0	0	0	1	1	0	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+7 f5+14(g2+su(2))"	85	239	0	0	0	0	0	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+7 f5+2 so(8)+14(g2+su(2))"	89	183	0	0	2	0	0	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+7 f5+so(8)+14(g2+su(2))"	86	211	0	0	1	0	0	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+7 f5+su(3)+14(g2+su(2))"	85	231	0	1	0	0	0	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+8 f5+14(g2+su(2))"	87	187	0	0	0	1	0	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+8 f5+su(3)+14(g2+su(2))"	89	179	0	1	0	1	0	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+e6+7 f5+14(g2+su(2))"	87	161	0	0	0	0	1	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+e6+7 f5+su(3)+14(g2+su(2))"	90	153	0	1	0	0	1	0	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+e7'+7 f5+14(g2+su(2))"	85	134	0	0	0	0	0	1	0	1	2
85	1	"6 e8+7 f5+14(g2+su(2))"	"7 e8+e7+7 f5+14(g2+su(2))"	85	106	0	0	0	0	0	0	1	1	2
85	13	"6 e8+e6+7 f5+su(3)+13(g2+su(2))"	"7 e8+e6+7 f5+2 su(3)+13(g2+su(2))"	86	154	0	1	0	0	0	0	0	1	2
