"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
74	4	"6 e8+5 f5+11(g2+su(2))"	"6 e8+6 f5+12(g2+su(2))"	74	238	0	1	0	1	0	0	0	0	2
74	6	"6 e8+5 f5+su(3)+11(g2+su(2))"	""	101	273	1	2	0	0	0	0	0	0	2
74	8	"6 e8+5 f5+12(g2+su(2))"	""	101	273	0	2	0	0	0	0	0	0	2
74	11	"5 e8+e7+6 f5+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+6 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	74	210	0	1	0	0	0	0	1	0	2
74	11	"5 e8+e7+6 f5+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e7'+6 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	74	238	0	1	0	0	0	1	0	0	2
74	16	"5 e8+e6+6 f5+2 su(3)+11(g2+su(2))"	"6 e8+e6+6 f5+2 su(3)+11(g2+su(2))+so(7)+2 su(2)"	79	142	2	1	0	0	0	0	0	1	2
74	16	"5 e8+e6+6 f5+2 su(3)+11(g2+su(2))"	"6 e8+e6+6 f5+2 su(3)+12(g2+su(2))"	79	144	1	1	0	0	0	0	0	1	6
74	16	"5 e8+e6+6 f5+2 su(3)+11(g2+su(2))"	"6 e8+e6+6 f5+3 su(3)+11(g2+su(2))"	79	145	0	1	0	0	0	0	0	1	4
74	16	"5 e8+e6+6 f5+2 su(3)+11(g2+su(2))"	"6 e8+e6+6 f5+3 su(3)+12(g2+su(2))"	79	136	1	2	0	0	0	0	0	1	2
74	16	"5 e8+e6+6 f5+2 su(3)+11(g2+su(2))"	"6 e8+e6+6 f5+4 su(3)+11(g2+su(2))"	79	137	0	2	0	0	0	0	0	1	3
74	39	"5 e8+2 e6+6 f5+3 su(3)+10(g2+su(2))"	"5 e8+3 e6+6 f5+4 su(3)+10(g2+su(2))"	74	238	0	1	0	0	1	0	0	0	2
