"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
74	9	75	264	1	0	0	0	1	0	0	0
74	9	76	237	1	0	0	0	0	1	0	0
74	9	77	209	1	0	0	0	0	0	1	0
74	9	77	264	1	0	0	0	1	0	0	0
74	11	76	237	1	1	0	0	0	1	0	0
74	11	76	264	1	1	0	0	1	0	0	0
74	11	77	209	1	1	0	0	0	0	1	0
74	11	77	264	1	1	0	0	1	0	0	0
74	14	76	221	1	2	0	0	0	0	0	0
74	14	76	222	0	2	0	0	0	0	0	0
74	14	76	227	2	1	0	0	0	0	0	0
74	14	76	229	1	1	0	0	0	0	0	0
74	14	76	230	0	1	0	0	0	0	0	0
74	16	76	259	1	1	0	0	0	0	1	0
74	16	76	260	0	1	0	0	0	0	1	0
74	16	79	144	1	1	0	0	0	0	0	1
74	16	79	145	0	1	0	0	0	0	0	1
74	21	76	257	1	1	0	0	1	0	0	0
74	21	76	259	0	1	0	0	1	0	0	0
74	21	76	265	1	0	0	0	1	0	0	0
74	21	77	258	1	1	0	0	1	0	0	0
74	25	76	221	1	2	0	0	0	0	0	0
74	25	76	222	0	2	0	0	0	0	0	0
74	25	76	227	2	1	0	0	0	0	0	0
74	25	76	229	1	1	0	0	0	0	0	0
74	25	76	230	0	1	0	0	0	0	0	0
