"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
71	1	73	250	0	2	0	0	0	0	1	0
71	1	73	257	1	1	0	0	0	0	1	0
71	1	73	258	0	1	0	0	0	0	1	0
71	1	74	249	1	2	0	0	0	0	1	0
71	1	74	255	2	1	0	0	0	0	1	0
71	2	72	266	1	0	0	0	0	0	1	0
71	2	73	258	1	1	0	0	0	0	1	0
71	2	73	259	0	1	0	0	0	0	1	0
71	2	73	266	1	0	0	0	0	0	1	0
71	2	74	257	2	1	0	0	0	0	1	0
71	2	74	258	1	1	0	0	0	0	1	0
71	2	74	259	0	1	0	0	0	0	1	0
71	2	76	142	2	1	0	0	0	0	0	1
71	2	76	143	1	1	0	0	0	0	0	1
71	2	76	144	0	1	0	0	0	0	0	1
71	2	76	151	1	0	0	0	0	0	0	1
71	2	79	269	1	0	0	1	1	0	0	0
71	2	82	257	2	1	0	0	0	0	1	0
71	3	72	269	1	0	0	0	1	0	0	0
71	3	74	214	1	0	0	0	0	0	1	0
71	3	74	242	1	0	0	0	0	1	0	0
71	3	82	269	1	0	0	0	1	0	0	0
71	11	73	236	1	0	0	0	1	0	0	0
71	11	75	262	1	0	0	1	0	0	0	0
71	12	74	256	1	1	0	1	0	0	0	0
71	12	74	257	1	1	0	1	0	0	0	0
71	12	74	258	0	1	0	1	0	0	0	0
71	12	74	264	1	0	0	1	0	0	0	0
71	12	75	257	1	1	0	1	0	0	0	0
71	12	75	258	0	1	0	1	0	0	0	0
71	15	74	236	1	1	0	0	1	0	0	0
71	15	76	262	1	1	0	1	0	0	0	0
71	18	73	262	1	1	0	1	0	0	0	0
71	18	73	270	1	0	0	1	0	0	0	0
71	24	74	270	1	0	0	1	0	0	0	0
71	25	73	269	1	0	0	1	0	0	0	0
71	25	74	269	1	0	0	1	0	0	0	0
71	26	78	269	1	0	0	1	0	0	0	0
71	32	74	257	1	0	0	1	0	0	0	0
71	56	72	273	1	0	0	0	0	0	0	1
71	56	73	265	1	1	0	0	0	0	0	1
