"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
70	1	73	237	1	0	0	0	0	0	1	0	6
70	1	76	122	1	0	0	0	0	0	0	1	5
70	1	79	265	1	0	0	0	0	1	0	0	3
70	1	80	265	1	0	0	0	0	1	0	0	2
70	2	70	238	0	1	0	0	0	0	1	0	2
70	2	73	123	0	1	0	0	0	0	0	1	2
70	2	73	237	1	1	0	0	0	0	1	0	12
70	2	76	122	1	1	0	0	0	0	0	1	10
70	2	80	265	1	1	0	0	0	1	0	0	2
70	2	81	265	1	1	0	0	0	1	0	0	2
70	2	82	265	1	1	0	0	0	1	0	0	6
70	2	83	265	1	1	0	0	0	1	0	0	2
70	2	109	237	1	1	0	0	0	0	1	0	2
70	2	144	265	1	1	0	0	0	1	0	0	2
70	4	70	241	0	0	0	1	1	0	0	0	2
70	4	73	209	1	0	1	0	0	0	1	0	2
70	4	73	221	1	2	0	0	0	0	1	0	5
70	4	73	222	0	2	0	0	0	0	1	0	3
70	4	73	227	2	1	0	0	0	0	1	0	2
70	4	73	228	2	1	0	0	0	0	1	0	6
70	4	73	229	1	1	0	0	0	0	1	0	20
70	4	73	230	0	1	0	0	0	0	1	0	4
70	4	73	237	1	0	1	0	0	1	0	0	2
70	4	73	249	1	2	0	0	0	1	0	0	5
70	4	73	250	0	2	0	0	0	1	0	0	3
70	4	73	255	2	1	0	0	0	1	0	0	2
70	4	73	256	2	1	0	0	0	1	0	0	6
70	4	73	257	1	1	0	0	0	1	0	0	19
70	4	73	258	0	1	0	0	0	1	0	0	3
70	5	73	235	1	0	0	0	0	0	1	0	4
70	5	76	120	1	0	0	0	0	0	0	1	3
70	5	79	263	1	0	0	0	0	1	0	0	3
70	6	73	241	1	0	0	0	1	0	0	0	6
70	6	82	267	1	0	0	1	0	0	0	0	2
70	6	83	267	1	0	0	1	0	0	0	0	3
70	7	73	266	1	0	0	1	0	0	0	0	2
70	12	74	167	0	2	0	0	0	0	0	0	2
70	12	74	174	1	1	0	0	0	0	0	0	5
70	12	74	175	0	1	0	0	0	0	0	0	4
70	13	70	237	0	1	0	1	0	0	0	0	2
70	13	96	272	0	3	0	0	0	0	0	0	2
70	13	99	259	1	1	1	0	0	0	0	0	2
70	13	102	271	1	3	0	0	0	0	0	0	2
70	13	102	273	0	3	0	0	0	0	0	0	2
70	13	103	273	0	3	0	0	0	0	0	0	2
70	14	128	273	0	2	0	0	0	0	0	0	2
70	15	74	167	0	2	0	0	0	0	0	0	2
70	15	74	174	1	1	0	0	0	0	0	0	5
70	15	74	175	0	1	0	0	0	0	0	0	4
70	24	74	167	0	1	0	0	0	0	0	0	2
70	24	74	174	1	0	0	0	0	0	0	0	5
70	27	73	209	1	0	0	0	0	0	1	0	2
70	27	73	237	1	0	0	0	0	1	0	0	2
70	33	74	167	0	1	0	0	0	0	0	0	2
70	33	74	172	2	0	0	0	0	0	0	0	3
70	33	74	174	1	0	0	0	0	0	0	0	5
70	36	121	273	0	2	0	0	0	0	0	0	2
70	37	112	273	0	2	0	0	0	0	0	0	2
70	50	73	233	1	1	0	0	0	0	1	0	3
70	50	73	234	0	1	0	0	0	0	1	0	2
70	50	76	118	1	1	0	0	0	0	0	1	3
70	50	76	119	0	1	0	0	0	0	0	1	2
70	50	79	261	1	1	0	0	0	1	0	0	2
70	54	73	256	1	2	0	0	0	0	0	1	2
70	54	73	257	1	2	0	0	0	0	0	1	2
70	54	73	263	2	1	0	0	0	0	0	1	7
70	55	73	231	1	1	0	0	1	0	0	0	3
70	55	73	232	0	1	0	0	1	0	0	0	2
70	55	74	257	1	1	0	1	0	0	0	0	2
70	55	75	258	0	1	0	1	0	0	0	0	2
70	55	88	273	1	2	1	0	0	0	0	0	2
70	63	73	231	1	0	0	0	1	0	0	0	3
70	63	74	257	1	0	0	1	0	0	0	0	3
70	64	73	257	1	2	0	0	0	0	0	1	2
