"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
70	39	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	48	70	270	0	0	1	0	0	0	0	0	"s1:70→1"	""	"5 e8+e7'+5 f5+so(8)+11(g2+su(2))"
70	49	70	272	0	0	0	0	0	0	0	1	"s1:1→1"	""	"10 e7+f5+2(g2+su(2))+10(so(7)+2 su(2))"
70	50	70	127	0	0	0	0	0	0	0	1	"s1:1→1"	""	"5 e8+5 f5+2 so(8)+11(g2+su(2))"
70	50	70	242	0	0	0	0	0	0	1	0	"s1:1→1"	""	"5 e8+5 f5+2 so(8)+11(g2+su(2))"
70	50	70	270	0	0	0	0	0	1	0	0	"s1:1→1"	""	"5 e8+5 f5+2 so(8)+11(g2+su(2))"
70	55	70	240	0	0	0	0	1	0	0	0	"s1:70→1"	""	"5 e8+e6+5 f5+so(8)+2 su(3)+10(g2+su(2))"
70	55	70	266	0	0	0	1	0	0	0	0	"s1:70→1"	""	"5 e8+e6+5 f5+so(8)+2 su(3)+10(g2+su(2))"
70	56	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7'+5 f5+so(8)+11(g2+su(2))"
70	57	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7'+5 f5+so(8)+11(g2+su(2))"
70	58	70	270	0	0	1	0	0	0	0	0	"s1:70→1"	""	"5 e8+e6+5 f5+2 so(8)+su(3)+10(g2+su(2))"
70	63	70	232	0	0	0	0	1	0	0	0	"s1:1→1"	""	"5 e8+e6+5 f5+so(8)+3 su(3)+10(g2+su(2))"
70	63	70	258	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+e6+5 f5+so(8)+3 su(3)+10(g2+su(2))"
70	67	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e6+5 f5+2 so(8)+su(3)+10(g2+su(2))"
70	68	70	269	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e6+5 f5+2 so(8)+11(g2+su(2))"
70	69	70	269	0	0	1	0	0	0	0	0	"s1:70→1"	""	"5 e8+e6+5 f5+2 so(8)+11(g2+su(2))"
70	72	70	266	0	0	0	0	0	0	0	1	"s1:70→1"	""	"10 e7+f5+su(3)+3(g2+su(2))+9(so(7)+2 su(2))"
